,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2014-06-30,-0.3295130477292855,,,,-0.0989316961697152,-0.3342598774682219,,-0.0422470135379391,-1.0000060436472202,,-0.2363554687624582,,,-0.0022710269740319,0.0704165888089353,,-0.2630402146767101,,-0.0092360860360325,,,,-0.2820396456491046,,-0.3661825796225824,,,,,,,-0.3993547602278641,,,,-0.3876552502822732,,,,,,,0.6847771318575553,,-0.6847771318575553,,,,-0.2618175836556167,,,,,-0.7489189750957854,0.0871640796491225,,,,,,-0.0181326827874759,,,,,0.2684061873759786,,-0.15518505106804,-0.1071428571428571,-0.118180949413978,-0.1178762876739256,,,,-0.2981906951375225,,,,,,0.0,,,,,0.4720938660867989,,-0.1128125,0.0,,,-0.0474490212490444,,0.8455342222828497,0.5698666666666666,0.0250419601106617,,-0.1185952003204705,0.0,0.0,,-0.0795609095528903,0.0106666666666666,-0.4433132808884775,,,,,,,0.0193386192225875,-0.0293701319804343,0.7744161073825503,-0.4078947368421052,-0.047720826444059,,,,,5.1063,-0.0978203395805182
2013-12-31,-0.2946118301262438,,,,-0.0195248744112317,-0.3072373837674438,,-0.7107915598515456,-0.9999818690583392,,-0.0529160200088176,,,5.040073520457072e-05,-0.0208973088842428,,0.0,,-0.0065864185718568,,,,-0.2821224268895215,,-0.4128451895848694,,,,,,,0.2556706752894503,,,,-0.3801279638690252,,,,,,,0.6046380750721848,,-0.6046380750721848,,,,0.6187512721712828,,,,,-0.6670589655172414,0.0,,,,,,-0.0181326827874759,,,,,0.1673245153477307,,-0.5830253230181365,0.5714285714285714,-0.5093285165009497,-0.6431728710546308,,,,-0.1694123236525547,,,,,,0.0,,,,,,,-8.607130681818182,-0.536769016959458,,,-0.5195518616011723,,-0.3276063158612693,0.4365333333333333,-0.3940813722677821,,-0.5590916586536471,-0.5151433026552281,-0.4917295453935179,,-0.5091633840631434,-0.288,0.2346136048125867,,,,,,,0.5859601624444015,-0.3996891873859114,-0.3531006711409395,-0.2236842105263158,-0.5400518879972039,,,,,5.0417,0.0928853362952972
2013-06-30,-0.2018168961672211,,,,-0.006173087117377,-0.1947258053262016,,-0.7951265575278745,-0.9999818690583392,,-0.1665777393474399,,,-5.040073520457072e-05,1.6553446835215433,,0.0331817767654563,,-0.0552261544890149,,,,-0.2723796185610723,,0.4583732134999074,,,,-0.4056771355981957,,,0.3383002754961894,,,,-0.0082800150545728,,,,,,,0.4044238306063523,,-0.4044238306063523,,,,0.7298325349225809,,,,,-0.4494105651340996,1.6000641110315563,,,,,,-0.0181326827874759,,,,,0.1025537352131253,,-0.5652620851554397,0.3928571428571428,-0.5040992709516586,-0.5986787230312336,,,,-0.0868941438660705,,,,,,0.0,,,,,,,-8.6753125,-0.4913031204534103,,,-0.4795633782843675,,-0.0275005968011458,1.3698666666666666,0.0039539937016834,,-0.0056473904914509,-0.4945172826604996,-0.4959251899787868,,0.0305935710907643,-0.064,0.2401665895418787,,,,,,,0.5907948172500483,0.0293701319804343,-0.2457181208053691,0.0,-0.5444206960519418,,,,,5.9091,0.0246820730206481
2012-12-31,-0.1145138312948907,,,,-0.0090494814023628,-0.0856987662965806,,-0.7951263329100785,-0.9999818690583392,,-0.0064096581713075,,,7.066154357313176e-05,1.2577211365230911,,0.0331816883891266,,-0.0436882593592725,,,,-0.2297928863628472,,0.2824074303450195,,,,-0.3749925915697839,,,0.3383000554205483,,,,0.2205494919081671,,,,,,,0.1950732338787295,,-0.1950732338787295,,,,0.7298322390687942,,,,,-0.2446432183908046,1.2205108185262372,,,,,,-0.0181326827874759,,,,,0.1310136234540883,,-0.0415003287467807,-0.1428571428571428,-0.0036604718845037,0.0773666902197878,,,,-0.0993968983791741,,,,6.312292358803987,,0.0,,,,,,,0.0008238636363636,0.199507068250418,,,0.1280228309172331,,-0.4640180063431436,1.5032,-0.3888093806655375,,-0.506382680733438,0.2162350784693261,0.2319352326736661,,-0.4577579597627713,-0.2453333333333333,-0.1698287829708468,,,,,,,-0.2479210984335718,-0.3511646215051937,-0.7020939597315436,0.0,0.184498124773158,,,,,6.4593,-0.0327589676899973
2012-06-30,-0.1095189323735469,,,,0.0,-0.0813554749508908,,-0.9582794905758234,-0.9999818690583392,,0.0018017891116056,,,-0.0018029821978608,-0.0684722021457003,,0.0973746308852117,,-0.005205931592645,,,,-0.3705314170963572,,-0.4371565895397382,,,,,,,0.498153978013013,,,,0.3334587881068874,,,,,,,0.1654136669874879,,-0.1654136669874879,,,,0.9447282997164538,,,,,-0.2329277969348659,-0.0454128220380408,,,,,,-0.0181326827874759,,,,,0.2144305372638074,,0.1752111731781198,0.0357142857142857,0.2327014269434524,0.3327099725331647,,,,-0.0081267904335173,,,0.2804497971096242,,,0.0,,,,,,,6.966732954545455,0.4604270265575123,,,0.3575089777129261,,0.1361934317771033,1.5032,0.1542057543656538,,0.1863638862178823,0.4451500872632805,0.4282913992642517,,0.2178561881849773,0.0426666666666666,0.1008792225821379,,,,,,,-0.4741829433378456,0.1877134522227762,-0.111489932885906,0.0657894736842105,0.3810944872363592,,,,,6.1515,0.0196830474449575
2011-12-31,-0.1379090656984577,,,,0.0182534447853475,-0.1203708223747354,,-1.1398115501615338,-1.0025443754797143,,0.0770527915799794,,,-0.0021480190258467,0.3986213011701576,,0.168798789809891,,-0.0187596456463636,,,,-0.3166486461035809,,-0.19846562888902,,,,,,,0.6760151497870576,,,,0.148287542340986,,,,,,,0.2369604619826756,,-0.2369604619826756,,,,1.1838320047525952,,,,,-0.2995162068965517,0.400453320522345,,,,,,0.0041100747651612,,,,,0.890598226850825,,-0.9172279553777316,0.3928571428571428,-0.866747449794994,-1.3251951101595414,,,,0.998344947871328,,,2.709430243262471,-12.956810631229237,,0.0,,,,,,,0.0008238636363636,-1.233686564895442,,,-1.1325096581139855,,-0.7368413873068922,1.2365333333333333,-0.3413614562453363,,-0.506382680733438,-1.2120322732967936,-1.1858569855804086,,-0.4577579597627713,-0.0106666666666666,1.1915779731605738,,,,,,,1.3858054534906208,-0.2949782820643627,-0.2188724832214765,0.0526315789473684,-1.2350284308585715,,,,,6.0022,0.1357720657397432
2011-06-30,0.0052110114363823,,,,0.0104744802280827,0.0589923014233288,,-1.054042817093504,-1.0273716782603963,,0.5998405990617051,,,-0.0009684264343025,1.2170080067128055,,0.1350529069316825,,-0.0425068810789855,,,,-1.082038189027526,,0.2700341817130312,,,,-0.3654894951315033,,,0.5919808067631885,,,,1.0350018818216034,,,,,,,-0.0887473628488931,,0.0887473628488931,,,,1.0708623072808434,,,,,0.0361686685823754,1.181647922743683,,,,,,-0.0456943606244393,,,,,1.2576326476135893,,0.0227010880998233,2.571428571428572,0.2612008151870886,-0.220146418951585,,,,0.0668897366451046,,,2.059800769731703,,,0.0,,,,,,,-2.578721590909091,-0.1045037024168856,,,-0.1393628485742374,,-0.0820652729938955,0.4365333333333333,0.1937456913824882,,0.2428377911323921,-0.1203748052151369,-0.1356032329958916,,0.2729334285068046,0.128,-0.2563627950023137,,,,,,,0.1755946625410945,0.246453716183645,-0.111489932885906,0.1710526315789473,-0.1834899382989877,,,,,7.583,-0.1563497296584465
2010-12-31,0.0489168486811933,,,,0.3158768941928195,0.050483515381642,,-3.794045247458056,-1.0425533200776005,,0.8050465548089702,,,-0.0020942941395881,6.663577918254671,,1.213112449069826,,-0.2005507216174961,,,,-1.3196431625901008,,3.220379039119572,,,,-0.1771840147460441,,,3.2765757154562807,,,,1.1027474595408355,,,,,,,-0.1302164003849855,,0.1302164003849855,,,,4.679837682778469,,,,,0.1386797126436781,6.380695007332384,,,,,,-0.060684045062086,,,,,-1.4696097462359343,,0.6647152565658637,-0.2857142857142857,0.7135305552007658,1.5430172079457252,,,,1.916047129133137,,,,,,0.0,,,,,,,0.0008238636363636,1.6971672710690322,,,1.4452554082334734,,0.190758107969853,1.1032,-0.5179731749205296,,-0.7925171323002875,1.7215964066091851,1.7390107677022637,,-0.7368159773933631,0.4053333333333333,1.907913003239241,,,,,,,-1.98452910462193,-0.3894734893057603,0.022738255033557,0.4473684210526316,1.6934172144479842,,,,,7.5658,-0.1151365354622115
2010-06-30,-0.112177570839464,,,,0.0083005077626825,-0.0863643370882451,,-0.0988763045520818,-1.0425533200776005,,-0.0636230261780057,,,-0.0019140648438843,-0.4238357478044119,,-0.2407593046797829,,0.0051056994807521,,,,-3.1476022239328976,,1.3691584470359108,,,,1.8183362804185068,,,-0.3438706100480265,,,,2.382386149793,,,,,,,0.2101288835418671,,-0.2101288835418671,,,,-0.1872287020776036,,,,,-0.2391635727969348,-0.384626645789916,,,,,,-0.060684045062086,,,,,-4.042776193401624,,-1.2806130499403283,0.3214285714285714,-1.246390676673525,-0.1318222146663337,,,,-0.4694784319670427,,,-7.177613451449703,,,0.0,,,,,,,-0.9423579545454546,-0.0142505048750298,,,-0.0599827249752071,,0.981945912764724,0.8365333333333334,0.2306496325982002,,0.1637743242520784,-0.02671238655055,-0.0391034075347063,,0.1958252920562463,0.5653333333333334,-0.3896344285053216,,,,,,,0.0643976020112164,0.2949782820643627,0.8549530201342281,0.2368421052631578,-0.0870400989366993,,,,,5.0445,0.4175240360788976
2009-12-31,0.0886192402792595,,,,-0.0029922187658256,0.1658664397167402,,0.8596033204799544,,,0.0392972120725394,,,1.400620664951187,1.0742313238399783,,0.0537850388948646,,-0.0383639111608443,,,,0.0102578984407532,,0.146780032186391,,,,,,,,,,,0.7730523146405721,,,,,,,-0.2897016361886429,,0.2897016361886429,,,,-0.1183415146767146,,,,,0.2318007662835249,1.0453598168544704,,,,,,0.000725307311499,,,,,-0.2536855555272047,,0.5073837212105494,-0.1785714285714285,0.5592678114966794,0.9257439155912808,,,,0.3694563958622134,,,0.0031689242611256,,,0.0,,,,,,,0.0008238636363636,1.066412781481401,,,0.8904898075921299,,-0.0275005968011458,0.8365333333333334,-0.2912775360240128,,-0.4461438488246274,1.077455946118073,1.08415456083349,,-0.3990089034194888,0.0853333333333333,1.005090236001851,,,,,,,-1.2299361825565656,-0.2311301690634184,-0.1383355704697986,0.131578947368421,1.0377599440792569,,,,,5.0776,-0.0184339057822594
2009-06-30,-0.0102095898939239,,,,-0.0893363471874707,0.0603611814259697,,0.0509792549742172,,,0.1342171429343805,,,1.226874540741698,-0.1597402666083762,,-0.2643697481813697,,-0.0025575940773896,,,,0.0082063187526026,,-0.4837957781147855,,,,,,,,,,,0.4237862250658638,,,,,,,-0.0702598652550529,,0.0702598652550529,,,,-0.0591707573383573,,,,,0.0,-0.1325331513769148,,,,,,0.000725307311499,,,,,,,1.444521398738252,0.4285714285714285,1.5692965893422486,1.791387526762898,,,,,,,,,,0.0,,,,,,,32.06332386363636,1.9509619769386115,,,1.6684747031660851,,0.6272755175118507,-0.4968,0.1779297165757544,,0.092240711360366,1.934619236062939,1.9110321956982887,,0.1260607876485984,0.2346666666666666,2.144840351689033,,,,,,,-2.182749951653452,0.1723899051025496,0.7744161073825503,-0.131578947368421,1.8658171015310991,,,,,4.0541,-0.0165264793665672
2008-12-31,-0.2172600729427008,,,,0.0858188847535807,-0.2323144629671775,,1.668227385985691,,,0.0848587788862232,,,0.8628692309309096,1.3386538075074832,,0.371939825971099,,-0.0460366933930132,,,,0.0102578984407532,,0.2819034201080717,,,,,,,,,,,-0.4267971396311629,,,,,,,0.4340712223291627,,-0.4340712223291627,,,,-0.1479268933458933,,,,,-0.4856321839080459,1.297765452904053,,,,,,0.000725307311499,,,,,-0.1025537352131253,,-1.9162832048839769,-0.2821428571428571,-1.9455408066137403,-2.296761357297306,,,,0.1781642518117272,,,0.0047533863916885,,,0.0,,,,,,,-0.0048579545454545,-2.226471737855856,,,-2.00539259618603,,-0.0820652729938955,-0.4968,-0.2174696535925888,,-0.3708453089386144,-2.2071532051736145,-2.1797212749389114,,-0.3255725829903857,-0.0533333333333333,2.5617769551133733,,,,,,,2.531038483852253,-0.213252697423154,0.0764295302013422,-0.1447368421052631,-2.2301084808646205,,,,,2.6038,0.0865273830555341
2008-06-30,0.0669749097041408,,,,-0.0424638203300062,0.1465914406059264,,0.2082117121558883,,,,,,-0.002989553352741,,,-0.2025063173609909,,,,,,0.0082063187526026,,0.3269445494152986,,,,0.6438789487250329,,,,,,,0.7053067369213398,,,,,,,-0.2358036573628489,,0.2358036573628489,,,,0.266268408022608,,,,,0.1810344827586207,,,,,,,0.000483538207666,,,,,0.8523245840440127,,-0.1054479850524891,0.8571428571428571,0.0036604718845037,-0.250030548221031,,,,,,,0.0649629473530767,,,0.0,,,,,,,-3.249176136363636,-0.1350404985776639,,,-0.1662207851303004,,0.6545578556082257,,0.35717743105207,,0.3482557469728105,-0.1555404786487725,-0.1752101178808302,,0.375744277107549,0.6506666666666666,-0.2017584451642758,,,,,,,0.221233803906401,0.4431059042265535,0.801261744966443,0.3684210526315789,-0.2231452729496847,,,,,4.0032,-0.0654726219024779
2007-12-31,0.1682540414518661,,,,0.4854688505909096,0.1633302556232121,,5.262112121566745,,,,,,1.5406227071861056,2.3963437421775016,,1.7859611018654742,,-0.0767278223216887,,,,-0.0041031593763013,,1.1827260062526097,,,,-0.0160583039333402,,,,,,,0.7640195709446744,,,,,,,-0.4552454282964389,,0.4552454282964389,,,,-0.0887561360075359,,,,,0.4185823754789272,2.307387997102383,,,,,,0.0,,,,,-1.6855123466846194,,-0.8507426936630664,-0.2142857142857142,-0.842692920268255,-0.3669106982526418,,,,2.191107728421418,,,,,,0.0,,,,,,,0.0008238636363636,-0.2544733013398189,,,-0.2712651592162353,,-0.2457593015721447,-0.3634666666666666,-0.35717743105207,,-0.5440319506764444,-0.2344941781367907,-0.2138100480653043,,-0.4944761199773229,0.4373333333333333,-0.1485423415085608,,,,,,,0.2657126281183523,-0.213252697423154,-0.111489932885906,0.5526315789473685,-0.2617924211262115,,,,,5.3376,-0.1222834232613909
2007-06-30,0.2078672502402908,,,,-0.0819354218941869,0.329703932158658,,0.0285174753768356,,,0.1304203456999069,,,1.6102647487080908,-0.2478810944975444,,-0.2732073811557096,,0.0,,,,-0.0020515796881506,,-0.5288369074220124,,,,,,,,,,,1.2322167858487016,,,,,,,-0.5851780558229066,,0.5851780558229066,,,,0.0,,,,,0.5114942528735632,-0.2166683633934423,,,,,,0.0,,,,,,,1.1856856470246704,1.9642857142857144,1.415033845638162,1.452700728375844,,,,,,,,,,0.0,,,,,,,26.10309659090909,1.6048782871164575,,,1.3640847555307056,,0.3271697984517273,-0.3634666666666666,0.2253776409959556,,0.2051885211893856,1.5848222248408623,1.5587658763191106,,0.236215268292253,0.5866666666666667,1.6594169366034244,,,,,,,-1.77683233417134,0.3281793008248537,0.5059597315436242,0.4342105263157895,1.5129518355715073,,,,,4.8092,-0.063626185597499
