,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,2011-11-23
otherCurrentLiab,741000000.00,734000000.00,745000000.00,-902000000.00,-691000000.00,-561000000.00,849000000.00,629000000.00,602000000.00,652000000.00,617000000.00,720789000.00,727000000.00,781000000.00,851000000.00,672000000.00,643000000.00,753000000.00,624000000.00,577000000.00,693000000.00,679000000.00,603000000.00,605000000.00,702000000.00,665000000.00,601000000.00,523000000.00,635000000.00,622000000.00,596000000.00,551000000.00,716000000.00,716000000.00,675000000.00,544000000.00,710000000.00,750000000.00,738000000.00,648000000.00,1824000000.00,1839000000.00,1771000000.00,610000000.00,781000000.00,818000000.00,845000000.00,667000000.00,812000000.00,803000000.00,847000000.00,713000000.00,978000000.00,898000000.00,966000000.00,747000000.00,874000000.00,888000000.00,944000000.00,646000000.00,684000000.00,778000000.00,627000000.00,374000000.00,684000000.00,543000000.00,539000000.00,463000000.00,682000000.00,483000000.00,547000000.00,-1477000000.00,565000000.00,499000000.00,538000000.00,335000000.00,760000000.00,435000000.00,434000000.00,318000000.00,472000000.00,379000000.00,404000000.00,222000000.00,594000000.00,547000000.00,503000000.00,408558000.00,692934000.00,499469000.00,577646000.00,475333000.00,680977000.00,550320000.00,632687000.00,526800000.00,-100000.00,523700000.00,512800000.00,397300000.00,100000.00,-100000.00,414700000.00,315100000.00,,,,
commonStock,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,1000000.00,1000000.00,1380000.00,1375000.00,1372000.00,1372000.00,1372000.00,1372000.00,1372000.00,1372000.00,1400000.00,1400000.00,1400000.00,1400000.00,1400000.00,1400000.00,1400000.00,1400000.00,1400000.00,,,,
capitalStock,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,4144000000.00,3817000000.00,3745000000.00,3646000000.00,3636000000.00,3336000000.00,3282000000.00,3182000000.00,3199000000.00,2915000000.00,2850000000.00,2757000000.00,2769000000.00,2525000000.00,2404000000.00,2380000000.00,2408000000.00,2161000000.00,2099000000.00,2024000000.00,2073000000.00,1827000000.00,1699000000.00,1660000000.00,1830000000.00,1649000000.00,1563000000.00,1568000000.00,1643000000.00,1376000000.00,1333000000.00,1331000000.00,1405000000.00,1161000000.00,1111000000.00,1103000000.00,1154000000.00,957000000.00,906000000.00,907000000.00,967000000.00,762000000.00,764000000.00,1006000000.00,2259000000.00,1983000000.00,1869000000.00,2369000000.00,2440000000.00,2248000000.00,2203000000.00,2225000000.00,2266000000.00,2526000000.00,2466000000.00,2455000000.00,2467000000.00,2323000000.00,2241000000.00,2181000000.00,2259000000.00,2188000000.00,2115000000.00,2110000000.00,2134000000.00,2023000000.00,2011000000.00,2024000000.00,2094000000.00,1932000000.00,1939000000.00,1999000000.00,2109000000.00,1959000000.00,1903000000.00,1904000000.00,1945000000.00,1835000000.00,1834000000.00,1853000000.00,1917000000.00,1745000000.00,1738000000.00,1739000000.00,1868000000.00,1725000000.00,1701000000.00,1733558000.00,1772113000.00,1592406000.00,1585667000.00,1613960000.00,1675073000.00,1506290000.00,1480056000.00,1505800000.00,1601600000.00,1438900000.00,1439500000.00,1472200000.00,1533200000.00,1383700000.00,1387300000.00,1434700000.00,,,,
otherLiab,,,,,10575000000.00,10526000000.00,10554000000.00,10518000000.00,10050000000.00,9765000000.00,9678000000.00,9692000000.00,9609000000.00,9476000000.00,9300000000.00,9283000000.00,9376000000.00,9168000000.00,9020000000.00,8896000000.00,8967000000.00,8787000000.00,8596000000.00,6030000000.00,3856000000.00,3872000000.00,3872000000.00,3866000000.00,3590000000.00,3609000000.00,3667000000.00,3634000000.00,3687000000.00,3714000000.00,3629000000.00,3465000000.00,3112000000.00,3151000000.00,3158000000.00,3162000000.00,3671000000.00,3776000000.00,3753000000.00,3880000000.00,3686000000.00,3725000000.00,3841000000.00,3721000000.00,3294000000.00,3459000000.00,3463000000.00,3454000000.00,3518000000.00,3487000000.00,3499000000.00,3428000000.00,3777000000.00,3681000000.00,3761000000.00,3630000000.00,2982000000.00,3161000000.00,3099000000.00,2995000000.00,3262000000.00,3198000000.00,3213000000.00,3017000000.00,2727000000.00,2678000000.00,2663000000.00,2628000000.00,2696000000.00,2619000000.00,2602000000.00,2552000000.00,2407000000.00,2206000000.00,2178000000.00,2123000000.00,1507000000.00,1506000000.00,1513000000.00,959000000.00,691000000.00,731000000.00,754000000.00,675830000.00,662024000.00,677043000.00,668625000.00,642937000.00,649448000.00,630139000.00,670627000.00,,,,,,,,,,,,,
goodWill,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,411000000.00,831000000.00,831000000.00,831000000.00,831000000.00,831000000.00,831000000.00,831000000.00,214000000.00,214000000.00,214000000.00,214000000.00,214000000.00,214000000.00,542000000.00,830000000.00,326000000.00,326000000.00,326000000.00,,326000000.00,303000000.00,307000000.00,320000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherAssets,3124000000.00,3091000000.00,2840000000.00,2605000000.00,4120000000.00,4215000000.00,3869000000.00,4095000000.00,3491000000.00,3065000000.00,2951000000.00,3159000.00,2678000000.00,2608000000.00,2425000000.00,2388000000.00,2411000000.00,2371000000.00,1842000000.00,2169000000.00,2233000000.00,2252000000.00,2140000000.00,2867000000.00,3130000000.00,3094000000.00,3063000000.00,2993000000.00,2888000000.00,2875000000.00,2927000000.00,2924000000.00,3169000000.00,3175000000.00,3191000000.00,3206000000.00,2943000000.00,2897000000.00,2901000000.00,2865000000.00,3278000000.00,3267000000.00,3248000000.00,3370000000.00,3259000000.00,3136000000.00,3240000000.00,3223000000.00,2803000000.00,2843000000.00,2726000000.00,2768000000.00,2856000000.00,3338000000.00,3359000000.00,3338000000.00,3542000000.00,3520000000.00,3533000000.00,3575000000.00,2955000000.00,3313000000.00,3161000000.00,3179000000.00,3335000000.00,3428000000.00,3413000000.00,3418000000.00,3065000000.00,2985000000.00,2997000000.00,2772000000.00,2705000000.00,2529000000.00,2563000000.00,2555000000.00,2570000000.00,1973000000.00,1989000000.00,1999000000.00,2075000000.00,2083000000.00,2116000000.00,1133000000.00,1065000000.00,1110000000.00,1143000000.00,1110499000.00,1069458000.00,1094292000.00,1077912000.00,1087576000.00,1087432000.00,1106105000.00,1155858000.00,,,,,,,,,,,,,
cash,8000000.00,7000000.00,10000000.00,10000000.00,7000000.00,7000000.00,7000000.00,8000000.00,7000000.00,99000000.00,6000000.00,139000000.00,6000000.00,8000000.00,42000000.00,16000000.00,20000000.00,6000000.00,8000000.00,16000000.00,11000000.00,29000000.00,30000000.00,10000000.00,9000000.00,10000000.00,8000000.00,9000000.00,18000000.00,13000000.00,13000000.00,292000000.00,72000000.00,2000000.00,6000000.00,5000000.00,13000000.00,46000000.00,26000000.00,30000000.00,169000000.00,150000000.00,161000000.00,209000000.00,298000000.00,117000000.00,208000000.00,255000000.00,522000000.00,378000000.00,573000000.00,545000000.00,608000000.00,506000000.00,360000000.00,622000000.00,563000000.00,251000000.00,304000000.00,92000000.00,206000000.00,205000000.00,186000000.00,355000000.00,170000000.00,687000000.00,161000000.00,137000000.00,34000000.00,51000000.00,29000000.00,96000000.00,278000000.00,27000000.00,30000000.00,69000000.00,647000000.00,511000000.00,633000000.00,111000000.00,100000000.00,101000000.00,294000000.00,628000000.00,629000000.00,150000000.00,60000000.00,67092000.00,112112000.00,72530000.00,91469000.00,125968000.00,237537000.00,48901000.00,39691000.00,194900000.00,331100000.00,54000000.00,74200000.00,76900000.00,62300000.00,47100000.00,45800000.00,9700000.00,,,,
cashAndEquivalents,8000000.00,7000000.00,10000000.00,10000000.00,7000000.00,7000000.00,7000000.00,8000000.00,7000000.00,99000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,4017000000.00,3243000000.00,2757000000.00,3366000000.00,3175000000.00,3588000000.00,3145000000.00,2826000000.00,2357000000.00,2177000000.00,2307000000.00,2180000000.00,2105000000.00,2000000000.00,2367000000.00,2505000000.00,2285000000.00,2752000000.00,2392000000.00,2687000000.00,2580000000.00,2711000000.00,3345000000.00,2940000000.00,2581000000.00,2765000000.00,2762000000.00,2674000000.00,2291000000.00,2430000000.00,1839000000.00,2093000000.00,2489000000.00,2556000000.00,2520000000.00,2249000000.00,2119000000.00,2312000000.00,2725000000.00,2461000000.00,3228000000.00,3286000000.00,2577000000.00,1698000000.00,1546000000.00,1603000000.00,1614000000.00,1785000000.00,1848000000.00,1727000000.00,1837000000.00,1888000000.00,1914000000.00,1760000000.00,1640000000.00,1711000000.00,1926000000.00,2545000000.00,2881000000.00,3063000000.00,2918000000.00,3078000000.00,3510000000.00,2902000000.00,2504000000.00,2820000000.00,2249000000.00,2202000000.00,1840000000.00,1408000000.00,1499000000.00,1487000000.00,1396000000.00,1380000000.00,1675000000.00,1807000000.00,1374000000.00,1034000000.00,1016000000.00,1457000000.00,1249000000.00,1263000000.00,1057000000.00,1201000000.00,1030000000.00,989000000.00,919000000.00,1581024000.00,1486529000.00,1285505000.00,1147246000.00,1185961000.00,1465396000.00,1188266000.00,1345453000.00,1077200000.00,1198300000.00,985700000.00,941000000.00,954700000.00,1077600000.00,783900000.00,720600000.00,747000000.00,,,,
