,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2017-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,
filing_date,2023-11-02,2023-08-04,2023-04-28,2023-02-24,2022-11-03,2022-08-04,2022-04-29,2022-02-24,2021-11-04,2021-08-05,2021-04-30,2021-02-25,2020-10-29,2020-07-31,2020-04-29,2020-02-27,2019-10-31,2019-08-02,2019-05-03,2019-02-28,2018-11-14,2018-06-30,2018-03-31,2017-12-31,2017-09-30,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
totalAssets,3489600000.00,3495600000.00,3417100000.00,3340600000.00,3380600000.00,3337300000.00,3256800000.00,3188100000.00,3301200000.00,3090200000.00,2666000000.00,2646700000.00,2635000000.00,2560200000.00,2621600000.00,2302500000.00,2218000000.00,2171900000.00,2142800000.00,2172200000.00,1610000000.00,1601100000.00,1560400000.00,1602500000.00,,,1526300000.00,
intangibleAssets,247000000.00,251900000.00,250900000.00,256100000.00,261400000.00,266800000.00,215900000.00,220300000.00,222500000.00,227300000.00,211700000.00,212900000.00,163200000.00,146000000.00,,,,,,,504000000.00,504200000.00,,558700000.00,,,537400000.00,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,45400000.00,36100000.00,41800000.00,46400000.00,40900000.00,31400000.00,36500000.00,59700000.00,36100000.00,30300000.00,37500000.00,32100000.00,28800000.00,25800000.00,29800000.00,33500000.00,27400000.00,19900000.00,22100000.00,23700000.00,30000000.00,9900000.00,8300000.00,9900000.00,,,9300000.00,
totalLiab,1174300000.00,1218300000.00,1173900000.00,1156200000.00,1349300000.00,1341300000.00,1279200000.00,1234800000.00,1360300000.00,1169700000.00,754700000.00,754500000.00,753400000.00,711100000.00,805600000.00,512600000.00,452900000.00,437600000.00,437600000.00,487700000.00,206900000.00,206200000.00,188000000.00,194600000.00,,,184500000.00,
totalStockholderEquity,2315300000.00,2277300000.00,2243200000.00,2184400000.00,2031300000.00,1996000000.00,1977600000.00,1953300000.00,1940900000.00,1920500000.00,1911300000.00,1892200000.00,1881600000.00,1849100000.00,1816000000.00,1789900000.00,1765100000.00,1734300000.00,1705200000.00,1684500000.00,1403100000.00,1394900000.00,1372400000.00,1407900000.00,,1341800000.00,1341800000.00,
deferredLongTermLiab,,192200000.00,183000000.00,175600000.00,154100000.00,148200000.00,137500000.00,134000000.00,151300000.00,1500000.00,114100000.00,112700000.00,106800000.00,1900000.00,1900000.00,1200000.00,1200000.00,1300000.00,1300000.00,58300000.00,16800000.00,,,,,,,
otherCurrentLiab,121700000.00,126000000.00,115700000.00,121800000.00,179200000.00,171000000.00,140400000.00,145900000.00,145600000.00,121300000.00,102100000.00,115200000.00,116400000.00,118700000.00,99700000.00,119400000.00,140100000.00,129000000.00,164700000.00,139300000.00,109100000.00,111000000.00,5400000.00,118000000.00,,,119100000.00,
commonStock,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,1422500000.00,1414200000.00,1391900000.00,1427700000.00,,,1360200000.00,
capitalStock,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,,,,,,,,,,,,,,,,,,
retainedEarnings,640300000.00,607300000.00,568800000.00,515500000.00,363300000.00,333700000.00,297300000.00,279500000.00,272700000.00,251500000.00,233200000.00,219700000.00,211700000.00,182900000.00,152000000.00,122900000.00,104300000.00,74000000.00,44700000.00,19500000.00,,,,,,,,
otherLiab,,,,,229300000.00,225500000.00,188700000.00,206100000.00,227100000.00,171600000.00,192400000.00,196000000.00,168200000.00,151200000.00,151600000.00,106700000.00,102100000.00,107500000.00,69700000.00,68600000.00,36500000.00,23300000.00,21100000.00,9100000.00,,,15600000.00,
goodWill,966600000.00,966700000.00,976500000.00,958500000.00,958600000.00,950900000.00,938600000.00,934900000.00,932600000.00,806200000.00,791300000.00,794000000.00,776000000.00,758000000.00,752700000.00,621900000.00,626600000.00,631400000.00,616300000.00,615200000.00,504000000.00,504200000.00,504200000.00,494300000.00,,,469300000.00,
otherAssets,34000000.00,32600000.00,67100000.00,69600000.00,66400000.00,70000000.00,43100000.00,63100000.00,62200000.00,66000000.00,60000000.00,61600000.00,44000000.00,43100000.00,189300000.00,91600000.00,84000000.00,84900000.00,87200000.00,87000000.00,85700000.00,92800000.00,95300000.00,590600000.00,,,567600000.00,
cash,155300000.00,197900000.00,149200000.00,160400000.00,112200000.00,77000000.00,88600000.00,72900000.00,66100000.00,100300000.00,81900000.00,95800000.00,189000000.00,148400000.00,200700000.00,240400000.00,127500000.00,83300000.00,118000000.00,99400000.00,10400000.00,10600000.00,6700000.00,6800000.00,,,14000000.00,
cashAndEquivalents,155300000.00,197900000.00,149200000.00,160400000.00,112200000.00,77000000.00,88600000.00,72900000.00,66100000.00,100300000.00,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,405100000.00,420800000.00,380400000.00,367700000.00,423400000.00,416400000.00,403700000.00,364000000.00,389400000.00,353000000.00,312200000.00,310300000.00,312200000.00,285900000.00,279000000.00,284000000.00,223800000.00,203100000.00,245800000.00,234200000.00,170100000.00,182600000.00,166500000.00,174100000.00,,,168000000.00,
currentDeferredRevenue,31800000.00,40000000.00,44000000.00,40500000.00,8700000.00,11600000.00,20400000.00,18600000.00,18500000.00,21600000.00,28600000.00,44700000.00,54500000.00,54400000.00,61500000.00,70900000.00,,,,6900000.00,,,,,,,,
netDebt,354900000.00,348700000.00,400700000.00,390200000.00,598300000.00,636000000.00,592000000.00,606600000.00,689700000.00,553600000.00,174000000.00,158700000.00,65600000.00,108200000.00,156200000.00,-133100000.00,-20000000.00,24500000.00,-12900000.00,86100000.00,-10000000.00,-10200000.00,,-6300000.00,,,,
shortTermDebt,6800000.00,16100000.00,14900000.00,14700000.00,13900000.00,13600000.00,14200000.00,14800000.00,12000000.00,8800000.00,5800000.00,6300000.00,4200000.00,4500000.00,4600000.00,3700000.00,1100000.00,1100000.00,1800000.00,1800000.00,100000.00,100000.00,100000.00,100000.00,,,,
shortLongTermDebt,6800000.00,16100000.00,14900000.00,14700000.00,13900000.00,13600000.00,14200000.00,14800000.00,12000000.00,8800000.00,5800000.00,6300000.00,4200000.00,4500000.00,4600000.00,3700000.00,1100000.00,1100000.00,1800000.00,1800000.00,100000.00,100000.00,100000.00,100000.00,,,,
shortLongTermDebtTotal,510200000.00,546600000.00,549900000.00,550600000.00,710500000.00,713000000.00,680600000.00,679500000.00,755800000.00,653900000.00,255900000.00,254500000.00,254600000.00,256600000.00,356900000.00,107300000.00,107500000.00,107800000.00,105100000.00,185500000.00,400000.00,400000.00,,500000.00,,,,
otherStockholderEquity,1691300000.00,1685600000.00,1689800000.00,1684100000.00,1683300000.00,1678100000.00,1696900000.00,1692600000.00,1687900000.00,1688800000.00,1698700000.00,1694100000.00,1692400000.00,1689400000.00,1687500000.00,1686700000.00,1681400000.00,1679800000.00,1678300000.00,1682200000.00,1422500000.00,1414200000.00,-19500000.00,1427700000.00,,,-18400000.00,
