,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31
filing_date,2023-10-27,2023-07-28,2023-05-05,2023-02-17,2022-11-04,2022-07-29,2022-05-06,2022-02-18,2021-10-29,2021-07-30,2021-05-07,2021-02-19,2020-10-30,2020-07-31,2020-05-08,2020-02-14,2019-11-01,2019-08-02,2019-05-10,2019-02-15,2018-11-02,2018-08-03,2018-05-04,2018-02-23,2017-11-03,2017-08-04,2017-05-05,2017-03-03,2016-11-09,2016-08-05,2016-05-06,2016-02-26,2015-11-06,2015-07-31,2015-05-01,2015-02-13,2014-11-07,2014-08-01,2014-05-01,2014-02-14,2013-11-08,2013-08-02,2013-05-03,2013-02-15,2012-11-02,2012-08-03,2012-05-04,2012-03-02,2011-11-04,2011-08-05,2011-05-06,2011-03-04,2010-11-05,2010-08-06,2010-05-07,2010-03-09,2009-11-06,2009-08-07,2009-05-11,2009-03-09,2008-11-10,2008-08-08,2008-05-08,2008-03-05,2007-11-09,2007-08-07,2007-05-07,2007-02-28,2006-11-08,2006-08-09,2006-05-09,2006-03-15,2005-11-09,2005-08-09,2005-05-13,2005-03-31,2004-11-12,2004-08-03,2004-05-13
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
otherCurrentLiab,-517759000.00,-543048000.00,-3650876000.00,-3841814000.00,-706528000.00,-436736000.00,-585748000.00,-3758700000.00,,,,,,,-1495405000.00,-1324824000.00,-1038848000.00,-1300086000.00,-719842000.00,-812221000.00,-865514000.00,-621504000.00,-342263000.00,-229573000.00,-262426537.00,-221415453.00,-575876736.00,-622136790.00,-143060399.00,-212071941.00,-136926292.00,-81752135.00,-68463494.00,-272337195.00,-350375374.00,-128486200.00,-16106110.00,111696000.00,-76986533000.00,140800000.00,-76903733000.00,-76905233000.00,-76902233000.00,-76891333000.00,212991292.00,161141466.00,125115446.00,5637292.00,66133973.00,73495944.00,-76964433000.00,166063014.00,-76942533000.00,-77091073760.00,-77308513196.00,-77356989835.00,-77385315493.00,-77439504704.00,-77436644121.00,-76878033000.00,-76960133000.00,-76971533000.00,-76873933000.00,-76885133000.00,-76896033000.00,-76866633000.00,117400000.00,103300000.00,80264336.00,79373398.00,85000000.00,94200000.00,85300000.00,93200000.00,79200000.00,74600000.00,69200000.00,78000000.00,
commonStock,1885000.00,1831000.00,1838000.00,1782000.00,1715000.00,1685000.00,1602000.00,1514000.00,1430000.00,1417000.00,1337000.00,1232000.00,1159000.00,1122000.00,1106000.00,1097000.00,948000.00,942000.00,860000.00,840000.00,757000.00,686000.00,625000.00,617000.00,617026.00,613499.00,518502.00,514013.00,514013.00,513814.00,513814.00,509625.00,536132.00,536132.00,535937.00,531280.00,531280.00,531280.00,527870.00,517870.00,517870.00,457877.00,457178.00,339000.00,304000.00,304000.00,268037.00,267787.00,265287.00,264237.00,264237.00,257568.00,300000.00,257568.00,256668.00,256668.00,256668.00,256668.00,254218.00,254218.00,254316.00,250171.00,208855.00,207987.00,207367.00,204667.00,175098.00,173888.00,173235.00,172679.00,171128.00,170514.00,170295.00,168792.00,167411.00,164672.00,160225.00,154715.00,81996.00
capitalStock,635569000.00,635515000.00,635522000.00,635466000.00,635399000.00,635369000.00,635336000.00,557677000.00,363065000.00,224044000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,104821000.00,107561000.00,107697000.00,97049000.00,79531000.00,83271000.00,75828000.00,62532000.00,10674000.00,-12084000.00,-35498000.00,-63442000.00,-120539000.00,-167165000.00,-177589000.00,-60920000.00,-65790000.00,-72321000.00,-74589000.00,-74133000.00,-78316000.00,-87128000.00,-88528000.00,-101926000.00,-112069714.00,-117379709.00,-118263597.00,-125134403.00,-137441120.00,-140103326.00,-142631782.00,-136118001.00,-133491962.00,-141187730.00,-144038797.00,-152483322.00,-150966676.00,-207803092.00,-212748410.00,-212231319.00,-209207115.00,-207260372.00,-205076703.00,-207558257.00,-203849948.00,-203130388.00,-216857715.00,-221015880.00,-193230327.00,-190784443.00,-180426093.00,-180689667.00,-139500000.00,-138130776.00,-267215160.00,-293585378.00,-159892614.00,-115754033.00,-67197038.00,-62939722.00,51338745.00,64362458.00,65591339.00,65665951.00,63050138.00,54997135.00,34157839.00,27732489.00,23262914.00,22281046.00,24871061.00,21452789.00,23177398.00,24418388.00,10761064.00,8813138.00,258703.00,-338428.00,-703373.00
otherLiab,,,,,363023000.00,338468000.00,264466000.00,339824000.00,322347000.00,216996000.00,194962000.00,191436000.00,181072000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodWill,92551000.00,93723000.00,94896000.00,96069000.00,97242000.00,98414000.00,99587000.00,100760000.00,101933000.00,103106000.00,104278000.00,105451000.00,106716000.00,108040000.00,109371000.00,110700000.00,112026000.00,113364000.00,114764000.00,116165000.00,117565000.00,118965000.00,120366000.00,121766000.00,123166816.00,119688979.00,96089432.00,97489884.00,99932986.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherAssets,14914840000.00,15217542000.00,15090621000.00,17024099900.00,17746850681.00,17564317293.00,1880222000.00,2587457000.00,11686921000.00,8742036000.00,7766353000.00,7216007000.00,6390298000.00,5897902000.00,6602949000.00,5828773000.00,5148323000.00,5289449000.00,4358456000.00,4335947000.00,4324097000.00,3978387000.00,3525854000.00,3399805000.00,-209567120138.00,-202615355632.00,-203325738166.00,-238567990754.00,-174111737272.00,-158740967693.00,-143707209651.00,-1825564552056.00,-114440555934.00,-129078853456.00,-106115033021.00,-1878542167410.00,-73493663169.00,-48723631709.00,-33587395158.00,1737673262.00,-65479108946.00,-51399735370.00,-79779335125.00,-1700179398720.00,-42975649549.00,-66710473523.00,-56235486932.00,-1774937615670.00,-62095888853.00,-45101305222.00,-69947812970.00,-1729476720072.00,-27251885000.00,-21426903323.00,-90179981566.00,-2058713997228.00,-25323170364.00,-27496965755.00,-12155862021.00,-2576657252511.00,-24150569004.00,-53768463020.00,-22245061960.00,-2898592040466.00,-11752198634.00,-7069521304.00,-5634512968.00,-2202140865789.00,-30735896017.00,1609725979.00,-31571719580.00,-1394679281643.00,1135681098.00,1026798506.00,924431045.00,-911382881823.00,753097344.00,628942213.00,429627220.00
cash,895298000.00,846362000.00,774544000.00,534357000.00,389651000.00,341991000.00,350814000.00,404580000.00,380730000.00,215658000.00,260228000.00,339528000.00,192204000.00,384182000.00,222330000.00,299687000.00,135285000.00,198917000.00,124505000.00,160063000.00,92598000.00,106968000.00,102548000.00,104374000.00,84751397.00,80759389.00,104843232.00,138645430.00,71613974.00,160177704.00,145132766.00,188708687.00,115612829.00,130063658.00,105434483.00,50417745.00,72874163.00,47813740.00,32704172.00,60389552.00,64658561.00,50712074.00,77964567.00,29188889.00,40848637.00,64281810.00,53455266.00,55236479.00,59352275.00,42396026.00,67144569.00,101124564.00,26300000.00,22123807.00,56093924.00,64624275.00,27264044.00,29517467.00,14212369.00,832041.00,22860628.00,46195338.00,12961360.00,22219541.00,14405394.00,9946584.00,8106495.00,7756857.00,8508391.00,6386148.00,5786181.00,19427309.00,15283852.00,103107951.00,29271330.00,6401701.00,16650785.00,6166645.00,5329340.00
cashAndEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,517759000.00,543048000.00,3650876000.00,3841814000.00,706528000.00,436736000.00,585748000.00,722879000.00,652958000.00,465450000.00,549734000.00,2234883000.00,1449940000.00,1235613000.00,351068000.00,353464000.00,346916000.00,321592000.00,312653000.00,323406000.00,304072000.00,289000000.00,283800000.00,299000000.00,299900000.00,284400000.00,279200000.00,284500000.00,288000000.00,47100000.00,47000000.00,54500000.00,54000000.00,50400000.00,47600000.00,51900000.00,55200000.00,133900000.00,136600000.00,140800000.00,219400000.00,217900000.00,220900000.00,231800000.00,236600000.00,231000000.00,212500000.00,167200000.00,166500000.00,160700000.00,158700000.00,183500000.00,183800000.00,178200000.00,186800000.00,184800000.00,172200000.00,172000000.00,229600000.00,245100000.00,163000000.00,151600000.00,249200000.00,238000000.00,227100000.00,256500000.00,117400000.00,103300000.00,101100000.00,94500000.00,85000000.00,94200000.00,85300000.00,93200000.00,79200000.00,74600000.00,69200000.00,78000000.00,
