,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31
researchDevelopment,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
effectOfAccountingCharges,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
incomeBeforeTax,-7257000.00,8002000.00,8892000.00,-9621000.00,-20553000.00,-13474000.00,28905000.00,20069000.00,32808000.00,44344000.00,48649000.00,2942000.00,40081000.00,29424000.00,-470261000.00,27383000.00,51665000.00,56819000.00,70308000.00,82057000.00,53415000.00,49980000.00,66752000.00,60738000.00,39221000.00,56995000.00,82623000.00,32288000.00,45282000.00,61124000.00,79728000.00,34380000.00,36556000.00,64354000.00,77830000.00,34233000.00,13199000.00,13562000.00,60710000.00,34111000.00,29420000.00,40387000.00,81042000.00,57192000.00,46044000.00,58590000.00,115029000.00,48739000.00,45092000.00,17627000.00,71919000.00,49810000.00,42085000.00,39329000.00,59562000.00,39854000.00,34999000.00,44350000.00,57236000.00,34333000.00,32387000.00,37669000.00,40379000.00,24977000.00,25313000.00,31675000.00,46880000.00,30764000.00,27625000.00,31690000.00,34631000.00,23569000.00,13506000.00,25644000.00,29618000.00,21321000.00,17551000.00,24928000.00,20706000.00,16297000.00,13733000.00,13906000.00,13907000.00,12860000.00,10669000.00,10666000.00,3213000.00,3213000.00,-3158000.00,7998000.00,11802000.00,10189000.00,10799000.00,11177000.00,11741000.00,10048000.00,9860000.00,10615000.00,10779000.00,9392000.00,8029000.00,9090000.00,8680000.00,7666000.00,7883000.00,7608000.00,7080000.00,5779000.00,6200000.00,6400000.00,5400000.00,5400000.00,5100000.00,5300000.00,5400000.00
minorityInterest,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,
sellingGeneralAdministrative,187211000.00,124945000.00,131445000.00,129776000.00,194750000.00,192416000.00,170280000.00,126221000.00,170326000.00,168074000.00,171207000.00,124670000.00,161466000.00,160856000.00,179050000.00,121002000.00,233026000.00,233654000.00,239878000.00,224735000.00,221447000.00,217105000.00,224430000.00,213943000.00,207307000.00,194424000.00,199342000.00,198084000.00,196295000.00,208433000.00,217014000.00,131171000.00,345514000.00,325555000.00,327920000.00,345078000.00,333479000.00,333540000.00,264374000.00,258549000.00,258257000.00,251924000.00,253954000.00,232094000.00,247685000.00,237573000.00,234910000.00,226129000.00,218319000.00,247890000.00,216410000.00,206239000.00,206021000.00,206210000.00,206459000.00,196106000.00,193440000.00,185571000.00,196517000.00,176353000.00,175409000.00,190897000.00,192002000.00,179893000.00,169105000.00,163737000.00,161677000.00,149190000.00,143601000.00,142818000.00,143956000.00,129922000.00,136003000.00,121602000.00,119631000.00,106903000.00,104864000.00,100658000.00,102093000.00,92277000.00,88111000.00,81377000.00,83119000.00,75374000.00,73184000.00,71654000.00,69349000.00,69349000.00,75061000.00,65718000.00,66554000.00,59285000.00,56293000.00,55594000.00,56415000.00,51651000.00,51349000.00,50202000.00,48721000.00,47554000.00,48825000.00,47133000.00,46207000.00,38796000.00,36796000.00,37086000.00,37051000.00,33712000.00,35400000.00,33800000.00,32100000.00,,29700000.00,30000000.00,29500000.00
sellingAndMarketingExpenses,7301000.00,6613000.00,12955000.00,7978000.00,7798000.00,12645000.00,10700000.00,6083000.00,11186000.00,18997000.00,17385000.00,32159000.00,15371000.00,5746000.00,11042000.00,,9189000.00,16594000.00,13583000.00,11521000.00,9814000.00,5984000.00,10399000.00,6088000.00,7621000.00,10160000.00,10157000.00,10156000.00,9013000.00,11968000.00,9686000.00,134640000.00,,325278000.00,,,,333535000.00,,258183000.00,154898000.00,154422000.00,168203000.00,147300000.00,150783000.00,148406000.00,158161000.00,135327000.00,136727000.00,134585000.00,144093000.00,124525000.00,122692000.00,124808000.00,,114815000.00,,117915000.00,125204000.00,106307000.00,106962000.00,110902000.00,113597000.00,101908000.00,101299000.00,101063000.00,103051000.00,90701000.00,89806000.00,90321000.00,93281000.00,79399000.00,76727000.00,74374000.00,75130000.00,64079000.00,63845000.00,62062000.00,63470000.00,53125000.00,49630000.00,46517000.00,46389000.00,41530000.00,41394000.00,40036000.00,37562000.00,,34271000.00,33585000.00,32482000.00,31558000.00,30610000.00,30219000.00,28263000.00,26291000.00,25556000.00,25708000.00,24769000.00,23485000.00,23036000.00,21632000.00,21018000.00,18121000.00,17484000.00,17932000.00,17614000.00,16337000.00,16700000.00,17200000.00,16300000.00,,13900000.00,15400000.00,15500000.00
grossProfit,271908000.00,282272000.00,295694000.00,285932000.00,297747000.00,293147000.00,284947000.00,277099000.00,284642000.00,294680000.00,303068000.00,272810000.00,279564000.00,263921000.00,267247000.00,271188000.00,933153000.00,933542000.00,974275000.00,944182000.00,912980000.00,876635000.00,901127000.00,814057000.00,783753000.00,749886000.00,777078000.00,710501000.00,704573000.00,721477000.00,775977000.00,702354000.00,689590000.00,687737000.00,727258000.00,655581000.00,630752000.00,590805000.00,493503000.00,444633000.00,456753000.00,467388000.00,503958000.00,447650000.00,445133000.00,446235000.00,474270000.00,411881000.00,401815000.00,400774000.00,433096000.00,381255000.00,371526000.00,371191000.00,398944000.00,351624000.00,346473000.00,349000000.00,380233000.00,318218000.00,317001000.00,341843000.00,348413000.00,309292000.00,297897000.00,298371000.00,313497000.00,272524000.00,262946000.00,267553000.00,275090000.00,235729000.00,228579000.00,223357000.00,225979000.00,193892000.00,187610000.00,188914000.00,187477000.00,162959000.00,152935000.00,143273000.00,145003000.00,145451000.00,121342000.00,123426000.00,111335000.00,111335000.00,107889000.00,109005000.00,112466000.00,102700000.00,99115000.00,98307000.00,97646000.00,97329000.00,84896000.00,84954000.00,82475000.00,78453000.00,78449000.00,76652000.00,75262000.00,63681000.00,61480000.00,62168000.00,61188000.00,59877000.00,58000000.00,57200000.00,50300000.00,50300000.00,49100000.00,50900000.00,51000000.00
reconciledDepreciation,134733000.00,137759000.00,145861000.00,144570000.00,146577000.00,148040000.00,152862000.00,144412000.00,145283000.00,147868000.00,156279000.00,137605000.00,139112000.00,143722000.00,150821000.00,145443000.00,514756000.00,476366000.00,553184000.00,463309000.00,458732000.00,437890000.00,462123000.00,396957000.00,386548000.00,365060000.00,382638000.00,337683000.00,337763000.00,342182000.00,369045000.00,320811000.00,321932000.00,314174000.00,335930000.00,293701000.00,285886000.00,256674000.00,181973000.00,165013000.00,169116000.00,168761000.00,182215000.00,161209000.00,167307000.00,161306000.00,171611000.00,149754000.00,148958000.00,146191000.00,158661000.00,135941000.00,134467000.00,135515000.00,143609000.00,125660000.00,128044000.00,129047000.00,136620000.00,147793000.00,76701000.00,122102000.00,124797000.00,112645000.00,109872000.00,110480000.00,111877000.00,98819000.00,98161000.00,97958000.00,100643000.00,86863000.00,83544000.00,80919000.00,81805000.00,69973000.00,68474000.00,68821000.00,69919000.00,58754000.00,54532000.00,51064000.00,51047000.00,45794000.00,45370000.00,44237000.00,41845000.00,41845000.00,38225000.00,37415000.00,36063000.00,35049000.00,33802000.00,33092000.00,31166000.00,28963000.00,27563000.00,28807000.00,27413000.00,25819000.00,25426000.00,23818000.00,23027000.00,19778000.00,19027000.00,22116000.00,16566000.00,22593000.00,14600000.00,17200000.00,16900000.00,16900000.00,13500000.00,15400000.00,15500000.00
ebit,-138246000.00,36294000.00,40676000.00,-114264000.00,36924000.00,22230000.00,54101000.00,-99662000.00,55569000.00,58894000.00,68979000.00,-84729000.00,56308000.00,53397000.00,26792000.00,61393000.00,55656000.00,61119000.00,75264000.00,86629000.00,57150000.00,53787000.00,71078000.00,65202000.00,43928000.00,62547000.00,88438000.00,37717000.00,51027000.00,67028000.00,86040000.00,40604000.00,42080000.00,69976000.00,83799000.00,40274000.00,19361000.00,19041000.00,62243000.00,35208000.00,30917000.00,41895000.00,82553000.00,58695000.00,47597000.00,60256000.00,116699000.00,50425000.00,46769000.00,18299000.00,72593000.00,50491000.00,42813000.00,40173000.00,60405000.00,40730000.00,35990000.00,45438000.00,58303000.00,34273000.00,33675000.00,37669000.00,40379000.00,24977000.00,25313000.00,31675000.00,46880000.00,30764000.00,27625000.00,31690000.00,34631000.00,23569000.00,13506000.00,25644000.00,29618000.00,21321000.00,17551000.00,24928000.00,20706000.00,16297000.00,13733000.00,13906000.00,13907000.00,12860000.00,10669000.00,10666000.00,3213000.00,4424000.00,-3158000.00,7998000.00,11802000.00,10189000.00,10799000.00,11177000.00,11741000.00,10048000.00,9860000.00,10615000.00,10779000.00,9392000.00,8029000.00,9090000.00,8680000.00,7666000.00,7883000.00,7608000.00,7080000.00,5779000.00,6200000.00,6400000.00,4800000.00,6200000.00,5100000.00,5300000.00,5400000.00
ebitda,-3513000.00,174053000.00,186537000.00,30306000.00,183501000.00,170270000.00,206963000.00,44750000.00,200852000.00,206762000.00,225258000.00,52876000.00,195420000.00,197119000.00,177613000.00,206836000.00,570412000.00,537485000.00,628448000.00,549938000.00,515882000.00,491677000.00,533201000.00,462159000.00,430476000.00,427607000.00,471076000.00,375400000.00,388790000.00,409210000.00,455085000.00,361415000.00,364012000.00,384150000.00,419729000.00,333975000.00,305247000.00,275715000.00,244216000.00,200221000.00,200033000.00,210656000.00,264768000.00,219904000.00,214904000.00,221562000.00,288310000.00,200179000.00,195727000.00,164490000.00,231254000.00,186432000.00,177280000.00,175688000.00,204014000.00,166390000.00,164034000.00,174485000.00,194923000.00,182066000.00,110376000.00,159771000.00,165176000.00,137622000.00,135185000.00,142155000.00,158757000.00,129583000.00,125786000.00,129648000.00,135274000.00,110432000.00,97050000.00,106563000.00,111423000.00,91294000.00,86025000.00,93749000.00,90625000.00,75051000.00,68265000.00,64970000.00,64954000.00,58654000.00,56039000.00,54903000.00,45058000.00,46269000.00,35067000.00,45413000.00,47865000.00,45238000.00,44601000.00,44269000.00,42907000.00,39011000.00,37423000.00,39422000.00,38192000.00,35211000.00,33455000.00,32908000.00,31707000.00,27444000.00,26910000.00,29724000.00,23646000.00,28372000.00,20800000.00,23600000.00,21700000.00,23100000.00,18600000.00,20700000.00,20900000.00
