,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
filing_date,2023-11-14,2023-08-10,2023-05-12,2023-03-16,2022-11-14,2022-08-05,2022-05-05,2022-03-17,2021-11-08,2021-08-06,2021-05-07,2021-03-24,2020-11-12,2020-08-07,2020-05-12,2020-03-16,2019-11-12,2019-08-09,2019-05-09,2019-03-08,2018-11-07,2018-08-08,2018-05-09,2018-03-09,2017-11-07,2017-08-04,2017-05-03,2017-03-14,2016-11-04,2016-08-05,2016-05-13,2016-03-24,2015-12-16,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
propertyPlantEquipment,,,,,,,,17190000.00,,,,17530000.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,39000.00,0.00,0.00,0.00,19000.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
totalCurrentAssets,422988000.00,420220000.00,423084000.00,433179000.00,454694000.00,576446000.00,707294000.00,616040000.00,845409000.00,567906000.00,563648000.00,598952000.00,581567000.00,416070000.00,378781000.00,402786000.00,376661000.00,387612000.00,432542000.00,455463000.00,369021000.00,297782000.00,306468000.00,358870000.00,262662000.00,336010000.00,322545000.00,345043000.00,432059000.00,224460000.00,232200000.00,275489000.00,417843000.00,419352000.00,341659000.00,364484000.00,,,,
longTermInvestments,481511000.00,150075000.00,155309000.00,472293000.00,509920000.00,296082000.00,553874000.00,562095000.00,49996000.00,693631000.00,75000000.00,544485000.00,330942000.00,797209000.00,481478000.00,605040000.00,600147000.00,602712000.00,557644000.00,490156000.00,87269000.00,99714000.00,92523000.00,281543000.00,130737000.00,130034000.00,129990000.00,351893000.00,125070000.00,,162807000.00,318097000.00,,,,148550000.00,,,,
netTangibleAssets,,903134000.00,909715000.00,896870000.00,875736000.00,887294000.00,1121840000.00,935346000.00,931188000.00,929387000.00,1104846000.00,895419000.00,1052740000.00,848265000.00,816333000.00,892907000.00,885278000.00,880669000.00,885485000.00,912529000.00,971425000.00,959724000.00,934976000.00,960955000.00,936905000.00,887583000.00,882459000.00,874830000.00,898646000.00,751562000.00,761767000.00,751680000.00,,,,579673000.00,,,,
shortTermInvestments,,995000.00,4948000.00,186001000.00,133755000.00,24979000.00,266178000.00,60996000.00,49996000.00,74993000.00,75000000.00,344453000.00,330942000.00,319376000.00,,,-447694000.00,-455524000.00,-407081000.00,-348690000.00,-497966000.00,-552426000.00,-501032000.00,-498228000.00,-565703000.00,-434985000.00,-453168000.00,-472195000.00,-359740000.00,-456752000.00,-460773000.00,-438675000.00,-193844000.00,-215526000.00,-227774000.00,-328241000.00,,,,
netReceivables,38774000.00,37838000.00,21308000.00,28716000.00,32761000.00,31789000.00,183514000.00,60887000.00,50552000.00,48566000.00,33849000.00,39950000.00,28292000.00,22289000.00,20187000.00,54198000.00,25727000.00,26048000.00,36522000.00,45899000.00,20134000.00,24012000.00,22496000.00,65758000.00,20360000.00,16482000.00,14894000.00,30950000.00,29656000.00,29734000.00,28961000.00,69739000.00,54788000.00,58270000.00,21286000.00,78954000.00,,,,
longTermDebt,,,,,,908000.00,2145000.00,5280000.00,5590000.00,7508000.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
inventory,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.49,18990.24,501194000.00,498551000.00,567674000.00,445852000.00,459394000.00,474442000.00,357764000.00,453665000.00,463542000.00,452300000.00,207868000.00,232884000.00,241665000.00,260132000.00,,,,232224000.00
accountsPayable,5618000.00,9917000.00,15208000.00,7784000.00,56356000.00,12107000.00,133867000.00,9339000.00,243282000.00,12234000.00,10488000.00,6496000.00,8443000.00,7299000.00,8819000.00,14889000.00,10557000.00,9347000.00,17423000.00,5511000.00,13325000.00,13034000.00,5621000.00,13281000.00,13421000.00,10121000.00,6168000.00,2396000.00,1549000.00,18972000.00,12251000.00,50648000.00,49365000.00,48885000.00,10127000.00,43397000.00,,,,10001000.00
totalPermanentEquity,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.87,30647.94,881831000.00,751549000.00,898069000.00,754984000.00,751549000.00,582927000.00,582927000.00,582927000.00,0.00,0.00,0.00,,,,,,,
