,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,2018-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,
filing_date,2023-11-07,2023-08-08,2023-05-09,2023-03-15,2022-11-08,2022-08-09,2022-03-31,2022-03-17,2021-09-30,2021-06-30,2021-03-31,2021-03-18,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
otherCashflowsFromInvestingActivities,,,,,,120000.00,-330000.00,-297000.00,-297000.00,-297000.00,-297000.00,-19000.00,-19000.00,-19000.00,-19000.00,-50000.00,-50000.00,-50000.00,-50000.00,-36000.00,-1500.00,28700000.00,28200000.00,26000000.00,15000000.00,,,500000.00,,,900000.00,,1800000.00,1400000.00,800000.00,1900000.00,8700000.00,14800000.00,1700000.00,1800000.00,31000000.00,39000000.00,45400000.00,30600000.00,61600000.00,,1300000.00,4800000.00,157000000.00,156500000.00,109600000.00,35000000.00,,,,,117500000.00,23600000.00,,,,,,,-3000.00
dividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changeToInventory,-3301000.00,-1904000.00,-175000.00,-2819000.00,-1863000.00,-3927000.00,-355000.00,-2063000.00,7000.00,-966000.00,-966000.00,-966000.00,-966000.00,,,,,,,,,13800000.00,,,,13200000.00,8200000.00,,,,,,,,,,,,,,,,,,,,,,19500000.00,15900000.00,9300000.00,600000.00,104300000.00,60900000.00,42000000.00,21600000.00,89500000.00,,,,,,,,
changeToAccountReceivables,2698000.00,188000.00,48901000.00,-49689000.00,-2419000.00,5889000.00,3466000.00,-14322000.00,-13817000.00,-2079000.00,-2079000.00,-2079000.00,-2079000.00,1000.00,-1000.00,150000.00,-140000.00,91000.00,91000.00,,519000.00,,,,13300000.00,45800000.00,39000000.00,47300000.00,2800000.00,6900000.00,,28800000.00,,,,18500000.00,15300000.00,,,8800000.00,,,,15500000.00,,5700000.00,,9800000.00,6200000.00,15400000.00,8700000.00,24100000.00,160800000.00,126900000.00,108500000.00,79900000.00,339300000.00,243400000.00,181600000.00,89300000.00,,,,1776000.00,519000.00
salePurchaseOfStock,,,,,,,,,,,,0.00,,,,0.00,,101479000.00,,-24000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13000.00
otherCashflowsFromFinancingActivities,-1898000.00,75000000.00,-1016000.00,-2132000.00,2612000.00,-689000.00,-1448000.00,-1765000.00,219533000.00,49822000.00,3000.00,54000.00,2000.00,307109000.00,-496000.00,-294000.00,-26782000.00,-548000.00,,,-6500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6500.00
changeToNetincome,,,,,56882000.00,-5696000.00,-16264000.00,-18429000.00,26148000.00,12436000.00,-5857000.00,-6267000.00,-22291000.00,45892500.00,45892500.00,328500.00,526000.00,241500.00,241500.00,,168000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000.00
capitalExpenditures,661000,1212000,1016000,117000,254000,809000,1118000,533000,2338000,2848000,657000,774000,1401000,158000,476000,194000,47000,1907000,75000,2470000,247000,29400000,21800000,14100000,6700000,25600000,18400000,7700000,42400000,30800000,20000000,7400000,32500000,25100000,18300000,8700000,33300000,23100000,13500000,5100000,30200000,16500000,8800000,4600000,10300000,10400000,6600000,2900000,69500000,65500000,16100000,5700000,25600000,30100000,21800000,16600000,241200000,220200000,175200000,93300000,375300000,227078000,111532000,46785000,528000
changeReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashFlowsOtherOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
