,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
filing_date,2023-09-30,2023-08-14,2023-05-15,2023-03-27,2022-11-02,2022-08-11,2022-05-13,2022-03-31,2021-11-15,2021-08-16,2021-05-17,2021-03-03,2020-11-06,2020-08-14,2020-05-11,2020-02-28,2019-11-06,2019-08-07,2019-05-08,2019-02-27,2018-11-07,2018-08-09,2018-05-08,2018-03-01,2017-11-07,2017-08-08,2017-05-09,2017-03-01,2016-11-07,2016-08-08,2016-05-09,2016-02-29,2015-11-09,2015-08-10,2015-05-07,2015-03-02,2014-11-05,2014-07-22,2014-04-29,2014-02-20,2013-10-22,2013-07-23,2013-05-09,2013-02-07
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
researchDevelopment,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
effectOfAccountingCharges,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
incomeBeforeTax,-13442000.00,-3798000.00,-2953000.00,-3927000.00,-3840000.00,-4125000.00,-3693000.00,-6293000.00,-6483000.00,1895000.00,1937000.00,6095000.00,-3612000.00,-8488000.00,-3574000.00,-1374000.00,-2638000.00,2508000.00,-771000.00,-4224000.00,-1138000.00,-1025000.00,-4114000.00,-1560000.00,-1998000.00,-1442000.00,-1261000.00,-960000.00,-930000.00,-388000.00,-951000.00,-74606000.00,-7412000.00,14029000.00,19455000.00,64073000.00,56227000.00,80821000.00,49507000.00,21247000.00,11152000.00,3728000.00,-1824000.00,0.00
minorityInterest,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-65779000.00,-5335000.00,13092000.00,12424000.00,41482000.00,37676000.00,67782000.00,41913000.00,21644000.00,13709000.00,5227000.00,-984000.00,0.00
sellingGeneralAdministrative,1734000.00,2893000.00,2798000.00,3006000.00,2342000.00,2383000.00,2352000.00,2188000.00,4310000.00,3266000.00,2638000.00,2143000.00,2014000.00,2697000.00,2629000.00,2653000.00,1488000.00,2236000.00,1381000.00,1138000.00,1467000.00,1310000.00,1299000.00,5924000.00,6712000.00,6343000.00,6528000.00,6414000.00,6032000.00,6097000.00,5771000.00,27801000.00,25509000.00,22824000.00,42288000.00,8894000.00,36907000.00,13349000.00,7928000.00,10648000.00,5786000.00,3453000.00,2905000.00,135000.00
sellingAndMarketingExpenses,,382000.00,409000.00,-5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,10705000.00,,,37995000.00,10705000.00,8839000.00,14691000.00,16246000.00,5542000.00,,,,,,,
grossProfit,-10541000.00,-1270000.00,-1098000.00,3441363.00,-441563.00,-1520000.00,-924000.00,6599000.00,-878000.00,345000.00,-3545000.00,50435000.00,-1668000.00,-529000.00,-592000.00,-27000.00,-385000.00,-340000.00,-515000.00,47000.00,-671000.00,-608000.00,-162000.00,-15316000.00,-606000.00,-638000.00,324000.00,-12954000.00,2116000.00,3065000.00,2472000.00,9785000.00,45046000.00,60273000.00,88915000.00,103618000.00,87876000.00,99117000.00,63083000.00,34504000.00,19394000.00,7642000.00,1123000.00,0.00
reconciledDepreciation,249000.00,163000.00,158000.00,94000.00,117000.00,116000.00,113000.00,106000.00,107000.00,119000.00,116000.00,-211000.00,156000.00,195000.00,290000.00,226000.00,217000.00,142000.00,152000.00,111000.00,111000.00,105000.00,109000.00,,,,,,,,,3080000.00,2050000.00,-13347000.00,15689000.00,-8172000.00,5866000.00,2970000.00,403000.00,21000.00,4000.00,,,
ebit,-13442000.00,-3977000.00,-1714000.00,-3034000.00,-3405000.00,-4125000.00,-3384000.00,-3844000.00,-5180000.00,-2917000.00,-6048000.00,-17946000.00,-3747000.00,2053000.00,-2831000.00,-4173000.00,-1045000.00,-7611000.00,-3017000.00,1997000.00,-3080000.00,-2762000.00,1235000.00,-1847000.00,-2283000.00,-1700000.00,-1517000.00,-960000.00,-2980000.00,-388000.00,-951000.00,-59091000.00,6782000.00,41957000.00,30938000.00,81108000.00,66340000.00,102590000.00,66544000.00,30957000.00,13604000.00,3535000.00,-1824000.00,0.00
ebitda,-13193000.00,-3814000.00,-1556000.00,-2940000.00,-3288000.00,-4009000.00,-3271000.00,-3738000.00,-5073000.00,-2798000.00,-5932000.00,-18157000.00,-3591000.00,2248000.00,-2541000.00,-3947000.00,-828000.00,-7469000.00,-2865000.00,2108000.00,-2969000.00,-2657000.00,1344000.00,-2134000.00,-2568000.00,-1958000.00,-1773000.00,-1999000.00,-930000.00,-443000.00,-951000.00,-56011000.00,8832000.00,28610000.00,31936000.00,72936000.00,66653000.00,102693000.00,66592000.00,30978000.00,13608000.00,4189000.00,-1782000.00,
