,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
filing_date,2023-11-07,2023-08-07,2023-05-08,2023-03-07,2022-11-07,2022-08-08,2022-05-09,2022-03-09,2021-11-09,2021-08-06,2021-05-07,2021-03-12,2020-11-09,2020-08-10,2020-05-11,2020-03-10,2019-11-06,2019-08-07,2019-05-09,2019-03-11,2018-11-07,2018-08-08,2018-05-10,2018-03-16,2017-11-09,2017-08-08,2017-05-10,2017-03-16,2016-11-14,2016-08-09,2016-05-10,2016-03-10,2015-11-06,2015-08-07,2015-05-11,2015-03-02,2014-11-10,2014-08-08,2014-05-09,2014-03-03,2013-11-12,2013-08-09,2013-05-10,2013-03-18,2012-11-09,2012-08-07,2012-05-09,2012-03-15,2011-11-08,2011-08-08,2011-05-10,2011-03-14,2010-11-05,2010-08-06,2010-05-07,2010-03-16,2009-11-09,2009-08-10,2009-05-11,2009-03-16,2008-11-10,2008-08-08,2008-05-12,2008-03-17,2007-11-14,2007-08-09,2007-05-10,2007-03-30,2006-11-13,2006-08-10,2006-05-12,2006-03-29,2005-09-30,2005-06-30,2005-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
otherCurrentLiab,-22859000.00,-22778000.00,-18204000.00,-17312000.00,-14058000.00,-16590000.00,-10780000.00,-12962000.00,-6508000.00,-9015000.00,-6157000.00,-49676000.00,-129206000.00,-238522000.00,-282726000.00,-7816000.00,-5752000.00,-10487000.00,-6587000.00,-862214000.00,-16730000.00,-8071000.00,-9898000.00,-5153000.00,-4660000.00,-2787000.00,-2417000.00,-4480000.00,-12933000.00,-156629000.00,-161119000.00,-197913000.00,-168273000.00,-157278000.00,-145584000.00,-120424000.00,-44242000.00,-9948000.00,-13511000.00,-12650000.00,-12829000.00,-11258000.00,-10877000.00,-18029000.00,-16653000.00,-12050000.00,-12351000.00,-9571000.00,-141738000.00,-20951000.00,-7335000.00,-4978000.00,-12204000.00,-11743000.00,-4848000.00,-7917000.00,-8657000.00,-4630000.00,-7034000.00,-4712000.00,-4640000.00,-4599000.00,-76965000.00,-7142000.00,-22390000.00,-8155000.00,-9161000.00,-10152000.00,-781524000.00,-82152000.00,-141797000.00,-1140752000.00,-1105473000.00,,
commonStock,8000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,9000.00,10000.00,32000.00,32000.00,32000.00,32000.00,32000.00,32000.00,32000.00,32000.00,32000.00,32000.00,32000.00,31000.00,31000.00,31000.00,31000.00,31000.00,31000.00,31000.00,31000.00,32000.00,32000.00,134000.00,134000.00,133000.00,133000.00,131000.00,129000.00,128000.00,127000.00,127000.00,108000.00,105000.00,100000.00,86000.00,85000.00,80000.00,77000.00,74000.00,70000.00,58000.00,55000.00,51000.00,40000.00,36000.00,25000.00,26000.00,26000.00,26000.00,25000.00,25000.00,26000.00,25000.00,25000.00,25000.00,25000.00,24000.00,18000.00,16000.00,18000.00,16000.00,16000.00,,
capitalStock,18000.00,19000.00,19000.00,19000.00,19000.00,19000.00,19000.00,19000.00,19000.00,19000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,-731088000.00,-733958000.00,-734775000.00,-732359000.00,-724928000.00,-725641000.00,-726331000.00,-723560000.00,-730862000.00,-721057000.00,-731128000.00,-741596000.00,-763058000.00,-768629000.00,-732642000.00,-530501000.00,-525532000.00,-527534000.00,-526666000.00,-525838000.00,-527665000.00,-528952000.00,-531939000.00,-517773000.00,-504070000.00,-515148000.00,-516045000.00,-517177000.00,-506107000.00,-441522000.00,-426935000.00,-406603000.00,-394278000.00,-380389000.00,-327952000.00,-315910000.00,-296253000.00,-277120000.00,-265618000.00,-254645000.00,-228160000.00,-224834000.00,-205890000.00,-195737000.00,-188854000.00,-187109000.00,-186281000.00,-183763000.00,-164196000.00,-159983000.00,-150635000.00,-146187000.00,-122258000.00,-122629000.00,-123216000.00,-114569000.00,-117490000.00,-121509000.00,-108803000.00,-89117000.00,-71907000.00,-62067000.00,-46371000.00,-45301000.00,-38465000.00,-14293000.00,-13830000.00,-13522000.00,-12650000.00,-3654000.00,-3306000.00,-2579000.00,2872000.00,,
otherLiab,,,,,,,,,,,,,56000.00,56000.00,56000.00,56000.00,703000.00,703000.00,703000.00,703000.00,703000.00,703000.00,2883000.00,10418000.00,9600000.00,126860000.00,99539000.00,142660000.00,2158000.00,3084000.00,2742000.00,3941000.00,7466000.00,6991000.00,8860000.00,8476000.00,8830000.00,9855000.00,10242000.00,10586000.00,12208000.00,12705000.00,14036000.00,14687000.00,16195000.00,13570000.00,13304000.00,13210000.00,16218000.00,16535000.00,12009000.00,13292000.00,16022000.00,15643000.00,13267000.00,12767000.00,15658000.00,11830000.00,22786000.00,31589000.00,12885000.00,12833000.00,24454000.00,18040000.00,8571000.00,,3457000.00,5027000.00,4576000.00,2892000.00,1737000.00,896000.00,,,
goodWill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherAssets,2156528000.00,2168492000.00,2192895000.00,2267742000.00,2325177000.00,2270747000.00,1987175000.00,2212294000.00,1936098000.00,1708417000.00,1569280000.00,1615843000.00,1673121000.00,1784010000.00,1882947000.00,2454326000.00,1466919000.00,1570381000.00,1249858000.00,2130913000.00,1246565000.00,1166118000.00,1213172000.00,1912075000.00,1247405000.00,1800806000.00,1827801000.00,1568746000.00,2001105000.00,2268185000.00,2302057000.00,2655448000.00,2604512000.00,2547290000.00,2646156000.00,2639498000.00,2385815000.00,2292455000.00,2138401000.00,1877335000.00,2093428000.00,2198406000.00,2243550000.00,2379781000.00,2172277000.00,2162756000.00,2208654000.00,2188563000.00,2074326000.00,1862004000.00,1813951000.00,1766646000.00,1648115000.00,1669695000.00,1619119000.00,1795184000.00,1635970000.00,1724010000.00,1844518000.00,1936031000.00,1888210000.00,1884958000.00,1901997000.00,269319000.00,1651062000.00,1540062000.00,1339639000.00,1802829000.00,1194923000.00,-123566000.00,-414400000.00,618810000.00,510491000.00,,
cash,64440000.00,57112000.00,87314000.00,66232000.00,60971000.00,34870000.00,79561000.00,35500000.00,109949000.00,90805000.00,70985000.00,29355000.00,122105000.00,57734000.00,42752000.00,79958000.00,51286000.00,47154000.00,55660000.00,82816000.00,48053000.00,80191000.00,61500000.00,181490000.00,282984000.00,102733000.00,157760000.00,116026000.00,114552000.00,65167000.00,71403000.00,78756000.00,104735000.00,145010000.00,217361000.00,79905000.00,163269000.00,222313000.00,166686000.00,262270000.00,144463000.00,168402000.00,67661000.00,85278000.00,112732000.00,31897000.00,37562000.00,43116000.00,28897000.00,46898000.00,61499000.00,29488000.00,38344000.00,38505000.00,27650000.00,51991000.00,15828000.00,10553000.00,10668000.00,14583000.00,12110000.00,14255000.00,9098000.00,6029000.00,15138000.00,2729000.00,14517000.00,5354000.00,13505000.00,3648000.00,23671000.00,17729000.00,23444000.00,,
cashAndEquivalents,64440000.00,57112000.00,87314000.00,66232000.00,60971000.00,34870000.00,79561000.00,35500000.00,109949000.00,90805000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,22859000.00,22778000.00,18204000.00,17312000.00,14058000.00,16590000.00,10780000.00,12962000.00,6508000.00,9015000.00,6157000.00,49676000.00,129206000.00,238522000.00,282726000.00,7816000.00,5752000.00,10487000.00,6587000.00,862214000.00,16730000.00,8071000.00,9898000.00,5153000.00,4660000.00,2787000.00,2417000.00,4480000.00,12933000.00,156629000.00,161119000.00,197913000.00,168273000.00,157278000.00,145584000.00,120424000.00,44242000.00,9948000.00,13511000.00,12650000.00,12829000.00,11258000.00,10877000.00,18029000.00,16653000.00,12050000.00,12351000.00,9571000.00,141738000.00,20951000.00,7335000.00,4978000.00,12204000.00,11743000.00,4848000.00,7917000.00,8657000.00,4630000.00,7034000.00,4712000.00,4640000.00,4599000.00,76965000.00,67000.00,22390000.00,8155000.00,9161000.00,10152000.00,781524000.00,82152000.00,141797000.00,1140752000.00,1105473000.00,,
