,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2001-12-31,2001-09-30,2000-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,2000-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2001-12-31,2001-09-30,2000-09-30,,,,,
filing_date,2023-11-15,2023-08-09,2023-05-09,2023-02-07,2022-11-17,2022-08-10,2022-05-11,2022-02-09,2021-11-17,2021-08-11,2021-05-12,2021-02-10,2020-11-19,2020-08-05,2020-05-06,2020-02-05,2019-11-13,2019-08-07,2019-05-08,2019-02-06,2018-11-13,2018-08-08,2018-05-09,2018-02-07,2017-11-14,2017-08-09,2017-05-10,2017-02-08,2016-11-16,2016-08-10,2016-05-11,2016-02-10,2015-11-25,2015-08-12,2015-05-13,2015-02-11,2014-11-17,2014-08-06,2014-05-07,2014-02-05,2013-11-13,2013-08-07,2013-05-08,2013-02-06,2012-11-19,2012-08-08,2012-05-07,2012-02-06,2011-11-21,2011-08-05,2011-05-06,2011-02-09,2010-11-22,2010-08-06,2010-05-07,2010-02-10,2009-11-27,2009-08-07,2009-05-08,2009-02-10,2008-12-01,2008-08-08,2008-05-09,2008-02-13,2007-12-13,2007-08-09,2007-05-07,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,,,,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,
otherCurrentLiab,,3502845000.00,2259713000.00,2295100000.00,2276993000.00,2370073000.00,1100286000.00,1155103000.00,1116655000.00,1223786000.00,1178845000.00,1523876000.00,1623855000.00,1641271000.00,1737824000.00,2421739000.00,1536059000.00,1320521000.00,1316327000.00,1365535000.00,1468148000.00,1377779000.00,1370370000.00,1256899000.00,1371795000.00,1259457000.00,1273282000.00,1187682000.00,1385789000.00,1251255000.00,1119103000.00,1024449000.00,1174671000.00,1138046000.00,1151714000.00,1107886000.00,518227000.00,534293000.00,438063000.00,494463000.00,517209000.00,496699000.00,454230000.00,490061000.00,320296000.00,1146703000.00,1134626000.00,381448000.00,324899000.00,361796000.00,358840000.00,1182553000.00,1244783000.00,1150709000.00,1123984000.00,1161000.00,50325000.00,138552000.00,81647000.00,88772000.00,85778000.00,12558000.00,2794000.00,482885000.00,42664000.00,36593000.00,97611000.00,109047000.00,91040000.00,,,,54588000.00,,,,213566000.00,180017000.00,177800000.00,,,,,
commonStock,,1385000.00,1387000.00,1390000.00,1389000.00,1396000.00,1407000.00,1413000.00,1432000.00,1449000.00,1468000.00,1486000.00,1570000.00,1602000.00,1589000.00,1582000.00,1575000.00,1577000.00,1573000.00,1570000.00,1570000.00,1607000.00,1602000.00,1591000.00,1575000.00,1560000.00,1555000.00,1551000.00,1539000.00,1535000.00,1529000.00,1525000.00,1513000.00,1507000.00,1500000.00,1497000.00,967000.00,964000.00,962000.00,958000.00,960000.00,976000.00,994000.00,1009000.00,1070000.00,1099000.00,1108000.00,1139000.00,1132000.00,1176000.00,1175000.00,1167000.00,1153000.00,1138000.00,1132000.00,1126000.00,1109000.00,1096000.00,1083000.00,1041000.00,1030000.00,1023000.00,1011000.00,998000.00,991000.00,982000.00,832624000.00,,,,,,,,,,46788000.00,46359000.00,38693000.00,,,,,
capitalStock,,1385000.00,1387000.00,1390000.00,1389000.00,1396000.00,1407000.00,1413000.00,1432000.00,1449000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,,-872832000.00,-662891000.00,-689111000.00,-701654000.00,-731265000.00,-706783000.00,-676902000.00,-504126000.00,-483362000.00,-336852000.00,-254639000.00,174248000.00,540703000.00,451364000.00,537490000.00,599548000.00,1088824000.00,1005086000.00,957230000.00,948148000.00,1014131000.00,953221000.00,1072954000.00,961640000.00,873152000.00,771825000.00,669429000.00,618445000.00,611241000.00,543797000.00,501969000.00,522336000.00,521280000.00,538472000.00,573678000.00,677181000.00,613155000.00,543916000.00,503724000.00,472155000.00,457249000.00,460197000.00,471199000.00,606089000.00,893311000.00,849169000.00,867605000.00,826946000.00,839520000.00,765686000.00,707971000.00,651105000.00,583355000.00,518547000.00,460092000.00,414345000.00,354135000.00,303162000.00,259893000.00,221377000.00,178015000.00,139631000.00,104000000.00,74563000.00,45301000.00,21111000.00,,,,,,,,,,28359000.00,33621000.00,25598000.00,,,,,
otherLiab,,,,,377771000.00,433124000.00,460386000.00,491650000.00,545863000.00,600776000.00,664290000.00,685655000.00,708530000.00,622087000.00,645122000.00,805291000.00,814732000.00,704204000.00,718320000.00,716833000.00,789334000.00,869920000.00,895890000.00,877212000.00,901782000.00,960537000.00,991038000.00,1019552000.00,1097437000.00,876641000.00,901681000.00,856383000.00,0.00,890257000.00,890469000.00,932256000.00,455563000.00,439446000.00,444265000.00,441340000.00,448920000.00,420721000.00,438139000.00,443003000.00,454537000.00,396057000.00,414397000.00,419954000.00,435022000.00,366809000.00,351464000.00,387988000.00,337494000.00,244118000.00,178061000.00,248227000.00,336635000.00,302161000.00,285003000.00,267547000.00,282394000.00,194446000.00,192945000.00,205652000.00,174253000.00,185903000.00,115160000.00,,112970000.00,,,,126243000.00,,,,24429000.00,25122000.00,20384000.00,,,,,
goodWill,,3444586000.00,3431302000.00,3424704000.00,3380761000.00,3435625000.00,3490544000.00,3497763000.00,3502499000.00,3516781000.00,3512839000.00,3514482000.00,3484221000.00,3466584000.00,3446939000.00,3492101000.00,5275281000.00,5906484000.00,5908248000.00,5893534000.00,5921116000.00,5928029000.00,5942572000.00,5997000000.00,5992881000.00,5840508000.00,5805248000.00,5784423000.00,5823843000.00,5831409000.00,5785619000.00,5753212000.00,5820692000.00,5803966000.00,5665369000.00,5671767000.00,1937338000.00,1896371000.00,1887447000.00,1884760000.00,1811754000.00,1797314000.00,1807943000.00,1816965000.00,1775352000.00,2109741000.00,2125304000.00,2097855000.00,2086330000.00,2120527000.00,2047963000.00,2007684000.00,1690386000.00,1148629000.00,1132771000.00,1133659000.00,1062919000.00,1044755000.00,973865000.00,947616000.00,949089000.00,766068000.00,663110000.00,627944000.00,592233000.00,548243000.00,534575000.00,472178000.00,466508000.00,,,,404063000.00,,,,238279000.00,192046000.00,182368000.00,,,,,
otherAssets,,887157000.00,142548000.00,137249000.00,128716000.00,126876000.00,118197000.00,115541000.00,117050000.00,2816944000.00,752673000.00,111976000.00,120975000.00,140970000.00,134312000.00,186376000.00,208791000.00,194021000.00,8000.00,385657000.00,4278328000.00,4260119000.00,15000.00,4330740000.00,4214639000.00,3916343000.00,3728180000.00,-15000.00,31000.00,49000.00,0.00,31000.00,60000.00,2000.00,7238264000.00,-40000.00,17000.00,17000.00,21000.00,-47000.00,21000.00,-6000.00,2092603000.00,-41000.00,2191358000.00,2490669000.00,2514381000.00,2473115000.00,2475436000.00,2490915000.00,2420405000.00,2353340000.00,2037626000.00,1395752000.00,1355138000.00,1366951000.00,1346511000.00,1274166000.00,1253564000.00,1227403000.00,1267923000.00,1077482000.00,956378000.00,837001000.00,797156000.00,848587000.00,754103000.00,,641576000.00,,,,523135000.00,,,,283293000.00,232828000.00,228254000.00,,,,,
cash,1260206000.00,1257731000.00,1073515000.00,1160350000.00,1172209000.00,1010722000.00,965070000.00,1082393000.00,1229196000.00,1049030000.00,934906000.00,1044748000.00,1708332000.00,1331268000.00,1135061000.00,725436000.00,1080354000.00,793567000.00,826878000.00,838302000.00,886733000.00,801419000.00,867225000.00,813166000.00,802362000.00,812459000.00,725972000.00,697717000.00,692145000.00,627997000.00,669778000.00,658044000.00,683893000.00,605900000.00,612597000.00,734648000.00,574188000.00,510147000.00,502543000.00,681743000.00,600677000.00,507591000.00,627732000.00,591296000.00,593776000.00,398394000.00,465662000.00,507486000.00,456940000.00,381467000.00,403384000.00,421238000.00,612857000.00,293882000.00,206549000.00,252949000.00,290777000.00,275006000.00,241201000.00,199175000.00,170871000.00,173108000.00,217675000.00,327077000.00,414515000.00,343073000.00,116264000.00,137774000.00,127870000.00,,,,54352000.00,,,,,,,,,,,
cashAndEquivalents,,1257731000.00,1073515000.00,1160350000.00,1172209000.00,1010722000.00,965070000.00,1082393000.00,1229196000.00,1049030000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,,5714775000.00,5537265000.00,5557718000.00,5404171000.00,5464939000.00,5283478000.00,5513463000.00,5521715000.00,5680031000.00,5601897000.00,6001596000.00,6090454000.00,5751671000.00,5987541000.00,6461458000.00,6461754000.00,5940705000.00,5890187000.00,6040897000.00,6129677000.00,5890070000.00,5641841000.00,5676057000.00,5578379000.00,5189602000.00,5064092000.00,5165328000.00,5304756000.00,5286219000.00,5260488000.00,4755094000.00,4836052000.00,4767207000.00,4461104000.00,4413077000.00,2455769000.00,2053860000.00,2001685000.00,2159670000.00,2053549000.00,1941556000.00,2030958000.00,2233124000.00,2078402000.00,2005151000.00,1936254000.00,1882957000.00,1814446000.00,1818233000.00,1747667000.00,1755065000.00,1852260000.00,1566483000.00,1562260000.00,1572668000.00,1556739000.00,1518213000.00,1396645000.00,1429881000.00,1474079000.00,1197422000.00,1062660000.00,946901000.00,978808000.00,892940000.00,1021564000.00,946732000.00,892552000.00,,,,651618000.00,,,,352450000.00,340970000.00,319823000.00,,,,,
