,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-04-30,2002-01-31,2001-10-31,2001-07-31,2001-04-30,2001-01-31,2000-10-31,2000-07-31,2000-04-30,2000-01-31,1999-10-31,1999-07-31,1999-04-30,1999-01-31
otherCurrentLiab,680000000.00,741000000.00,668000000.00,784000000.00,784000000.00,666000000.00,624000000.00,616000000.00,821000000.00,735000000.00,701000000.00,556000000.00,652000000.00,566000000.00,513000000.00,509000000.00,774000000.00,458000000.00,457000000.00,434000000.00,507000000.00,413000000.00,446000000.00,403000000.00,457000000.00,371000000.00,380000000.00,332000000.00,419000000.00,376000000.00,399000000.00,340000000.00,439000000.00,340000000.00,398000000.00,393000000.00,792000000.00,695000000.00,768000000.00,660000000.00,731000000.00,680000000.00,751000000.00,677000000.00,762000000.00,663000000.00,704000000.00,614000000.00,723000000.00,611000000.00,677000000.00,548000000.00,725000000.00,626000000.00,535000000.00,433000000.00,531000000.00,277000000.00,555000000.00,524000000.00,537000000.00,580000000.00,659000000.00,594000000.00,954000000.00,757000000.00,837000000.00,686000000.00,804000000.00,803000000.00,899000000.00,799000000.00,1166000000.00,845000000.00,877000000.00,808000000.00,885000000.00,872000000.00,891000000.00,743000000.00,892000000.00,845000000.00,1012000000.00,1014000000.00,1058000000.00,498000000.00,979000000.00,1070000000.00,1331000000.00,1080000000.00,1295000000.00,1398000000.00,1419000000.00,1237000000.00,1250000000.00,1040000000.00,930000000.00,,,
commonStock,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,4000000.00,,,
capitalStock,,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,782000000.00,444000000.00,700000000.00,541000000.00,324000000.00,139000000.00,160000000.00,159000000.00,348000000.00,90000000.00,-12000000.00,4000000.00,81000000.00,130000000.00,15000000.00,73000000.00,-18000000.00,-122000000.00,178000000.00,90000000.00,-336000000.00,-416000000.00,-412000000.00,-529000000.00,-126000000.00,-260000000.00,-393000000.00,-453000000.00,6087000000.00,6000000000.00,5720000000.00,5666000000.00,5581000000.00,5474000000.00,5397000000.00,5348000000.00,6459000000.00,6487000000.00,6395000000.00,6289000000.00,6073000000.00,5901000000.00,5774000000.00,5607000000.00,5505000000.00,5114000000.00,4906000000.00,4651000000.00,4456000000.00,4167000000.00,3837000000.00,3637000000.00,3444000000.00,3152000000.00,2947000000.00,2839000000.00,2760000000.00,2735000000.00,2754000000.00,2855000000.00,2791000000.00,2560000000.00,2391000000.00,2218000000.00,2172000000.00,1992000000.00,1807000000.00,1684000000.00,1534000000.00,1695000000.00,1468000000.00,1353000000.00,-1463000000.00,-1509000000.00,-1612000000.00,-1707000000.00,-1810000000.00,-1884000000.00,-1984000000.00,-2088000000.00,-2159000000.00,-2172000000.00,-616000000.00,-470000000.00,-101000000.00,135000000.00,363000000.00,616000000.00,931000000.00,788000000.00,1007000000.00,911000000.00,757000000.00,452000000.00,297000000.00,131000000.00,,,,
otherLiab,,,,,633000000.00,759000000.00,790000000.00,859000000.00,879000000.00,1093000000.00,912000000.00,998000000.00,876000000.00,835000000.00,816000000.00,833000000.00,833000000.00,962000000.00,981000000.00,1023000000.00,1000000000.00,968000000.00,1002000000.00,1011000000.00,450000000.00,608000000.00,652000000.00,681000000.00,634000000.00,585000000.00,688000000.00,654000000.00,582000000.00,637000000.00,665000000.00,693000000.00,929000000.00,980000000.00,985000000.00,947000000.00,883000000.00,1237000000.00,1265000000.00,1345000000.00,1143000000.00,1080000000.00,927000000.00,966000000.00,930000000.00,880000000.00,952000000.00,1161000000.00,1116000000.00,1196000000.00,1033000000.00,1017000000.00,1092000000.00,940000000.00,904000000.00,1307000000.00,1020000000.00,858000000.00,852000000.00,986000000.00,363000000.00,726000000.00,674000000.00,664000000.00,490000000.00,758000000.00,699000000.00,707000000.00,569000000.00,483000000.00,484000000.00,461000000.00,438000000.00,448000000.00,432000000.00,420000000.00,417000000.00,332000000.00,260000000.00,248000000.00,245000000.00,328000000.00,351000000.00,353000000.00,325000000.00,331000000.00,366000000.00,597000000.00,402000000.00,415000000.00,493000000.00,554000000.00,,,,
goodWill,3960000000.00,3984000000.00,3980000000.00,4793000000.00,4773000000.00,4797000000.00,4854000000.00,4893000000.00,4956000000.00,5008000000.00,5059000000.00,4405000000.00,4433000000.00,4482000000.00,4503000000.00,4648000000.00,4700000000.00,3618000000.00,3650000000.00,3699000000.00,3464000000.00,3448000000.00,2618000000.00,2633000000.00,2607000000.00,2612000000.00,2568000000.00,2563000000.00,2517000000.00,2525000000.00,2556000000.00,2478000000.00,2366000000.00,2366000000.00,2341000000.00,2352000000.00,2899000000.00,3012000000.00,3067000000.00,3017000000.00,3047000000.00,2995000000.00,3006000000.00,3071000000.00,3025000000.00,2950000000.00,1597000000.00,1598000000.00,1567000000.00,1580000000.00,1555000000.00,1448000000.00,1456000000.00,1399000000.00,644000000.00,657000000.00,655000000.00,642000000.00,648000000.00,666000000.00,646000000.00,642000000.00,630000000.00,605000000.00,736000000.00,732000000.00,517000000.00,517000000.00,385000000.00,395000000.00,481000000.00,375000000.00,362000000.00,461000000.00,458000000.00,459000000.00,443000000.00,388000000.00,393000000.00,410000000.00,402000000.00,391000000.00,414000000.00,422000000.00,685000000.00,780000000.00,863000000.00,952000000.00,1070000000.00,1178000000.00,1238000000.00,1213000000.00,557000000.00,,,,,,,
otherAssets,,758000000.00,541000000.00,713000000.00,670000000.00,749000000.00,758000000.00,795000000.00,820000000.00,742000000.00,567000000.00,755000000.00,601000000.00,642000000.00,616000000.00,598000000.00,611000000.00,612000000.00,637000000.00,635000000.00,339000000.00,363000000.00,390000000.00,3509000000.00,3500000000.00,3549000000.00,3541000000.00,3584000000.00,3528000000.00,3581000000.00,3542000000.00,3309000000.00,3189000000.00,3186000000.00,3199000000.00,3255000000.00,4230000000.00,4404000000.00,4510000000.00,4436000000.00,4569000000.00,4555000000.00,4622000000.00,4778000000.00,4743000000.00,4407000000.00,2407000000.00,2377000000.00,2482000000.00,2530000000.00,2549000000.00,2464000000.00,2547000000.00,2408000000.00,1224000000.00,1218000000.00,2806000000.00,2837000000.00,2872000000.00,3323000000.00,3405000000.00,1651000000.00,1680000000.00,1588000000.00,3082000000.00,2956000000.00,2715000000.00,2669000000.00,2636000000.00,2688000000.00,2628000000.00,2525000000.00,1431000000.00,1278000000.00,1270000000.00,1266000000.00,1221000000.00,1060000000.00,1057000000.00,979000000.00,961000000.00,791000000.00,1798000000.00,1640000000.00,1744000000.00,1745000000.00,1250000000.00,1304000000.00,1339000000.00,2159000000.00,2234000000.00,1926000000.00,1029000000.00,902000000.00,811000000.00,717000000.00,,,,
cash,1590000000.00,1329000000.00,1175000000.00,1250000000.00,1053000000.00,1071000000.00,1186000000.00,1113000000.00,1484000000.00,1428000000.00,1380000000.00,1329000000.00,1441000000.00,1358000000.00,1324000000.00,1226000000.00,1382000000.00,1765000000.00,2155000000.00,2057000000.00,2247000000.00,2131000000.00,3011000000.00,2887000000.00,2678000000.00,2563000000.00,2389000000.00,2241000000.00,2289000000.00,2199000000.00,2139000000.00,1931000000.00,2003000000.00,2075000000.00,2197000000.00,2118000000.00,3028000000.00,2391000000.00,2950000000.00,2742000000.00,2675000000.00,2330000000.00,2519000000.00,2450000000.00,2351000000.00,1923000000.00,3896000000.00,3662000000.00,3527000000.00,3101000000.00,2975000000.00,2638000000.00,2649000000.00,2317000000.00,2646000000.00,2481000000.00,2479000000.00,1479000000.00,1400000000.00,1362000000.00,1405000000.00,1640000000.00,1710000000.00,1385000000.00,1826000000.00,1486000000.00,2050000000.00,2090000000.00,2262000000.00,2249000000.00,2657000000.00,2737000000.00,2226000000.00,2782000000.00,2685000000.00,2483000000.00,2315000000.00,1937000000.00,1842000000.00,1678000000.00,1607000000.00,1430000000.00,1533000000.00,1754000000.00,1844000000.00,2105000000.00,2235000000.00,2188000000.00,1170000000.00,999000000.00,809000000.00,433000000.00,996000000.00,703000000.00,978000000.00,1368000000.00,,,,
cashAndEquivalents,,1329000000.00,1175000000.00,1250000000.00,1053000000.00,1071000000.00,1186000000.00,1113000000.00,1484000000.00,1428000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,1603000000.00,1760000000.00,1666000000.00,1936000000.00,1861000000.00,1902000000.00,1813000000.00,1584000000.00,1708000000.00,1724000000.00,1758000000.00,1687000000.00,1467000000.00,1314000000.00,1945000000.00,1892000000.00,2080000000.00,1622000000.00,1118000000.00,1095000000.00,1171000000.00,1014000000.00,1365000000.00,1361000000.00,1263000000.00,1241000000.00,1187000000.00,1088000000.00,944000000.00,1151000000.00,1133000000.00,947000000.00,986000000.00,853000000.00,930000000.00,928000000.00,1651000000.00,1579000000.00,1712000000.00,1549000000.00,1602000000.00,1550000000.00,1908000000.00,1846000000.00,1893000000.00,2090000000.00,1835000000.00,1705000000.00,1837000000.00,1505000000.00,1592000000.00,1406000000.00,3083000000.00,2917000000.00,2709000000.00,2549000000.00,1123000000.00,991000000.00,1099000000.00,1130000000.00,1325000000.00,2894000000.00,3044000000.00,2674000000.00,1663000000.00,1510000000.00,1554000000.00,1372000000.00,1538000000.00,1679000000.00,1784000000.00,1637000000.00,1936000000.00,1771000000.00,1765000000.00,1771000000.00,1871000000.00,1814000000.00,1906000000.00,1745000000.00,1906000000.00,1788000000.00,2006000000.00,2023000000.00,2181000000.00,1958000000.00,1609000000.00,1660000000.00,2002000000.00,2804000000.00,3098000000.00,3070000000.00,2758000000.00,2510000000.00,2186000000.00,2067000000.00,1681000000.00,,,
