,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
filing_date,2023-11-07,2023-08-03,2023-05-03,2023-03-01,2022-11-08,2022-08-09,2022-05-04,2022-03-11,2021-11-03,2021-08-04,2021-05-10,2021-03-16,2020-11-05,2020-08-06,2020-05-11,2020-03-16,2019-11-01,2019-08-02,2019-05-08,2019-02-13,2018-11-05,2018-08-03,2018-05-08,2018-02-14,2017-11-08,2017-08-10,2017-03-31,2017-02-28
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalCurrentLiabilities,92217000.00,92752000.00,92864000.00,89905000.00,92680000.00,85997000.00,72370000.00,71835000.00,65524000.00,58008000.00,56242000.00,52390000.00,52629000.00,50475000.00,47136000.00,54946000.00,109898159.00,4283400.00,214948.00,252472.00,78742.00,362134.00,237257.00,157390.00,1295110.00,1461261.00,,490267.00
currentDeferredRevenue,-23067000.00,-24513000.00,,37021000.00,,28723000.00,,2248000.00,,,,3824000.00,,,,12976000.00,104090760.00,,,,,,,,,,,
netDebt,282095000.00,284759000.00,309086000.00,317919000.00,309376000.00,281927000.00,146616000.00,142736000.00,148084000.00,166517000.00,187405000.00,205690000.00,169899000.00,250156000.00,236550000.00,224289000.00,219634868.00,-692097.00,-331926.00,-512827.00,-512827.00,-146162.00,-146162.00,-372073.00,-1636543.00,-1935523.00,,-25000.00
shortTermDebt,28479000.00,28472000.00,23469000.00,23466000.00,23463000.00,23460000.00,18457000.00,17500000.00,18250000.00,18250000.00,18250000.00,18250000.00,18250000.00,18250000.00,18250000.00,15000000.00,70062500.00,16406250.00,16406250.00,,,,,,,,,300000.00
shortLongTermDebt,28479000.00,28472000.00,23469000.00,23466000.00,23463000.00,23460000.00,18457000.00,17500000.00,18250000.00,18250000.00,18250000.00,18250000.00,18250000.00,18250000.00,18250000.00,15000000.00,70062500.00,16406250.00,16406250.00,,,,,,,,,
shortLongTermDebtTotal,512483000.00,518193000.00,537615000.00,542032000.00,521439000.00,502095000.00,341514000.00,341522000.00,327967000.00,345025000.00,360083000.00,340141000.00,349007000.00,398990000.00,403088000.00,349692000.00,330856505.00,,,,,,,,,,,300000.00
otherStockholderEquity,103036000.00,103557000.00,109340000.00,112460000.00,127702000.00,149064000.00,166382000.00,178673000.00,185711000.00,183975000.00,181142000.00,171073000.00,301924000.00,215990000.00,209319000.00,203409000.00,93718772.00,,,,682255.00,2613716.00,4248486.00,5375048.00,5217590.00,5123166.00,,23850.00
propertyPlantEquipment,,,,,206767000.00,189637000.00,157278000.00,152251000.00,147687000.00,144688000.00,143674000.00,143565000.00,130656000.00,123759000.00,125477000.00,119201000.00,114494974.00,93082276.00,93082276.00,,,,,,,,,
totalCurrentAssets,282650000.00,280911000.00,299259000.00,299212000.00,283707000.00,288001000.00,254604000.00,247995000.00,198221000.00,195811000.00,187783000.00,151984000.00,209742000.00,179821000.00,194974000.00,151495000.00,133161998.00,752797.00,349426.00,547827.00,585572.00,256651.00,298062.00,506795.00,1801972.00,2062523.00,,468870.00
longTermInvestments,,,,,,,,,,,,,,,,19000000.00,,,459453806.00,,,,,,,,,
