,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
filing_date,2023-10-27,2023-07-31,2023-05-02,2023-03-02,2022-11-03,2022-08-11,2022-03-31,2022-03-30,2021-09-30,2021-06-30,2021-03-31,2021-03-02,2020-09-30,2020-07-02,2020-05-05,2020-03-05,2019-10-01,2019-07-30,2019-04-04,2019-03-08,2018-09-30,2018-06-30,2018-03-31,2018-03-09,2017-09-30,2017-06-30,2017-03-31,2017-03-20,2016-09-30,2016-06-30,2016-03-31,2016-03-23,2015-09-30,2015-06-30,2015-03-31,2015-03-30,2014-09-30,2014-06-30,2014-03-31,2014-03-18,2013-09-30,2013-06-30,2013-03-31,2013-03-13,2012-11-07,2012-06-30,2012-03-31,2012-03-23,2011-09-30,2011-07-18,2011-03-31,2011-03-23,2010-09-30,2010-06-30,2010-03-31,2010-03-16,2009-09-30,2009-06-30,2009-04-01,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2008-03-21,2007-09-30,2007-06-30,2007-03-31,2007-03-22,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
otherCurrentLiab,,,2487969000.00,2503202000.00,2405995000.00,2315468000.00,2241084000.00,2727056000.00,1596414000.00,1648197000.00,,1750395000.00,1828246000.00,1930874000.00,2149884000.00,1190159000.00,2281224000.00,2242753000.00,2261049000.00,2237494000.00,804467000.00,794740000.00,2368361000.00,829742000.00,5050000.00,23998000.00,57989000.00,51804000.00,53164000.00,53113000.00,49251000.00,47401000.00,79880000.00,102638000.00,134100000.00,135708000.00,3637198000.00,5739000.00,594431000.00,10862000.00,527639000.00,515434000.00,508066000.00,5683000.00,618017000.00,580126000.00,17155000.00,102844000.00,501016000.00,520541000.00,528738000.00,531580000.00,498610000.00,466457000.00,452353000.00,126093000.00,293936000.00,283432000.00,307599000.00,307599000.00,36378000.00,56550000.00,382617000.00,17554000.00,407848000.00,421764000.00,332481000.00,454175000.00,112300000.00,,,152634000.00,,,
commonStock,2876000.00,3024000.00,3024000.00,3024000.00,3024000.00,3024000.00,3024000.00,3024000.00,1721000.00,1721000.00,1721000.00,1721000.00,1721000.00,1721000.00,1721000.00,1754000.00,1810000.00,1810000.00,1866000.00,1866000.00,1923000.00,1923000.00,1923000.00,2058000.00,2117000.00,2174000.00,2229000.00,2282000.00,2282000.00,2380000.00,2408000.00,2457000.00,2568000.00,2568000.00,2562000.00,2559000.00,2559000.00,2559000.00,1199000.00,1199000.00,1197000.00,1196000.00,1193000.00,1193000.00,1278000.00,1570000.00,1570000.00,1570000.00,1570000.00,1570000.00,1570000.00,1570000.00,1163000.00,1163000.00,1163000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,699000.00,384964000.00,,,370000000.00,,,
capitalStock,2876000.00,3024000.00,3024000.00,3024000.00,3024000.00,3024000.00,3024000.00,3024000.00,1721000.00,1721000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,9703259000.00,8598005000.00,8104773000.00,7674922000.00,7181003000.00,6741794000.00,6408091000.00,8410261000.00,8322581000.00,7888710000.00,7625705000.00,7399703000.00,7380699000.00,8232470000.00,7986142000.00,7734609000.00,7424094000.00,7157186000.00,6825312000.00,6591674000.00,6359681000.00,6095973000.00,5846544000.00,5580257000.00,5313120000.00,5047251000.00,4767381000.00,4509007000.00,4146969000.00,3924226000.00,3690953000.00,3472132000.00,3220402000.00,2931090000.00,2621981000.00,2310486000.00,2033996000.00,1689925000.00,1554750000.00,1500039000.00,1434416000.00,1350768000.00,1275079000.00,1207630000.00,1196476000.00,1138565000.00,1108984000.00,1043974000.00,967586000.00,974681000.00,943839000.00,871750000.00,799309000.00,747431000.00,698576000.00,664177000.00,621012000.00,585560000.00,499011000.00,499011000.00,518009000.00,466678000.00,398082000.00,347205000.00,302090000.00,253484000.00,219117000.00,137659000.00,154805000.00,,,49663000.00,,,
otherLiab,,,,,3220098000.00,3141495000.00,3020568000.00,3369698000.00,1828926000.00,1889608000.00,1896934000.00,1913572000.00,1941628000.00,2160678000.00,2036475000.00,2048084000.00,2101210000.00,2068492000.00,2029627000.00,1997089000.00,2002660000.00,1943036000.00,1984647000.00,1282588000.00,1281338000.00,1369434000.00,1404301000.00,1373993000.00,1403505000.00,1395215000.00,1378344000.00,1402022000.00,1433140000.00,1386591000.00,1415760000.00,1375613000.00,1272583000.00,1218998000.00,155776000.00,161050000.00,164933000.00,158115000.00,152910000.00,155919000.00,182052000.00,184233000.00,188963000.00,196071000.00,613935000.00,208196000.00,235199000.00,269422000.00,293809000.00,302802000.00,296573000.00,185524000.00,232878000.00,180249000.00,179971000.00,179175000.00,260573000.00,240057000.00,212154000.00,306663000.00,192664000.00,181121000.00,172484000.00,141489000.00,471225000.00,,,119974000.00,,,
goodWill,,,,,,,,,,,,874548000.00,912896000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,58094000.00,4263076000.00,4719034000.00,8000000.00,9000000.00,12000000.00,13000000.00,15000000.00,18000000.00,21000000.00,24000000.00,27000000.00,,6776.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,6776000.00,37225000.00,,,,,,
otherAssets,813374000.00,1177811000.00,996868000.00,662765000.00,59453637000.00,59076141000.00,59255924000.00,611892000.00,36458412000.00,36883235000.00,37150393000.00,37420363000.00,37567774000.00,38852489000.00,38908325000.00,38946729000.00,1113767000.00,846301000.00,1002575000.00,1000.00,36688303000.00,36311112000.00,35720667000.00,3174815000.00,2935479000.00,3549125000.00,3264555000.00,3365851000.00,3791671000.00,4527054000.00,3916540000.00,4423870000.00,4598107000.00,4818946000.00,5067109000.00,5133405000.00,5193657000.00,5329597000.00,438102000.00,424385000.00,352708000.00,362065000.00,336591000.00,335033000.00,338374000.00,346843000.00,364717000.00,-1000.00,951427000.00,458711000.00,472703000.00,440170000.00,370069000.00,414300000.00,367863000.00,299080000.00,288044000.00,291732000.00,344126000.00,273862000.00,393774000.00,435744000.00,359243000.00,373188000.00,483620000.00,480957000.00,292139000.00,234982000.00,267605000.00,,,195847000.00,,,
cash,2415297000.00,1153922000.00,1089046000.00,1597147000.00,1098542000.00,1229008000.00,1185702000.00,1728794000.00,1311234000.00,1402918000.00,1447514000.00,1248772000.00,3244433000.00,2382655000.00,4693872000.00,1121396000.00,1036919000.00,782884000.00,2348132000.00,1204018000.00,1175969000.00,1598502000.00,2152165000.00,1659669000.00,1454233000.00,1601080000.00,1935630000.00,2035447000.00,2228019000.00,2584552000.00,2929232000.00,2403098000.00,1301492000.00,1568345000.00,1594018000.00,1490369000.00,1744294000.00,1731435000.00,320136000.00,295514000.00,318098000.00,156929000.00,375417000.00,520401000.00,309654000.00,474251000.00,424694000.00,411081000.00,274337000.00,344061000.00,322450000.00,404450000.00,285763000.00,260256000.00,225908000.00,182617000.00,203377000.00,218423000.00,193563000.00,193563000.00,176444000.00,175870000.00,197170000.00,241736000.00,271997000.00,250124000.00,140103000.00,131201000.00,215325000.00,,,183554000.00,,,
cashAndEquivalents,2415297000.00,1153922000.00,1089046000.00,1597147000.00,1098542000.00,1229008000.00,1185702000.00,1728794000.00,1311234000.00,1402918000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,1526381000.00,1372037000.00,4011587000.00,3862940000.00,3992576000.00,3938680000.00,3825519000.00,4613955000.00,2372958000.00,2525323000.00,2534876000.00,2642994000.00,2739982000.00,2917524000.00,3016202000.00,3074572000.00,3159781000.00,3150248000.00,3252546000.00,3215846000.00,3244070000.00,3204782000.00,3414460000.00,3476901000.00,3596361000.00,3714843000.00,3816771000.00,3831308000.00,3964032000.00,4011280000.00,4122784000.00,4377592000.00,4376290000.00,4248767000.00,4281360000.00,1203002000.00,4285076000.00,4274910000.00,647323000.00,152049000.00,574469000.00,559009000.00,549498000.00,132237000.00,618423000.00,581458000.00,663134000.00,565073000.00,506947000.00,541368000.00,668111000.00,210423000.00,516126000.00,492181000.00,472339000.00,147605000.00,309940000.00,311722000.00,180488000.00,180488000.00,410515000.00,439698000.00,427526000.00,415721000.00,444879000.00,462677000.00,368768000.00,489524000.00,411393000.00,,,404102000.00,,,
