,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-03-31,1989-03-31
otherAssets,1973046000.00,2044187000.00,5340.00,959694000.00,418717000.00,-0.71,1588232000.00,-1285700000.00,1550187000.00,1604961000.00,1632943000.00,-4730574000.00,1496384000.00,1486988000.00,1517259000.00,61000.00,1455339000.00,1470054000.00,1429524000.00,,1489182000.00,1534935000.00,1560834000.00,1544704000.00,1441672000.00,1441058000.00,1512171000.00,1540508000.00,1475139000.00,1518906000.00,1566847000.00,1589965000.00,1525846000.00,1612739000.00,1605293000.00,1627892000.00,1536424000.00,1535142000.00,1522631000.00,1533654000.00,1425344000.00,1617314000.00,1616876000.00,1566493000.00,1605472000.00,1657890000.00,1672496000.00,1626531000.00,129000.00,203000.00,1796619000.00,1787568000.00,1743382000.00,1754978000.00,1790407000.00,1912301000.00,1680116000.00,1655500000.00,10000.00,1601442000.00,1611134000.00,1646183000.00,19000.00,1575234000.00,1616625000.00,1601922000.00,140000.00,-1610612000.00,1497318000.00,1479716000.00,2038000.00,-1805017000.00,-134963000.00,605896.00,488500.00,1303446000.00,73182000.00,1279806000.00,1257473000.00,1165342000.00,-94016000.00,40000.00,54000.00,1236482000.00,1231844000.00,1241053000.00,1234351000.00,1228503000.00,134000.00,1250826990.00,47000.00,1266593000.00,706969000.00,787365000.00,256718000.00,272060000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash,,,660.00,40777000.00,640000.00,0.71,,1285700000.00,,,,1037.40,,,,679738000.00,,,,640206000.00,0.00,0.00,0.00,671930000.00,0.00,0.00,0.00,656985000.00,0.00,0.00,0.00,541483000.00,0.00,0.00,0.00,555503000.00,0.00,0.00,0.00,509891000.00,0.00,0.00,0.00,627182000.00,0.00,0.00,0.00,638681000.00,0.00,,0.00,650191000.00,0.00,,,614216000.00,,,,552577000.00,,,,576416000.00,,,,692658000.00,,,,89000.00,135652000.00,104000.00,45500.00,1061523000.00,-72572000.00,,502858000.00,502858000.00,94877000.00,,159991000.00,159991000.00,,,1415158000.00,1415158000.00,,,216251000.00,216251000.00,,,,,86138000.00,88301000.00,115797000.00,75186000.00,225373000.00,164889000.00,91955000.00,63761000.00,101377000.00,79305000.00,69568000.00,57441000.00,113166000.00,95736000.00,124256000.00,124256000.00,139778000.00,125819000.00,88732000.00,52199000.00,104369000.00,86089000.00,76855000.00,96300000.00,125100000.00,69200000.00,,69900000.00,,,48300000.00,51400000.00,61400000.00,39300000.00,41600000.00,,
cashAndEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,,,,-17793000.00,-33134.00,,,,,,,872.66,,,,192110000.00,,,,412313000.00,0.00,0.00,0.00,515660000.00,0.00,0.00,0.00,430569000.00,0.00,0.00,0.00,469753000.00,0.00,0.00,0.00,432355000.00,0.00,0.00,0.00,529004000.00,0.00,0.00,8158000.00,499076000.00,4307000.00,3343000.00,0.00,368049000.00,0.00,,0.00,422860000.00,0.00,160000.00,,278398000.00,1199000.00,1950000.00,,310132000.00,6691000.00,6889000.00,,389475000.00,7898000.00,7246000.00,,328000.00,6397000.00,7120000.00,,7197000.00,19184000.00,12509000.00,104000.00,275264000.00,410.00,458.00,6758.00,524703000.00,375.00,345.00,5035.00,280000.00,173.00,496.00,6032.00,194538000.00,1213.00,514.00,238640000.00,238640000.00,,,,,676100000.00,633400000.00,691300000.00,512100000.00,507800000.00,491100000.00,406000000.00,296000000.00,337100000.00,284200000.00,275400000.00,225200000.00,271900000.00,231600000.00,164800000.00,164800000.00,183900000.00,156800000.00,152300000.00,133100000.00,191000000.00,178400000.00,217800000.00,,,,,,,,,,,,,,
currentDeferredRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netDebt,,,-660.00,-40777000.00,-640000.00,-0.71,,-1285700000.00,,,,-362.40,,,,-679738000.00,,,,-93939000.00,,,,-106185000.00,,,,-144015000.00,,,,42463000.00,,,,-66515000.00,,,,-241493000.00,,,,-304019000.00,,,,-193778000.00,,,,-425200000.00,,,,-365229000.00,,,,-268058000.00,,,,-42369000.00,,,,-692738000.00,,,,-89000.00,-135652000.00,-104000.00,-45500.00,-654006000.00,72572000.00,,-97531000.00,-97531000.00,-94877000.00,,-159991000.00,-159991000.00,,,-787549000.00,-787549000.00,,,565981000.00,565981000.00,,,,,315825000.00,268010000.00,176723000.00,115024000.00,-21621000.00,-1981000.00,27007000.00,26655000.00,-42850000.00,-60209000.00,-50297000.00,-32783000.00,-88495000.00,-70953000.00,-120794000.00,-120794000.00,-136295000.00,-122308000.00,-84815000.00,-48328000.00,-100251000.00,23064000.00,82522000.00,13100000.00,4700000.00,56200000.00,,55600000.00,,,77400000.00,49300000.00,39400000.00,54100000.00,34300000.00,,
shortTermDebt,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,675.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortLongTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortLongTermDebtTotal,,,,,,,,,,,,675.00,,,,,,,,546267000.00,,,,565745000.00,,,,512970000.00,,,,583946000.00,,,,488988000.00,,,,268398000.00,,,,323163000.00,,,,444903000.00,,,,224991000.00,,,,248987000.00,,,,284519000.00,,,,534047000.00,,,,-80000.00,,,,,,,407517000.00,407517000.00,,,405327000.00,405327000.00,,,,,,,627609000.00,627609000.00,,,782232000.00,782232000.00,,,,,401963000.00,356311000.00,292520000.00,190210000.00,203752000.00,162908000.00,118962000.00,90416000.00,58527000.00,19096000.00,19271000.00,24658000.00,24671000.00,24783000.00,3462000.00,3462000.00,3483000.00,3511000.00,3917000.00,3871000.00,4118000.00,109153000.00,159377000.00,109400000.00,129800000.00,125400000.00,,125500000.00,,,125700000.00,100700000.00,100800000.00,93400000.00,75900000.00,,
otherStockholderEquity,-33658000.00,-35152000.00,-868866000.00,-869364000.00,-325937000.00,-201663000.00,-47402000.00,-43309000.00,-86323097.00,-86842111.00,-88870066.00,-20069000.00,-22893000.00,-26465000.00,-29107000.00,-27064000.00,-34172000.00,-35876000.00,-24482000.00,-28220000.00,-31181000.00,-32038000.00,-20666000.00,-15637000.00,-16864000.00,-18076000.00,-16090000.00,-11756000.00,-11615000.00,-9738000.00,-10917000.00,-10352000.00,-11219000.00,-12067000.00,-12385000.00,-13449000.00,-14549000.00,-11473000.00,-12574000.00,-13579000.00,-12684000.00,-115608000.00,-102901000.00,-146459000.00,1612464000.00,1669199000.00,1681199000.00,1640173000.00,1774981000.00,1785581000.00,1795779000.00,1799110000.00,1750309000.00,1773764000.00,1797744000.00,1918118000.00,1687798000.00,1661334000.00,1622763000.00,1620155000.00,1600097000.00,1619073000.00,1600800000.00,1549460000.00,1591679000.00,1580074000.00,1541207000.00,1548188000.00,1490744000.00,1472166000.00,1457086000.00,1360846000.00,1361458000.00,1351513000.00,1334151000.00,1295670000.00,1273308000.00,1272237000.00,1244144000.00,1131038000.00,1203241000.00,1238250000.00,1220915000.00,1230543000.00,1224321000.00,1233130000.00,1226160000.00,1222037000.00,1235551000.00,1244810000.00,1250349000.00,,,-17177000.00,-16605000.00,,479887000.00,467062000.00,458949000.00,430300000.00,415286000.00,416908000.00,403202000.00,398051000.00,386662000.00,371996000.00,483301000.00,476020000.00,467502000.00,460600000.00,406709000.00,406709000.00,399761000.00,391854000.00,383791000.00,381329000.00,377039000.00,271615000.00,216846000.00,214000000.00,208700000.00,109200000.00,,132500000.00,,,124500000.00,120800000.00,116000000.00,111200000.00,108300000.00,,
