,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-03-31,2000-12-31,2001-09-30,2001-06-30
otherCashflowsFromInvestingActivities,-13900000.00,58600000.00,-14600000.00,290900000.00,-21100000.00,109300000.00,231400000.00,-3668100000.00,25700000.00,20500000.00,1800000.00,-772000000.00,-854200000.00,-9100000.00,47500000.00,7500000.00,-91500000.00,46600000.00,-118500000.00,2000000.00,2000000.00,-45800000.00,-43500000.00,2000000.00,3800000.00,0.00,-80100000.00,116500000.00,0.00,0.00,0.00,50900000.00,54300000.00,-65100000.00,0.00,-129700000.00,0.00,-17300000.00,-4600000.00,33900000.00,-61800000.00,33900000.00,33900000.00,-30400000.00,1000000.00,3300000.00,0.00,105000000.00,92500000.00,92500000.00,76700000.00,21700000.00,19800000.00,10800000.00,9400000.00,24400000.00,24700000.00,21700000.00,2800000.00,26700000.00,27800000.00,22900000.00,9500000.00,19361000.00,16407000.00,8982000.00,6562000.00,54103000.00,45777000.00,44494000.00,8746000.00,71526000.00,16214000.00,9706000.00,5127000.00,52550000.00,3513000.00,1704000.00,799000.00,12499000.00,9603000.00,8821000.00,5615000.00,6577000.00,7016000.00,5009000.00,2389000.00,2204000.00,,5574000.00,,
dividendsPaid,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1609300000.00,0.00,0.00,0.00,876100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,916300000.00,0.00,0.00,,336000000.00,,,,1500000.00,,,100000.00,100000.00,7000000.00,7200000.00,7200000.00,7105000.00,7331000.00,6519000.00,6708000.00,6693000.00,6649000.00,,,,,,,,,,,3010000.00,3010000.00,3010000.00,3010000.00,100000.00,1000.00,7479000.00,4202000.00,22606000.00,,13364000.00,,
changeToInventory,74600000.00,-11400000.00,-33300000.00,-43900000.00,-3400000.00,-16100000.00,70300000.00,49900000.00,196000000.00,268100000.00,156500000.00,7500000.00,-43000000.00,455600000.00,7900000.00,11100000.00,118600000.00,102000000.00,-19600000.00,-50800000.00,52200000.00,8600000.00,-34400000.00,62000000.00,130200000.00,75500000.00,-16200000.00,27200000.00,95300000.00,35500000.00,-52700000.00,-5100000.00,43600000.00,-15700000.00,27300000.00,-36800000.00,31400000.00,3400000.00,12600000.00,-17600000.00,5400000.00,5700000.00,-39600000.00,-38900000.00,15200000.00,1900000.00,-54600000.00,-52400000.00,31200000.00,92500000.00,-15000000.00,-24800000.00,1000000.00,-8400000.00,7500000.00,-60500000.00,109000000.00,51700000.00,106600000.00,72400000.00,71700000.00,54300000.00,-8700000.00,-16876000.00,83643000.00,-7606000.00,609000.00,-58423000.00,76978000.00,-1920000.00,-63645000.00,-76135000.00,100971000.00,62653000.00,-30948000.00,-67755000.00,49507000.00,-16715000.00,-47020000.00,-64070000.00,84981000.00,2232000.00,-26696000.00,-93928000.00,34290000.00,-3027000.00,-17233000.00,106414000.00,,,,
changeToAccountReceivables,-27900000.00,-8500000.00,5200000.00,3600000.00,-1200000.00,9500000.00,35700000.00,-13300000.00,6300000.00,23800000.00,18500000.00,-29300000.00,-38400000.00,1900000.00,46700000.00,-23600000.00,4700000.00,-2200000.00,15100000.00,-16300000.00,-2000000.00,-1900000.00,18700000.00,-19800000.00,3700000.00,2200000.00,24100000.00,-27000000.00,-2600000.00,-11000000.00,21100000.00,-15600000.00,-3200000.00,-1700000.00,9300000.00,-19100000.00,7800000.00,-8400000.00,5700000.00,-21600000.00,2200000.00,-7900000.00,12400000.00,-35300000.00,700000.00,17400000.00,1300000.00,-4400000.00,-7000000.00,17100000.00,17300000.00,-18000000.00,-3000000.00,9200000.00,-11700000.00,3000000.00,3700000.00,-9500000.00,6100000.00,30700000.00,71300000.00,38600000.00,9300000.00,14418000.00,36644000.00,30354000.00,20786000.00,-20190000.00,41909000.00,14333000.00,9839000.00,-35129000.00,29351000.00,,-7531000.00,-53664000.00,,,,,,,5069000.00,-30570000.00,,,4872000.00,,,,,
salePurchaseOfStock,-200000.00,-190200000.00,-41100000.00,-87500000.00,-200000.00,8900000.00,-208900000.00,-100000.00,-100000.00,-600000.00,-9600000.00,100000.00,-100000.00,-100000.00,-5000000.00,-20500000.00,-4200000.00,-4200000.00,-12100000.00,-48400000.00,-17000000.00,-20400000.00,-24400000.00,-200000.00,-5100000.00,-15300000.00,-19000000.00,-50100000.00,-100000.00,-60300000.00,-105100000.00,-44500000.00,-104300000.00,-55200000.00,-108200000.00,-92200000.00,-39900000.00,-20900000.00,-14700000.00,-9700000.00,-8200000.00,-5100000.00,-11600000.00,-7600000.00,-6400000.00,-8600000.00,-2700000.00,-15700000.00,-15700000.00,0.00,-4100000.00,300000.00,,-200000.00,-100000.00,100000.00,,,-100000.00,1200000.00,,-200000.00,-1000000.00,-6729000.00,-13432000.00,-820000.00,-36075000.00,,,,,,,,,,,,-1266000.00,-1266000.00,,-5254000.00,-3180000.00,,,,,,,,,
otherCashflowsFromFinancingActivities,1923900000.00,1919600000.00,1798200000.00,1905900000.00,1883600000.00,1754700000.00,2193300000.00,5021500000.00,1004100000.00,1365900000.00,1219500000.00,1472100000.00,1759600000.00,579100000.00,2510700000.00,1297600000.00,1079100000.00,978600000.00,1114000000.00,1331200000.00,1069200000.00,1239700000.00,1023500000.00,1032200000.00,826700000.00,1083000000.00,933500000.00,945800000.00,975500000.00,993700000.00,948700000.00,1188700000.00,1061200000.00,1246000000.00,946800000.00,3210700000.00,996300000.00,875400000.00,761900000.00,1751200000.00,931500000.00,876800000.00,745000000.00,833500000.00,786100000.00,743900000.00,699700000.00,1830800000.00,89800000.00,81500000.00,114800000.00,679000000.00,106400000.00,99800000.00,90300000.00,93700000.00,73200000.00,102600000.00,62400000.00,8800000.00,-335200000.00,120500000.00,28600000.00,282609000.00,73000.00,20577000.00,102354000.00,62313000.00,-30229000.00,-28193000.00,-70708000.00,103406000.00,19903000.00,-4321000.00,-21861000.00,-14836000.00,62439000.00,146000.00,-3070000.00,62419000.00,28986000.00,35874000.00,3738000.00,65997000.00,-33752000.00,-101000.00,-54902000.00,,,20862000.00,,
changeToNetincome,,-7500000.00,6300000.00,-197900000.00,17700000.00,42100000.00,-22300000.00,2100000.00,6300000.00,13400000.00,4500000.00,21900000.00,-21200000.00,3400000.00,13600000.00,10000000.00,4700000.00,-9100000.00,7100000.00,7200000.00,2800000.00,3100000.00,4200000.00,10700000.00,4000000.00,4200000.00,4100000.00,-40500000.00,4000000.00,3300000.00,7200000.00,-10100000.00,-17800000.00,1100000.00,1500000.00,35500000.00,3000000.00,2000000.00,400000.00,3000000.00,9600000.00,5100000.00,-12700000.00,-7300000.00,5300000.00,8500000.00,7300000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalExpenditures,35700000,25600000,15200000,35200000,33200000,18700000,20800000,24800000,25000000,15500000,16700000,19000000,9300000,9100000,11400000,28900000,22400000,11900000,3600000,18800000,9300000,8900000,20900000,26400000,9900000,6400000,5400000,34100000,18600000,22300000,17000000,45000000,14600000,32000000,10400000,13700000,12700000,18200000,13700000,20900000,14000000,9800000,6500000,8400000,19300000,15600000,14000000,6700000,22100000,25000000,16900000,14200000,8400000,4100000,3400000,2200000,1300000,2600000,2200000,217100000,179300000,223800000,15600000,16131000,12141000,15945000,12917000,10591000,11386000,11355000,11944000,27110000,15775000,24403000,10775000,12882000,22069000,22215000,12306000,21199000,8821000,9390000,15223000,19375000,35740000,6231000,8593000,50032000,0,36062000,0,0
changeReceivables,,-8500000.00,5200000.00,3600000.00,-1200000.00,9500000.00,35700000.00,-13300000.00,6300000.00,23800000.00,18500000.00,,-38400000.00,1900000.00,46700000.00,-69700000.00,10000000.00,2800000.00,54500000.00,-76600000.00,5200000.00,4600000.00,60300000.00,-81300000.00,-3200000.00,16800000.00,67200000.00,-80700000.00,3200000.00,-17300000.00,68400000.00,-59000000.00,11200000.00,3300000.00,13200000.00,-62900000.00,27600000.00,-8100000.00,14700000.00,-61800000.00,20100000.00,-10300000.00,25600000.00,-62700000.00,-800000.00,5700000.00,2000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashFlowsOtherOperating,,-172700000.00,-45100000.00,29100000.00,-43900000.00,-90200000.00,-96900000.00,-20200000.00,-1100000.00,-79200000.00,-82400000.00,,-43600000.00,-129200000.00,77300000.00,-7300000.00,-26000000.00,-57500000.00,-36700000.00,-40200000.00,-48400000.00,-68800000.00,-26900000.00,-56200000.00,-56200000.00,-64800000.00,-21500000.00,-37900000.00,-70100000.00,-36400000.00,-17000000.00,11600000.00,-44200000.00,-22900000.00,-38000000.00,-27800000.00,-17000000.00,-18300000.00,-24900000.00,-800000.00,-11100000.00,-9800000.00,-9600000.00,12100000.00,-14300000.00,-15500000.00,-28200000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRateChanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashAndCashEquivalentsChanges,,-219200000.00,61500000.00,94000000.00,41200000.00,-184200000.00,105400000.00,-151700000.00,228300000.00,74500000.00,26400000.00,,-609100000.00,224600000.00,385100000.00,1700000.00,-7800000.00,-1300000.00,2600000.00,1500000.00,4300000.00,-2300000.00,100000.00,1900000.00,100000.00,-400000.00,-300000.00,-300000.00,1900000.00,-2600000.00,1600000.00,-1100000.00,2000000.00,800000.00,-1800000.00,-8200000.00,4100000.00,900000.00,700000.00,4100000.00,-65700000.00,66900000.00,-6100000.00,300000.00,-2800000.00,4400000.00,-7100000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
