,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
date,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
filing_date,2023-10-17,2023-07-25,2023-04-25,2023-01-10,2022-10-19,2022-07-27,2022-04-26,2022-01-12,2021-10-20,2021-07-29,2021-04-28,2021-01-13,2020-10-21,2020-08-04,2020-05-13,2020-01-08,2019-10-16,2019-07-24,2019-04-24,2019-01-15,2018-10-18,2018-07-25,2018-05-11,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
goodWill,1201000000.00,1201000000.00,1201000000.00,1201000000.00,1201000000.00,1201000000.00,1201000000.00,1201000000.00,1200200000.00,1200500000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,1183300000.00,,1037100000.00,1179400000.00,1167800000.00,1152300000.00,1152300000.00,1152300000.00,1131100000.00,1133300000.00,1013800000.00,1028600000.00,1028600000.00,,,
otherAssets,750600000.00,739300000.00,993600000.00,976900000.00,877600000.00,1052900000.00,1012600000.00,943700000.00,912100000.00,797500000.00,779400000.00,697100000.00,665000000.00,626400000.00,654000000.00,559800000.00,643600000.00,676400000.00,647500000.00,,,,,,,,,,,,,,,,,,,
cash,266100000.00,225200000.00,455800000.00,4412300000.00,3392400000.00,3213100000.00,2902000000.00,2661000000.00,2849800000.00,2173800000.00,1717000000.00,1836100000.00,2389600000.00,2022200000.00,470700000.00,406400000.00,435300000.00,662100000.00,926100000.00,462600000.00,1661900000.00,1237000000.00,670300000.00,,572200000.00,1063400000.00,1219200000.00,806100000.00,930600000.00,1476200000.00,579700000.00,727800000.00,777700000.00,989300000.00,1125800000.00,,,
cashAndEquivalents,266100000.00,225200000.00,455800000.00,4412300000.00,3392400000.00,3213100000.00,2902000000.00,2661000000.00,2849800000.00,2173800000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,7923500000.00,7723100000.00,8428800000.00,13309000000.00,8244500000.00,7912300000.00,8348500000.00,7461200000.00,7069700000.00,6704200000.00,6832200000.00,6597300000.00,6727700000.00,6750300000.00,5904300000.00,5972200000.00,5729700000.00,5714800000.00,5152700000.00,5540700000.00,5474000000.00,5129500000.00,5029600000.00,,5605800000.00,5723700000.00,5740800000.00,5330900000.00,5367600000.00,5847900000.00,5182500000.00,5246900000.00,5111500000.00,5154800000.00,6201400000.00,,,
currentDeferredRevenue,1293700000.00,1149500000.00,,896900000.00,1503100000.00,,,1483300000.00,1492300000.00,1365400000.00,1813800000.00,1268600000.00,1280300000.00,1308200000.00,1444100000.00,1099900000.00,1107800000.00,978500000.00,1363700000.00,1020600000.00,1041000000.00,946700000.00,1307600000.00,,1013800000.00,925200000.00,1356300000.00,1359100000.00,1410100000.00,1267200000.00,1305900000.00,1371700000.00,1485100000.00,1398500000.00,1569300000.00,,,
netDebt,14395300000.00,14306400000.00,14505300000.00,10799700000.00,10648200000.00,10877700000.00,11123600000.00,11472700000.00,11576600000.00,12261700000.00,12749900000.00,12645700000.00,12364800000.00,12647400000.00,14209900000.00,14323000000.00,14284800000.00,14592700000.00,9660300000.00,10515300000.00,10103500000.00,10604700000.00,11205500000.00,,11353600000.00,10994700000.00,11118700000.00,11458600000.00,11578800000.00,11436700000.00,11646600000.00,11650800000.00,11199200000.00,11156000000.00,11443200000.00,,,
shortTermDebt,1307600000.00,1242700000.00,1740500000.00,2684900000.00,1481500000.00,1472400000.00,1469400000.00,709800000.00,833200000.00,825200000.00,817700000.00,798200000.00,909400000.00,786800000.00,784500000.00,683000000.00,654100000.00,668200000.00,148800000.00,412600000.00,436500000.00,169400000.00,168200000.00,,178700000.00,303900000.00,318500000.00,303200000.00,370300000.00,849400000.00,334700000.00,270800000.00,181000000.00,246400000.00,624000000.00,,,
shortLongTermDebt,638800000.00,574200000.00,1075700000.00,2025600000.00,826000000.00,825400000.00,828800000.00,82000000.00,211500000.00,214300000.00,212400000.00,212400000.00,331600000.00,219100000.00,221400000.00,133300000.00,24700000.00,145000000.00,,,,,,,,,,,,,,,,,,,,
shortLongTermDebtTotal,14661400000.00,14531600000.00,14961100000.00,15212000000.00,14040600000.00,14090800000.00,14025600000.00,14133700000.00,14426400000.00,14435500000.00,14466900000.00,14481800000.00,14754400000.00,14669600000.00,14680600000.00,14729400000.00,14720100000.00,15254800000.00,10586400000.00,10977900000.00,11765400000.00,11841700000.00,11875800000.00,,11925800000.00,12058100000.00,12337900000.00,12264700000.00,12509400000.00,12912900000.00,12226300000.00,12378600000.00,11976900000.00,12145300000.00,12569000000.00,,,
