,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31
otherCurrentLiab,-1811598000.00,-1816801000.00,-1817382000.00,-1817673000.00,-1841786000.00,-52439000.00,-14486000.00,16881000.00,15507000.00,15029000.00,13324000.00,34545000.00,32522000.00,32519000.00,26859000.00,25014000.00,24353000.00,24119000.00,21535000.00,4020000.00,-9311000.00,5669000.00,-58666000.00,5701000.00,-310333000.00,-32941000.00,-14828000.00,-489000.00,14202000.00,-394562000.00,-473008073.00,10720813.00,-677461749.00,-781668827.00,-962095489.00,-1013859899.00,-1132109582.00,-1275258498.00,-1362716363.00,-1473654686.00,-1619465069.00,5991346.00,6007460.00,-45458215447.00,3314680.00,3138266.00,3066844.00,8184503.00,2379017.00,1981556.00,2466982.00,-37720641106.00,77964996.00,4617000.00,4636105.00,4967605.00,4580206.00,4500592.00,4497745.00,4734028.00,-7179246.00,319450480.00,22470619.00,22547139.00,21926295.00,22105118.00,22237889.00,22393005.00,22557085.00,22800560.00,23052650.00,23186897.00,-29029870.00,23261103.00,23484232.00,23264412.00,23236258.00,9451252.00,9464862.00,9521365.00,9410212.00,8718053.00,8554654.00,8430967.00,8447967.00,8343893.00,8364519.00,8356688.00,8367407.00,8256593.00,8421913.00,8371834.00,-43466476.00,-43876131.00,8473217.00,8628517.00,9500000.00,-3200000.00,600000.00,-32565296.00,32800000.00,22200000.00,14600000.00,-34073267.00,15600000.00,12500000.00,41700000.00,31311225.00,31300000.00,30800000.00,,,,,,,,,
commonStock,10000.00,10000.00,9000.00,9000.00,9000.00,8000.00,8000.00,7000.00,7000.00,7000.00,6000.00,6000.00,6000.00,5000.00,5000.00,5000.00,4000.00,4000.00,4000.00,4000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,2000.00,2000.00,2075.00,2000.00,2000.00,2000.00,2000.00,2000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,985.00,1000.00,1000.00,1000.00,976.00,1000.00,1000.00,825.00,820.00,1000.00,1000.00,793.00,786.00,1000.00,780.00,780.00,775.00,775.00,775.00,775.00,775.00,772.00,772.00,772.00,772.00,768.00,768.00,768.00,649.00,647.00,647.00,647.00,643.00,643.00,448.00,448.00,445.00,445.00,445.00,445.00,442.00,442.00,442.00,442.00,440.00,440.00,440.00,440.00,436.00,,,,435.00,,,,433.00,,,,265.00,,,,,,,,,,,
capitalStock,175010000.00,175010000.00,175009000.00,175009000.00,175009000.00,175008000.00,175008000.00,175007000.00,175007000.00,7000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,-316083000.00,-283995000.00,-254316000.00,-228132000.00,-203040000.00,-182518000.00,-162765000.00,-147366000.00,-130455000.00,-121619000.00,-101137000.00,-91343000.00,-80627000.00,-69595000.00,-62542000.00,-57094000.00,-54841000.00,-51298000.00,-45940000.00,-42945000.00,-35317000.00,-35317000.00,-28449000.00,-28763000.00,-29136000.00,-26547000.00,-26962000.00,-28558000.00,-28339000.00,-31137000.00,-30452339.00,-28262000.00,-26452000.00,-32265000.00,-34138000.00,-32585000.00,-30288000.00,-28708000.00,-24929000.00,-23879000.00,-23264000.00,-22360000.00,-21344000.00,-21167000.00,-21199000.00,-20531000.00,-20897000.00,-20918494.00,-20089000.00,-14355000.00,-14105000.00,-14702252.00,-6543000.00,-5959000.00,-5275237.00,-10632798.00,-10830000.00,-11069000.00,-11212410.00,-11257541.00,-11149000.00,-11099686.00,-10967093.00,-10647624.00,-11431325.00,-11246213.00,-11051622.00,-10858938.00,-10796381.00,-10421351.00,-10107132.00,-9717471.00,-11731356.00,-11426790.00,-11185066.00,-10726663.00,-10822666.00,-11547973.00,-11468401.00,-11227636.00,-12103965.00,-10840106.00,-11041595.00,-11135499.00,-11661307.00,-11752114.00,-11827613.00,-11724832.00,-11774231.00,-11874970.00,-11857064.00,-11663446.00,-11496388.00,-11342974.00,-11076999.00,-10673302.00,-10400000.00,-10100000.00,-9900000.00,-9448351.00,-8800000.00,-8500000.00,-8000000.00,-7537911.00,-7200000.00,-6600000.00,-5900000.00,-5619136.00,-5800000.00,-5300000.00,-5000000.00,-4600000.00,-4200000.00,-3900000.00,-3500000.00,-3100000.00,-2800000.00,-2400000.00,
otherLiab,,,,,37117000.00,33116000.00,29352000.00,33075000.00,32544000.00,30887000.00,34654000.00,29528000.00,33882000.00,27091000.00,22115000.00,21800000.00,26121000.00,25576000.00,24476000.00,28039000.00,28141000.00,27447000.00,29330000.00,32526000.00,33361000.00,33615000.00,33850000.00,3911000.00,6531000.00,8218000.00,6602000.00,3871000.00,5723000.00,3404000.00,5112000.00,3423000.00,1854000.00,2388000.00,1830000.00,1712000.00,2368000.00,2087000.00,2965000.00,3333000.00,3445000.00,3400000.00,2938000.00,3107000.00,3362000.00,9866000.00,9925000.00,10219000.00,10619000.00,10538000.00,10326000.00,10208000.00,10400000.00,10680000.00,10903000.00,10795000.00,10967000.00,11139000.00,11316000.00,11479000.00,11651000.00,11823000.00,11996000.00,12168000.00,12336000.00,12506000.00,12674000.00,12848000.00,13024000.00,13194000.00,13368000.00,13544000.00,13720000.00,59000.00,47000.00,47000.00,97000.00,83000.00,89000.00,93000.00,96000.00,81000.00,81000.00,50000.00,50000.00,50000.00,51000.00,51000.00,54000.00,54000.00,52000.00,,,,,,,,,,,,,,,,,,,,,,,,
goodWill,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherAssets,3000.00,4179000.00,6098575000.00,5820137000.00,5473459000.00,5211240000.00,4837782000.00,5097137000.00,93124000.00,4540595000.00,641759000.00,3842238000.00,436186000.00,382431000.00,367748000.00,357223000.00,343968000.00,16909000.00,320524000.00,288794000.00,279794000.00,243441000.00,1498196000.00,1420375000.00,1324050000.00,1268424000.00,1142871000.00,1066995000.00,1004407000.00,959095000.00,814035000.00,782420000.00,721718000.00,696503000.00,640205000.00,583673000.00,517401000.00,475741000.00,462355000.00,444942000.00,435434000.00,407841000.00,377291000.00,366663000.00,327460000.00,310416000.00,290514000.00,291139000.00,278466000.00,277840000.00,277973000.00,283119000.00,170.00,264893000.00,253965000.00,259113000.00,415.00,414.00,255883000.00,255263000.00,17146479.00,2180990.00,2420065.00,3524373.00,2108517.00,2401075.00,2643858.00,3619644.00,1982601.00,2362209.00,2371060.00,8898922.00,2692157.00,2867151.00,2947695.00,4137810.00,2869784.00,2896828.00,2735830.00,8606535.00,1720789.00,2272486.00,2336306.00,2437064.00,2201444.00,2493584.00,2664883.00,2636166.00,2305467.00,2362751.00,2635203.00,2784784.00,2747309.00,2562042.00,2627906.00,2600677.00,152900000.00,151900000.00,4200000.00,2974541.00,5200000.00,5600000.00,5800000.00,3716163.00,5700000.00,6400000.00,6600000.00,3493251.00,119100000.00,5300000.00,112600000.00,108900000.00,101500000.00,93300000.00,4900000.00,5100000.00,4600000.00,90300000.00,
cash,6384000.00,8068000.00,11809000.00,27763000.00,250487000.00,26267000.00,24888000.00,43252000.00,91881000.00,177046000.00,7369000.00,6137000.00,14715000.00,29341000.00,72091000.00,15603000.00,9353000.00,5520000.00,22325000.00,53955000.00,16811000.00,16811000.00,2230000.00,50807000.00,25510000.00,4173000.00,2300000.00,33395000.00,11491000.00,4035000.00,3711373.00,2712000.00,21380000.00,2871000.00,7919000.00,5399000.00,1403000.00,1623000.00,826000.00,14537000.00,5824000.00,1225000.00,1199000.00,1270000.00,543000.00,618000.00,465000.00,2002663.00,887000.00,852000.00,799000.00,593281.00,337000.00,358000.00,565298.00,688675.00,362000.00,265000.00,262289.00,668677.00,159000.00,180737.00,178746.00,544639.00,146354.00,161634.00,168312.00,463730.00,164292.00,215926.00,238400.00,5714540.00,189894.00,230977.00,158883.00,587524.00,216144.00,198712.00,217895.00,1004090.00,234099.00,201202.00,185043.00,1095610.00,192536.00,761470.00,203465.00,1101861.00,100879.00,152621.00,169613.00,1119072.00,205154.00,184678.00,257755.00,1064241.00,,,300000.00,994159.00,700000.00,1000000.00,1200000.00,1785968.00,1300000.00,1900000.00,400000.00,294389.00,,500000.00,,,,,,,,,
cashAndEquivalents,6384000.00,8068000.00,11809000.00,27763000.00,250487000.00,26267000.00,24888000.00,43252000.00,91881000.00,177046000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,131886000.00,111790000.00,115804000.00,106067000.00,107064000.00,89723000.00,81239000.00,86886000.00,96001000.00,83225000.00,79510000.00,105935000.00,100393000.00,112607000.00,102193000.00,74001000.00,76997000.00,72819000.00,61378000.00,35707000.00,65393000.00,33602000.00,28672000.00,30880000.00,25215000.00,22910000.00,20839000.00,20877000.00,21185000.00,18414000.00,18070142.00,14770000.00,8943000.00,8554000.00,8066000.00,8048000.00,6579000.00,6583000.00,6574000.00,6244000.00,5570000.00,5571000.00,5571000.00,4710000.00,61599000.00,51311000.00,37360000.00,67446885.00,49964000.00,40405000.00,39368000.00,7080690.00,97180139.00,19439000.00,16027066.00,45531994.00,5490439.00,5619078.00,6070733.00,6846063.00,23000000.00,24000000.00,24500000.00,25100000.00,23600000.00,23900000.00,23300000.00,24300000.00,23700000.00,24100000.00,23900000.00,24600000.00,23900000.00,25000000.00,25000000.00,25100000.00,24200000.00,10900000.00,10500000.00,11500000.00,10400000.00,9900000.00,9400000.00,10200000.00,9400000.00,9300000.00,9500000.00,10200000.00,10100000.00,10000000.00,9300000.00,10500000.00,9300000.00,9400000.00,9500000.00,10800000.00,9500000.00,9500000.00,9500000.00,10900000.00,32800000.00,22200000.00,21100000.00,19000000.00,15600000.00,12500000.00,41700000.00,32600000.00,31300000.00,30800000.00,,,,,,,,,
