,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31
depreciation,72002000.00,70420000.00,92554000.00,68576000.00,66533000.00,63110000.00,85581000.00,65196000.00,59426000.00,58058000.00,77253000.00,57170000.00,57690000.00,56642000.00,78579000.00,58806000.00,56308000.00,53372000.00,69885000.00,54600000.00,55340000.00,56552000.00,71692000.00,56507000.00,57553000.00,57770000.00,77430000.00,59125000.00,59997000.00,59945000.00,79320000.00,61980000.00,61636000.00,62613000.00,83247000.00,66078000.00,65912000.00,64498000.00,88205000.00,47736000.00,47987000.00,48045000.00,64027000.00,45777000.00,45240000.00,42728000.00,55799000.00,41469000.00,41507000.00,40434000.00,52539000.00,38996000.00,38508000.00,37250000.00,49683000.00,36061000.00,35288000.00,34413000.00,45155000.00,33366000.00,34691000.00,34152000.00,44731000.00,33923000.00,34021000.00,34061000.00,45495000.00,35319000.00,33440000.00,31172000.00,40026000.00,29387000.00,28358000.00,27610000.00,35203000.00,24877000.00,24970000.00,24369000.00,31743000.00,23476000.00,23875000.00,23492000.00,35004000.00,26244000.00,25986000.00,25562000.00,32910000.00,,,,,,,,
otherCashflowsFromInvestingActivities,,1532000.00,325000.00,1513000.00,1821000.00,830000.00,828000.00,2325000.00,2102000.00,1857000.00,590000.00,909000.00,914000.00,305000.00,71000.00,8709000.00,8714000.00,8566000.00,553000.00,1888000.00,0.00,0.00,0.00,20000.00,20000.00,20000.00,193000.00,20000.00,0.00,0.00,0.00,20000.00,0.00,0.00,0.00,20000.00,0.00,0.00,0.00,19042000.00,16798000.00,16798000.00,9004000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,6636000.00,6636000.00,3251000.00,3251000.00,,,,,,,,,,,,,,,,,,,,,,,,,,4777000.00,2531000.00,1294000.00
dividendsPaid,-14975000.00,-89860000.00,-89487000.00,336230000.00,90631000.00,90803000.00,154796000.00,160925000.00,62954000.00,64825000.00,33146000.00,137000.00,17193000.00,17424000.00,21593000.00,59339000.00,4157000.00,4305000.00,8723000.00,8723000.00,4421000.00,4468000.00,8930000.00,26000.00,4465000.00,4461000.00,8902000.00,4000.00,4443000.00,4441000.00,8850000.00,7000.00,4415000.00,4414000.00,8813000.00,19000.00,4383000.00,4397000.00,8781000.00,11000.00,4370000.00,4393000.00,8800000.00,10000.00,4390000.00,4412000.00,8784000.00,13000.00,4386000.00,4454000.00,9701000.00,24000.00,5017000.00,5107000.00,10903000.00,31000.00,5654000.00,5740000.00,11378000.00,26000.00,5758000.00,5738000.00,11659000.00,25152000.00,6059000.00,6411000.00,12682000.00,19153000.00,6314000.00,6360000.00,6479000.00,,,,,,,,,,,,,,,,,,,,,,,,
changeToInventory,104123000.00,-44970000.00,-100178000.00,12018000.00,-107971000.00,-56750000.00,-119550000.00,-211265000.00,-20959000.00,48069000.00,63883000.00,-163630000.00,-5713000.00,172793000.00,-104899000.00,-38145000.00,-19300000.00,63057000.00,-68742000.00,-183263000.00,-25002000.00,66509000.00,-64369000.00,50591000.00,75034000.00,131307000.00,-89384000.00,31075000.00,60725000.00,10055000.00,-246458000.00,-41195000.00,-20397000.00,-10639000.00,-171865000.00,-100000.00,-10185000.00,-21310000.00,-196062000.00,-92579000.00,-56937000.00,16731000.00,-70728000.00,-111539000.00,-95576000.00,10603000.00,-63786000.00,66563000.00,-17808000.00,26206000.00,-254249000.00,-24372000.00,-22500000.00,-71443000.00,-113688000.00,25200000.00,-21313000.00,45582000.00,-58248000.00,57084000.00,-31213000.00,-67677000.00,-88851000.00,11197000.00,19841000.00,-4455000.00,-92712000.00,-1273000.00,-24939000.00,-12237000.00,-53790000.00,7767000.00,-12311000.00,-18035000.00,-107847000.00,-6507000.00,-5376000.00,-15566000.00,-60220000.00,-11216000.00,-22596000.00,-13518000.00,-17563000.00,40549000.00,-8603000.00,-59295000.00,-42132000.00,13101000.00,732000.00,17351000.00,6295000.00,,,,
changeToAccountReceivables,-52016000.00,25684000.00,,,82353000.00,25640000.00,-174895000.00,120541000.00,-6950000.00,68671000.00,-104931000.00,63245000.00,-133925000.00,32694000.00,57479000.00,-10173000.00,-17739000.00,14295000.00,-121508000.00,43285000.00,-23035000.00,45466000.00,6753000.00,21948000.00,-53517000.00,76235000.00,-21914000.00,-41642000.00,-30247000.00,-57241000.00,-28748000.00,65134000.00,-10486000.00,-76124000.00,-5317000.00,53853000.00,-14697000.00,-87365000.00,-13079000.00,-1899000.00,2737000.00,-33266000.00,70235000.00,-89482000.00,-43990000.00,25970000.00,9151000.00,-39139000.00,-36113000.00,14217000.00,29762000.00,-27945000.00,-20776000.00,22332000.00,33437000.00,-28605000.00,-3600000.00,3518000.00,59980000.00,-144144000.00,-3632000.00,-5786000.00,-5051000.00,-610000.00,11216000.00,-940000.00,6359000.00,23000.00,3600000.00,-2321000.00,-12103000.00,-26312000.00,22900000.00,-3147000.00,26681000.00,6276000.00,10000.00,-4963000.00,-27275000.00,3048000.00,522000.00,8133000.00,7701000.00,1175000.00,-10913000.00,-3745000.00,-20000000.00,3073000.00,,,,19676000.00,7832000.00,1706000.00,
salePurchaseOfStock,-429000.00,-1203000.00,-12605000.00,-75872000.00,-76439000.00,-201700000.00,-264469000.00,-96704000.00,-230213000.00,-395644000.00,-183647000.00,-321361000.00,-111127000.00,-1442000.00,-35761000.00,-12054000.00,-339743000.00,-12347000.00,-134291000.00,-154872000.00,-120825000.00,-434000.00,-5223000.00,-3118000.00,-77000.00,-182000.00,-3121000.00,-6093000.00,-121000.00,-366000.00,-11813000.00,-4845000.00,-86000.00,-144000.00,-1590000.00,-4315000.00,-82000.00,-142000.00,-615000.00,-2158000.00,-2849000.00,-15870000.00,-59918000.00,-1902000.00,-151000.00,-19868000.00,-5174000.00,-1960000.00,-100013000.00,-248787000.00,-280389000.00,-144362000.00,-20709000.00,-167964000.00,-289407000.00,-50495000.00,-35198000.00,-14369000.00,11500000.00,700000.00,-57000000.00,-4121000.00,-158308000.00,-71685000.00,-207799000.00,17900000.00,11300000.00,3100000.00,3500000.00,-84233000.00,-53327000.00,-39042000.00,-19574000.00,20700000.00,-42978000.00,-96373000.00,-49700000.00,7100000.00,3100000.00,,5700000.00,9600000.00,10100000.00,90500000.00,500000.00,-74400000.00,91100000.00,,,,,,,,
otherCashflowsFromFinancingActivities,985000.00,806000.00,3482752000.00,913006000.00,381792000.00,468678000.00,621611000.00,-7000.00,2000.00,-152000.00,104000.00,1103550000.00,345932000.00,-1052000.00,1991717000.00,118479000.00,21806000.00,-21000.00,-215000.00,43707000.00,4595000.00,9215000.00,-1257000.00,543637000.00,12828000.00,41784000.00,484359000.00,953000.00,-1294000.00,936000.00,1886000.00,1226000.00,-355000.00,-177000.00,-1184000.00,307175000.00,-445000.00,142992000.00,815000.00,2415000.00,-3165000.00,-553000.00,-9834000.00,12680000.00,2844000.00,-5119000.00,-6303000.00,35986000.00,49267000.00,308550000.00,190556000.00,11051000.00,1029000.00,1556000.00,75526000.00,-58798000.00,234487000.00,994000.00,186274000.00,-39912000.00,69087000.00,10554000.00,35283000.00,99923000.00,135215000.00,-3570000.00,-107150000.00,11521000.00,28325000.00,41431000.00,8745000.00,20585000.00,-47315000.00,26436000.00,35223000.00,117608000.00,-9829000.00,-50773000.00,-33241000.00,-7739000.00,-69567000.00,-127594000.00,-93352000.00,-41187000.00,-5454000.00,-115113000.00,-113496000.00,,2860000.00,2508000.00,611000.00,5141000.00,6243000.00,6139000.00,2160000.00
changeToNetincome,,,,,26688000.00,13753000.00,36324000.00,41219000.00,27141000.00,27678000.00,36195000.00,12905000.00,63558000.00,15790000.00,15370000.00,27506000.00,15817000.00,14164000.00,22207000.00,17620000.00,14702000.00,10683000.00,18862000.00,-95767000.00,-746000.00,3500000.00,6644000.00,44625000.00,-4484000.00,-7223000.00,151000.00,43252000.00,,,,75598000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalExpenditures,42327000,54878000,89996000,92322000,122427000,96358000,114854000,98656000,61410000,58689000,70884000,74944000,52527000,57132000,83203000,302424000,57799000,50113000,61312000,88583000,43317000,27341000,34474000,28798000,38596000,57085000,65279000,55346000,66293000,48782000,89138000,73515000,46697000,57497000,57038000,66904000,55272000,45741000,60529000,48067000,35786000,48780000,63124000,69972000,54929000,63818000,82463000,60624000,55910000,62712000,88883000,52427000,47831000,38652000,60675000,60312000,41785000,40621000,50216000,48032000,30971000,47120000,58863000,64080000,30868000,39712000,75940000,57802000,68769000,54061000,77954000,56823000,39614000,60280000,59497000,54472000,38201000,55088000,32005000,30846000,19736000,20283000,30312000,29662000,21886000,20217000,26421000,63695000,49550000,31048000,17627000,70566000,46883000,28031000,12692000
changeReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
