,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31
changeToAccountReceivables,-44000000.00,122000000.00,-62000000.00,-123000000.00,-147000000.00,-185000000.00,-77000000.00,-52000000.00,2000000.00,-41000000.00,-79000000.00,88000000.00,-10000000.00,10000000.00,-40000000.00,46000000.00,17000000.00,1000000.00,9000000.00,-81000000.00,-131000000.00,45000000.00,-39000000.00,102000000.00,-159000000.00,-170000000.00,50000000.00,-98000000.00,-31000000.00,329000000.00,37000000.00,-64000000.00,130000000.00,-107000000.00,-337000000.00,-26000000.00,-182000000.00,-93000000.00,-219000000.00,11000000.00,-56000000.00,149000000.00,42000000.00,-50000000.00,-16000000.00,14000000.00,-189000000.00,-51000000.00,-3000000.00,-70000000.00,-112000000.00,38000000.00,-67000000.00,-5000000.00,-64000000.00,144000000.00,-79000000.00,-83000000.00,80000000.00,,,,,,,,,93000000.00,,,,26000000.00,,,,,,,,,,,,128000000.00,,,,712000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salePurchaseOfStock,3000000.00,-100000000.00,-29000000.00,60000000.00,60000000.00,-26000000.00,-39000000.00,1167000000.00,531000000.00,-2000000.00,1106000000.00,-1000000.00,95000000.00,77000000.00,22000000.00,-170000000.00,-110000000.00,-90000000.00,-40000000.00,-138000000.00,-59000000.00,-94000000.00,-6000000.00,-410000000.00,-64000000.00,-136000000.00,-4000000.00,-306000000.00,-60000000.00,-92000000.00,-79000000.00,-74000000.00,-101000000.00,-272000000.00,-35000000.00,-168000000.00,-108000000.00,-125000000.00,6000000.00,-259000000.00,-45000000.00,3000000.00,55000000.00,301000000.00,-70000000.00,-231000000.00,5000000.00,-54000000.00,-127000000.00,-35000000.00,-63000000.00,-84000000.00,125000000.00,0.00,1570000000.00,791000000.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1200000.00,-500000.00,,,,,,,,,,,,,,,,,,,,,,
otherCashflowsFromFinancingActivities,18236000000.00,16367000000.00,3999000000.00,4710000000.00,1860000000.00,3447000000.00,2455000000.00,2454000000.00,-88000000.00,551000000.00,90000000.00,208000000.00,2840000000.00,3115000000.00,1550000000.00,2685000000.00,1436000000.00,1976000000.00,1195000000.00,673000000.00,503000000.00,584000000.00,2523000000.00,964000000.00,2263000000.00,1868000000.00,720000000.00,2414000000.00,896000000.00,2075000000.00,318000000.00,-29000000.00,-95000000.00,82000000.00,638000000.00,-188000000.00,-231000000.00,1715000000.00,1119000000.00,-303000000.00,-285000000.00,1142000000.00,1494000000.00,87000000.00,36000000.00,-449000000.00,490000000.00,3923000000.00,664000000.00,1946000000.00,91000000.00,648000000.00,-26000000.00,702000000.00,242000000.00,232000000.00,335000000.00,1094000000.00,247000000.00,-222000000.00,36000000.00,197000000.00,323000000.00,496000000.00,-370000000.00,-74000000.00,-725000000.00,-137000000.00,-275000000.00,-30000000.00,-283000000.00,-246000000.00,-2000000.00,-168000000.00,-163000000.00,-204000000.00,-195000000.00,-356000000.00,-381000000.00,-281000000.00,-254000000.00,405000000.00,-225000000.00,-244000000.00,33000000.00,-100000000.00,410000000.00,-48000000.00,870000000.00,-112000000.00,932000000.00,1390000000.00,839000000.00,1058000000.00,755000000.00,3973000000.00,499000000.00,491000000.00,101000000.00,194000000.00,-79000000.00,1288000000.00,-100000000.00,1531000000.00,-149000000.00,1521000000.00,317000000.00,137000000.00,233000000.00,540000000.00,-1000000.00,110200000.00,40500000.00,-8800000.00,-11300000.00,-20600000.00,-10500000.00,-30800000.00,-9700000.00,,,,,,,,,,,,,,,,
changeToNetincome,,148000000.00,65000000.00,1382000000.00,212000000.00,462000000.00,86000000.00,1042000000.00,170000000.00,651000000.00,593000000.00,1548000000.00,-90000000.00,-77000000.00,50000000.00,446000000.00,178000000.00,176000000.00,182000000.00,250000000.00,246000000.00,-171000000.00,-364000000.00,1688000000.00,56000000.00,207000000.00,212000000.00,1008000000.00,109000000.00,679000000.00,137000000.00,274000000.00,236000000.00,58000000.00,97000000.00,-307000000.00,205000000.00,76000000.00,447000000.00,701000000.00,-11000000.00,76000000.00,180000000.00,88000000.00,,,78000000.00,-385000000.00,,,39000000.00,-644000000.00,,,88000000.00,,,,,,88000000.00,89000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalExpenditures,1899000000,1845000000,1551000000,1840000000,1052000000,893000000,766000000,582000000,535000000,567000000,432000000,525000000,413000000,386000000,576000000,777000000,558000000,566000000,504000000,529000000,598000000,499000000,495000000,590000000,464000000,649000000,474000000,575000000,515000000,615000000,640000000,621000000,519000000,549000000,619000000,627000000,481000000,509000000,399000000,658000000,464000000,320000000,546000000,655000000,510000000,492000000,579000000,598000000,813000000,540000000,479000000,782000000,526000000,509000000,493000000,755000000,572000000,619000000,574000000,877000000,578000000,752000000,633000000,697000000,538000000,714000000,415000000,415000000,425000000,388000000,342000000,260000000,270000000,260000000,271000000,294000000,221000000,187000000,190000000,350000000,305000000,308000000,265000000,374000000,451000000,638000000,653000000,906000000,1102000000,398000000,767000000,795000000,760000000,308000000,287000000,193000000,343000000,235000000,63000000,261000000,114000000,14000000,156000000,161000000,144000000,109000000,97000000,182000000,119000000,160000000,45000000,18600000,56200000,44700000,75700000,4300000,600000,1500000,3300000,,,,,,,,,,,,,,,,
changeReceivables,,122000000.00,-62000000.00,-123000000.00,-147000000.00,-185000000.00,-77000000.00,-52000000.00,2000000.00,-41000000.00,-79000000.00,8000000.00,10000000.00,-10000000.00,40000000.00,46000000.00,17000000.00,1000000.00,9000000.00,-81000000.00,-131000000.00,45000000.00,-39000000.00,102000000.00,-159000000.00,-170000000.00,50000000.00,-98000000.00,-31000000.00,329000000.00,37000000.00,-64000000.00,130000000.00,-107000000.00,-337000000.00,-26000000.00,-182000000.00,-93000000.00,-219000000.00,11000000.00,-56000000.00,149000000.00,42000000.00,-52000000.00,,,-189000000.00,-124000000.00,,,-112000000.00,-34000000.00,,,-64000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashFlowsOtherOperating,,74000000.00,196000000.00,438000000.00,291000000.00,-142000000.00,174000000.00,-45000000.00,-374000000.00,-193000000.00,-39000000.00,-215000000.00,,-56000000.00,23000000.00,79000000.00,-2000000.00,-152000000.00,14000000.00,-54000000.00,53000000.00,-46000000.00,-14000000.00,-9000000.00,-127000000.00,-76000000.00,77000000.00,-13000000.00,132000000.00,48000000.00,253000000.00,129000000.00,-43000000.00,-461000000.00,-222000000.00,149000000.00,-477000000.00,163000000.00,-720000000.00,-151000000.00,681000000.00,-2000000.00,-178000000.00,1662000000.00,,,-365000000.00,30000000.00,,,-54000000.00,1397000000.00,,,-39000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRateChanges,,,,,,,,-21000000.00,-21000000.00,18000000.00,-22000000.00,9000000.00,4000000.00,-5000000.00,-32000000.00,10000000.00,-26000000.00,2000000.00,-4000000.00,-4000000.00,-30000000.00,-25000000.00,5000000.00,-6000000.00,3000000.00,,6000000.00,2000000.00,-1000000.00,1000000.00,7000000.00,-12000000.00,-21000000.00,8000000.00,-27000000.00,4000000.00,-41000000.00,8000000.00,-22000000.00,-22000000.00,2000000.00,-31000000.00,-8000000.00,-20000000.00,,,25000000.00,-137000000.00,,,15000000.00,29000000.00,,,-21000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashAndCashEquivalentsChanges,,-51000000.00,17000000.00,-50000000.00,481000000.00,84000000.00,122000000.00,-545000000.00,10000000.00,-700000000.00,837000000.00,-497000000.00,275000000.00,-56000000.00,636000000.00,-262000000.00,-104000000.00,-418000000.00,425000000.00,-137000000.00,-7000000.00,-95000000.00,380000000.00,-388000000.00,185000000.00,-375000000.00,283000000.00,-20000000.00,60000000.00,85000000.00,-77000000.00,-175000000.00,415000000.00,-315000000.00,-202000000.00,-131000000.00,155000000.00,102000000.00,-229000000.00,-380000000.00,477000000.00,-690000000.00,335000000.00,1486000000.00,-1402000000.00,207000000.00,-16000000.00,-873000000.00,175000000.00,427000000.00,-544000000.00,-1637000000.00,397000000.00,429000000.00,1583000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changeInWorkingCapital,116000000.00,35000000.00,9000000.00,317000000.00,-115000000.00,-303000000.00,-188000000.00,-148000000.00,-37000000.00,-591000000.00,-586000000.00,-103000000.00,659000000.00,-123000000.00,-143000000.00,94000000.00,23000000.00,-185000000.00,29000000.00,-2000000.00,72000000.00,-104000000.00,-152000000.00,113000000.00,115000000.00,-396000000.00,102000000.00,88000000.00,190000000.00,135000000.00,139000000.00,50000000.00,193000000.00,-468000000.00,-212000000.00,-68000000.00,89000000.00,-441000000.00,-602000000.00,179000000.00,55000000.00,-161000000.00,-149000000.00,-5000000.00,206000000.00,58000000.00,-327000000.00,184000000.00,257000000.00,-148000000.00,-241000000.00,509000000.00,220000000.00,7000000.00,-83000000.00,-369000000.00,175000000.00,-106000000.00,-286000000.00,59000000.00,-63000000.00,-774000000.00,238000000.00,-2368000000.00,638000000.00,286000000.00,-1923000000.00,611000000.00,1177000000.00,264000000.00,-963000000.00,628000000.00,135000000.00,166000000.00,10000000.00,96000000.00,25000000.00,-222000000.00,-72000000.00,-602000000.00,273000000.00,-169000000.00,-2693000000.00,-1285000000.00,91000000.00,548000000.00,940000000.00,-685000000.00,195000000.00,125000000.00,770000000.00,-459000000.00,-437000000.00,251000000.00,75000000.00,-438000000.00,126000000.00,68000000.00,33000000.00,212000000.00,-159000000.00,46000000.00,-89000000.00,-35000000.00,-36000000.00,2000000.00,-22000000.00,-2000000.00,27000000.00,-23000000.00,-9000000.00,-23400000.00,18300000.00,-4800000.00,-7100000.00,-3800000.00,-4400000.00,-8200000.00,600000.00,,,,,,,,,,,,,,,,
