,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
filing_date,2023-10-27,2023-07-28,2023-04-28,2023-02-10,2022-10-28,2022-07-29,2022-04-29,2022-02-11,2021-10-29,2021-07-30,2021-04-30,2021-02-16,2020-10-30,2020-07-31,2020-05-01,2020-02-14,2019-11-01,2019-08-02,2019-05-03,2019-02-15,2018-11-02,2018-08-03,2018-05-04,2018-02-16,2017-11-03,2017-08-04,2017-05-05,2017-02-17,2016-11-04,2016-07-29,2016-04-29,2016-02-19,2015-11-06,2015-07-31,2015-05-01,2015-02-20,2014-11-07,2014-08-01,2014-05-02,2014-02-21,2013-11-08,2013-08-02,2013-05-03,2013-02-22,2012-11-09,2012-08-03,2012-05-04,2012-03-09,2011-11-10,2011-08-12,2011-05-13,2011-03-30,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalCurrentAssets,186866000.00,181099000.00,184473000.00,144611000.00,160372000.00,155547000.00,167000000.00,229693000.00,181060000.00,376564000.00,388181000.00,145987000.00,168576000.00,163632000.00,65449000.00,121467000.00,135623000.00,64584000.00,73452000.00,66561000.00,74483000.00,67829000.00,74022000.00,101823000.00,112980000.00,47074000.00,207504000.00,64081000.00,80809000.00,60083000.00,60888000.00,59066000.00,73517000.00,51981000.00,70663000.00,77078000.00,114532000.00,94565000.00,96331000.00,65406000.00,83366000.00,79884000.00,60254000.00,56340000.00,80636000.00,166068000.00,167543000.00,180315000.00,190895000.00,158666000.00,165049000.00,132208000.00,128579000.00,78498000.00,,104572000.00,,
longTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netTangibleAssets,,1214732000.00,1217129000.00,1221265000.00,1230358000.00,1231702000.00,1235940000.00,1238964000.00,1245039000.00,1251383000.00,1229876000.00,1271442000.00,1280939000.00,1300953000.00,1304242000.00,1313917000.00,1317270000.00,1309744000.00,807251000.00,802977000.00,812419000.00,813797000.00,823040000.00,833710000.00,836460000.00,839065000.00,834881000.00,809556000.00,792404000.00,783415000.00,793625000.00,799562000.00,801963000.00,780725000.00,737492000.00,735303000.00,738223000.00,704305000.00,686454000.00,648511000.00,651787000.00,655044000.00,634078000.00,638361000.00,610814000.00,614781000.00,620468000.00,626031000.00,633092000.00,637445000.00,,,,,,,,
shortTermInvestments,,,,,,,,,,,,,,,,,,,,,9918000.00,9385000.00,9889000.00,9344000.00,10124000.00,9211000.00,9836000.00,9950000.00,10246000.00,9450000.00,9295000.00,11623000.00,25208000.00,11311000.00,10252000.00,10994000.00,11835000.00,10766000.00,10568000.00,9124000.00,10065000.00,9206000.00,8803000.00,7421000.00,10251000.00,24287000.00,26326000.00,28235000.00,29596000.00,31445000.00,32838000.00,1000000.00,5493000.00,,,4644000.00,,4527000.00
netReceivables,96898000.00,96390000.00,97145000.00,95040000.00,96941000.00,94797000.00,93427000.00,90169000.00,7421000.00,6582000.00,6031000.00,6938000.00,12018000.00,13544000.00,8621000.00,12016000.00,9561000.00,10104000.00,9137000.00,9289000.00,8345000.00,7118000.00,8797000.00,9869000.00,8649000.00,6483000.00,7558000.00,9330000.00,8604000.00,6747000.00,7586000.00,7518000.00,8151000.00,5721000.00,5772000.00,6727000.00,7552000.00,4940000.00,6277000.00,7295000.00,7579000.00,7338000.00,7479000.00,6440000.00,6076000.00,4997000.00,5313000.00,6847000.00,6525000.00,4944000.00,4913000.00,43393000.00,43644000.00,42231000.00,,41736000.00,,
longTermDebt,1688953000.00,1688286000.00,1687615000.00,1648088000.00,1647436000.00,1649505000.00,1649028000.00,1649203000.00,1648727000.00,1648251000.00,1647824000.00,1307600000.00,1307460000.00,1307193000.00,1306928000.00,1357659000.00,1357684000.00,1208375000.00,1208397000.00,1228435000.00,1250453000.00,1250561000.00,1250664000.00,1325020000.00,1324801000.00,1224986000.00,1160495000.00,1041530000.00,1063874000.00,1063306000.00,1040766000.00,1029743000.00,1029449000.00,1029133000.00,1081809000.00,1062811000.00,1053190000.00,1052847000.00,1052498000.00,952174000.00,1044117000.00,1044299000.00,1044467000.00,1044682000.00,964068000.00,964538000.00,964942000.00,943479000.00,943900000.00,944279000.00,860127000.00,872325000.00,891039000.00,,,716921000.00,,755189000.00
inventory,,,,,-9633000.00,-10446000.00,-9004000.00,-9136000.00,-8795000.00,-13240000.00,-7787000.00,-8702000.00,-6756000.00,-7232000.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
accountsPayable,70970000.00,62961000.00,65946000.00,65992000.00,72355000.00,66334000.00,68797000.00,64531000.00,88851000.00,80291000.00,71226000.00,59262000.00,71837000.00,65780000.00,67348000.00,62576000.00,63205000.00,54652000.00,53683000.00,46616000.00,54575000.00,39666000.00,43507000.00,38069000.00,48107000.00,40884000.00,39149000.00,32401000.00,42607000.00,33209000.00,37014000.00,31821000.00,50806000.00,45116000.00,55045000.00,50861000.00,53231000.00,38885000.00,40248000.00,37063000.00,41256000.00,31285000.00,35599000.00,29509000.00,39432000.00,32191000.00,30723000.00,30266000.00,32433000.00,24309000.00,24631000.00,-15799000.00,10244000.00,,,7193000.00,,8998000.00
totalPermanentEquity,,,,,,,,,,,,,,,,,,,,,,817635000.00,829333000.00,844144000.00,848551000.00,852363000.00,861709000.00,838551000.00,814512000.00,805898000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679156000.00,685729000.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
noncontrollingInterestInConsolidatedEntity,,-38616000.00,-37403000.00,-35740000.00,-32635000.00,-31734000.00,-30053000.00,-28841000.00,-26348000.00,-24237000.00,-22160000.00,-18036000.00,-14957000.00,-24465000.00,-23221000.00,-20245000.00,-19046000.00,-17822000.00,-1918000.00,-506000.00,3072000.00,3838000.00,6293000.00,10434000.00,12091000.00,13298000.00,26828000.00,28995000.00,22108000.00,22483000.00,26776000.00,29365000.00,30550000.00,29557000.00,30062000.00,31273000.00,32748000.00,33388000.00,36022000.00,38067000.00,39457000.00,41480000.00,45078000.00,47368000.00,44483000.00,47622000.00,50717000.00,53697000.00,57381000.00,59810000.00,,,,,,,,
