,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31
accumulatedAmortization,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrrentAssetsOther,,,-3090208000000.00,-3090208000000.00,,,,,,,,,,,72178178.00,71414558.00,71343919.00,70608313.00,69371157.00,0.00,0.00,0.00,6474888.00,4923209.00,4923209.00,4397368.00,1280383.00,1280383.00,1257133.00,1242133.00,1247383.00,965358.00,,,87551.00,104148.00,122964.00,139464.00,216893.00,216893.00,215093.00,215093.00,269693.00,410393.00,452693.00,517493.00,792464.00,792464.00,268693.00,263693.00,6023507.00,263693.00,263693.00,263693.00,9198038.00,84000.00,84000.00,81500.00,220429.00,220429.00,1767170.00,2023342.00,2048977.00,2077323.00,1525676.00,667393.00,76499.00,76499.00,76500.00,76500.00,81500.00,81501.00,81499.00,81500.00,81500.00,81500.00,81500.00,81500.00,81500.00,81500.00,81500.00,81500.00,81500.00,81500.00,81500.00,76500.00,76500.00,76500.00,232135.00,395995.00,395995.00,395995.00,751025.00,751025.00,751025.00,
deferredLongTermAssetCharges,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrentAssetsTotal,70742651.00,70782224.00,70454365.00,70158266.00,77391027.00,76885678.00,75990281.00,75990281.00,74948564.00,74196696.00,73434589.00,72783284.00,72240969.00,72093972.00,72178178.00,71414558.00,71343919.00,70608313.00,69371157.00,68443398.00,65442908.00,62759961.00,53745466.00,50099699.00,48218677.00,45764908.00,39377234.00,37362991.00,34774852.00,33177417.00,32657044.00,31609106.00,30045587.00,29065239.00,33078996.00,32304277.00,39943646.00,37491480.00,35214609.00,35214609.00,32564915.00,30918488.00,30114471.00,28596703.00,27392453.00,25817819.00,22826769.00,22826769.00,21370732.00,9618835.00,7971339.00,6506839.00,14009955.00,11623241.00,11232117.00,10776278.00,10713075.00,11019231.00,11018794.00,11018794.00,11039584.00,10944832.00,10474273.00,9971058.00,9263416.00,8222353.00,9602645.00,7728283.00,7542277.00,6777364.00,6582665.00,6426481.00,6494073.00,5833425.00,5341010.00,5096871.00,5271117.00,4947177.00,4873122.00,4753696.00,4405946.00,3862896.00,3659858.00,3659858.00,3239859.00,5198606.00,5044255.00,4978713.00,3788874.00,3801784.00,3750319.00,3622702.00,5342465.00,5171503.00,5924325.00,
capitalLeaseObligations,400710.00,423246.00,445254.00,465930.00,486123.00,505843.00,525103.00,548607.00,70724.00,104851.00,138181.00,170731.00,202520.00,233565.00,263885.00,292679.00,320799.00,348261.00,375082.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longTermDebtTotal,,4429030.00,4410180.00,4306650.00,4249250.00,3925590.00,3732550.00,3693480.00,3138980.00,2955220.00,2901480.00,2878540.00,2952160.00,2953000.00,3006660.00,2712070.00,2702250.00,2619650.00,292680.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrentLiabilitiesOther,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonCurrentLiabilitiesTotal,7893373.00,7744769.00,7817837.00,7805729.00,6368007.00,6260352.00,6457408.00,6457408.00,4873998.00,4701753.00,4653506.00,4688836.00,4873158.00,4874997.00,4919498.00,4577916.00,4561492.00,4466555.00,1727561.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1434882.00,1839482.00,1839482.00,1839482.00,1839482.00,675100.00,549970.00,1097158.00,1097158.00,747797.00,397938.00,819182.00,1060829.00,,,565097.00,565097.00,,,,,117609.00,115582.00,113555.00,135016.00,133595.00,132174.00,129332.00,129332.00,127911.00,126489.00,125068.00,124036.00,124036.00,-1.06,354677.00,369250.00,361978.00,193626.00,253488.00,1.16,279868.00,-1.23,1.21,79134.00,247742.00,224811.00,69630.00,49625.00,129924.00,15314.00,61814.00,61814.00,39070.00,61284.00,109960.00,127866.00,48281.00,10378.00,26664.00,75055.00,27828.00,39909.00,47601.00,
negativeGoodwill,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warrants,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preferredStockRedeemable,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capitalSurpluse,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
