,0
FBIN,Building Products & Equipment
FBK,Banks - Regional
FBP,Banks - Regional
FBRT,REIT - Mortgage
FC,Consulting Services
FCF,Banks - Regional
FCFY,
FCN,Consulting Services
FCO,Asset Management
FCPT,REIT - Retail
FCRX,
FCX,Copper
FDAT,
FDP,Farm Products
FDS,Financial Data & Stock Exchanges
FDX,Integrated Freight & Logistics
FE,Utilities - Regulated Electric
FEDL,
FEDU,Education & Training Services
FENG,Internet Content & Information
FERG,Industrial Distribution
FET,Oil & Gas Equipment & Services
FF,Specialty Chemicals
FFLS,
FFWM,Banks - Regional
FG,Insurance - Life
FGH,Leisure
FGN,
FHI,Asset Management
FHN,Banks - Regional
FHN-PE,Banks - Regional
FI,Information Technology Services
FICO,Software - Application
FIGS,Apparel Manufacturing
FIHL,Insurance - Diversified
FIIG,
FINS,
FINV,Credit Services
FIS,Information Technology Services
FISK,REIT - Office
FIX,Engineering & Construction
FL,Apparel Retail
FLME,Shell Companies
FLNG,Oil & Gas Midstream
FLO,Packaged Foods
FLR,Engineering & Construction
FLS,Specialty Industrial Machinery
FLT,Software - Infrastructure
FMC,Agricultural Inputs
FMS,Medical Care Facilities
FMX,Beverages - Brewers
FN,Electronic Components
FNA,Medical Devices
FNB,Banks - Regional
FNB-PE,Banks - Regional
FND,Home Improvement Retail
FNF,Insurance - Specialty
FNV,Gold
FOA,Credit Services
FOR,Real Estate - Development
FOUR,Software - Infrastructure
FOXO,Health Information Services
FPH,Real Estate - Development
FPI,REIT - Specialty
FR,REIT - Industrial
FRD,Steel
FREY,Electrical Equipment & Parts
FRGE,Software - Application
FRO,Oil & Gas Midstream
FRT,REIT - Retail
FRT-PC,REIT - Retail
FRXB,Shell Companies
FSCO,Asset Management
FSI,Specialty Chemicals
FSK,Asset Management
FSLY,Software - Application
FSM,Gold
FSP,REIT - Office
FSR,Auto Manufacturers
FSS,Pollution & Treatment Controls
FT,Asset Management
FTCH,Internet Retail
FTCHF,
FTHY,
FTI,Oil & Gas Equipment & Services
FTK,Oil & Gas Equipment & Services
FTS,Utilities - Regulated Electric
FTV,Scientific & Technical Instruments
FTWO,
FUBO,Broadcasting
FUL,Specialty Chemicals
FUN,Leisure
FURY,Other Industrial Metals & Mining
FVRR,Internet Content & Information
FXLV,Leisure
G,Information Technology Services
GAB-PG,Other
GAB-PH,Asset Management
GAB-PK,Asset Management
GAM,Asset Management
GAM-PB,
GAQ,Shell Companies
GAQ-UN,Shell Companies
GATO,Other Precious Metals & Mining
GATX,Rental & Leasing Services
GAU,Gold
GB,Software - Infrastructure
GBAB,Asset Management
GBCI,Banks - Regional
GBLI,Insurance - Property & Casualty
GBR,Real Estate Services
GBTG,Software - Application
GBX,Railroads
GCI,Publishing
GCO,Apparel Retail
GD,Aerospace & Defense
GDDY,Software - Infrastructure
GDL-PC,Asset Management
GDOT,Credit Services
GDV-PH,
GDV-PK,Asset Management
GE,Specialty Industrial Machinery
GEF,Packaging & Containers
GEF-B,Packaging & Containers
GEHI,Education & Training Services
GEL,Oil & Gas Midstream
GENC,Farm & Heavy Construction Machinery
GENI,Internet Content & Information
GEO,Security & Protection Services
GES,Apparel Retail
GETR,Software - Application
GETY,Internet Content & Information
GFF,Conglomerates
GFI,Gold
GFL,Waste Management
GFR,Oil & Gas E&P
GGB,Steel
GGG,Specialty Industrial Machinery
GGN-PB,
GGT,Asset Management
GGT-PE,Other
GGT-PG,Asset Management
GGZ,Asset Management
GHC,Education & Training Services
GHG,Lodging
GHI,Mortgage Finance
GHL,Capital Markets
GHLD,Mortgage Finance
GHM,Specialty Industrial Machinery
GIB,Information Technology Services
GIC,Industrial Distribution
GIL,Apparel Manufacturing
GIS,Packaged Foods
GJH,Investment Banking & Investment Services
GJO,Investment Banking & Investment Services
GJP,Investment Banking & Investment Services
GJR,Investment Banking & Investment Services
GJS,Investment Banking & Investment Services
GJT,Investment Banking & Investment Services
GKOS,Medical Devices
GL,Insurance - Life
GL-PD,
GLDG,Gold
GLOB,Information Technology Services
GLOG-PA,Oil & Gas Midstream
GLOP-PA,
GLOP-PB,
GLOP-PC,
GLP,Oil & Gas Midstream
GLP-PA,Other
GLP-PB,Oil & Gas Midstream
GLT,Paper & Paper Products
GLU,Asset Management
GLU-PA,
GLU-PB,
GLW,Electronic Components
GM,Auto Manufacturers
GME,Specialty Retail
GMED,Medical Devices
GMRE,REIT - Healthcare Facilities
GMRE-PA,REIT - Healthcare Facilities
GMS,Building Products & Equipment
GNE,Utilities - Regulated Electric
GNK,Marine Shipping
GNL,REIT - Diversified
GNL-P-D,
GNL-P-E,
GNL-PA,REIT - Diversified
GNL-PB,REIT - Diversified
GNL-PD,REIT - Diversified
GNL-PE,REIT - Diversified
GNRC,Specialty Industrial Machinery
GNS,Education & Training Services
GNT,Asset Management
GNT-PA,Other
GNTY,Banks - Regional
GNW,Insurance - Life
GOL,Airlines
GOLD,Gold
GOLF,Leisure
GOOS,Apparel Manufacturing
GORO,Gold
GOTU,Education & Training Services
GPC,Specialty Retail
GPI,Auto & Truck Dealerships
GPJA,
GPK,Packaging & Containers
GPMT,REIT - Mortgage
GPMT-PA,REIT - Mortgage
GPN,Specialty Business Services
GPOR,Oil & Gas E&P
GPRK,Oil & Gas E&P
GPS,Apparel Retail
GRBK,Residential Construction
GRBK-PA,Residential Construction
GRC,Specialty Industrial Machinery
GRF,Asset Management
GRFX,Other Industrial Metals & Mining
GRMN,Scientific & Technical Instruments
GRND,Software - Application
GRND-WT,
GRNT,Oil & Gas E&P
GROV,Household & Personal Products
GROY,Gold
GROY-WT,
GRP-UN,REIT - Industrial
GRX,Asset Management
GS,Capital Markets
GS-PA,Capital Markets
GS-PC,Other
GS-PD,Capital Markets
GS-PK,Capital Markets
GSAT,Telecom Services
GSBD,Asset Management
GSK,Drug Manufacturers - General
GSL,Rental & Leasing Services
GSL-PB,Rental & Leasing Services
GTE,Oil & Gas E&P
GTES,Specialty Industrial Machinery
GTLS,Specialty Industrial Machinery
GTLS-P-B,
GTLS-PB,Specialty Industrial Machinery
GTN,Broadcasting
GTN-A,Broadcasting
GTNA,Media & Publishing
GTY,REIT - Retail
GUG,
GUT-PC,Asset Management
GVA,Engineering & Construction
GWH,Electrical Equipment & Parts
GWRE,Software - Application
GWW,Industrial Distribution
GXO,Integrated Freight & Logistics
H,Lodging
HAE,Medical Instruments & Supplies
HAL,Oil & Gas Equipment & Services
HASI,REIT - Specialty
HAYW,Electrical Equipment & Parts
HBB,"Furnishings, Fixtures & Appliances"
HBI,Apparel Manufacturing
HBM,Copper
HCA,Medical Care Facilities
HCC,Coking Coal
HCI,Insurance - Property & Casualty
HCOM,
HCXY,Investment Banking & Investment Services
HD,Home Improvement Retail
HDB,Banks - Regional
HE,Utilities - Regulated Electric
HEI,Aerospace & Defense
HEI-A,Aerospace & Defense
HELO,
HEP,Oil & Gas Midstream
HES,Oil & Gas E&P
HESM,Oil & Gas Midstream
HFRO-PA,Asset Management
HG,Insurance - Reinsurance
HGTY,Insurance - Property & Casualty
HGV,Resorts & Casinos
HHH,Real Estate - Diversified
HHLA,Shell Companies
HI,Specialty Industrial Machinery
HIG,Insurance - Property & Casualty
HIG-PG,Insurance - Property & Casualty
HII,Aerospace & Defense
HIMS,Household & Personal Products
HIPO,Insurance - Specialty
HIW,REIT - Office
HKD,Software - Application
HL,Other Precious Metals & Mining
HL-PB,Other Precious Metals & Mining
HLF,Packaged Foods
HLI,Capital Markets
HLIO,Specialty Industrial Machinery
HLLY,Auto Parts
HLN,Drug Manufacturers - Specialty & Generic
HLT,Lodging
HLX,Oil & Gas Equipment & Services
HMC,Auto Manufacturers
HMN,Insurance - Property & Casualty
HMY,Gold
HNI,Business Equipment & Supplies
HNRA,Shell Companies
HNRA-WT,
HNW,Asset Management
HOG,Recreational Vehicles
HOMB,Banks - Regional
HOUS,Real Estate Services
HOV,Residential Construction
HP,Oil & Gas Drilling
HPE,Communication Equipment
HPP,REIT - Office
HPP-PC,REIT - Office
HPQ,Computer Hardware
HQH,Asset Management
HQL,Asset Management
HR,REIT - Healthcare Facilities
HRB,Personal Services
HRI,Rental & Leasing Services
HRL,Packaged Foods
HRT,Staffing & Employment Services
HRTG,Insurance - Property & Casualty
HSBC,Banks - Diversified
HSHP,Marine Shipping
HSY,Confectioners
HTFB,
HTFC,
HTGC,Asset Management
HTH,Banks - Regional
HUBB,Electrical Equipment & Parts
HUBS,Software - Application
HUM,Healthcare Plans
HUN,Chemicals
HUSA,Oil & Gas E&P
HUYA,Entertainment
HVT,Home Improvement Retail
HVT-A,Home Improvement Retail
HWM,Aerospace & Defense
HXL,Aerospace & Defense
HY,Farm & Heavy Construction Machinery
HYAC,Shell Companies
HYAC-UN,Shell Companies
HYLN,Auto Parts
HZO,Specialty Retail
IAG,Gold
IAUX,Gold
IBDY,
IBIA,
IBIB,
IBIC,
IBID,
IBIE,
IBIF,
IBIG,
IBIH,
IBII,
IBIJ,
IBIO,Biotechnology
IBM,Information Technology Services
IBN,Banks - Regional
IBP,Residential Construction
ICD,Oil & Gas Drilling
ICE,Financial Data & Stock Exchanges
ICL,Agricultural Inputs
ICR-PA,REIT - Mortgage
ID,Auto Parts
IDA,Utilities - Regulated Electric
IDICQ,
IDR,Gold
IDT,Telecom Services
IE,Copper
IEX,Specialty Industrial Machinery
IFF,Specialty Chemicals
IFIN,Shell Companies
IFS,Banks - Regional
IGC,Biotechnology
IGI,Asset Management
IGT,Gambling
IH,Education & Training Services
IHG,Lodging
IHS,Telecom Services
IHT,REIT - Hotel & Motel
IIIN,Metal Fabrication
IIM,Asset Management
IIPR,REIT - Industrial
IIPR-PA,REIT - Industrial
IMAX,Entertainment
IMO,Oil & Gas Integrated
INDE,
INDO,Oil & Gas E&P
INFA,Software - Infrastructure
INFU,Medical Instruments & Supplies
INFY,Information Technology Services
ING,Banks - Diversified
INGR,Packaged Foods
INLX,Software - Application
INN,REIT - Hotel & Motel
INN-PE,REIT - Hotel & Motel
INOV,
INSP,Medical Devices
INST,Software - Application
INSW,Oil & Gas Midstream
INTT,Semiconductor Equipment & Materials
INUV,Advertising Agencies
INVH,REIT - Residential
IONQ,Computer Hardware
IOR,Mortgage Finance
IOT,Software - Infrastructure
IP,Packaging & Containers
IPB,Investment Banking & Investment Services
IPG,Advertising Agencies
IPI,Agricultural Inputs
IPVF,Shell Companies
IQI,Asset Management
IQV,Diagnostics & Research
IR,Specialty Industrial Machinery
IRBA,
IRM,REIT - Specialty
IRNT,Software-Infrastructure
IROHU,
IRRX,Shell Companies
IRRX-UN,Shell Companies
IRS,Real Estate Services
IRS-WT,
IRT,REIT - Residential
IRTR,
ISDR,Software - Application
IT,Information Technology Services
ITCL,Banks - Regional
ITDA,
ITDB,
ITDC,
ITDF,
ITDG,
ITDH,
ITDI,
ITGR,Medical Devices
ITP,Paper & Paper Products
ITRG,Other Precious Metals & Mining
ITT,Specialty Industrial Machinery
ITUB,Banks - Regional
ITW,Specialty Industrial Machinery
IVR,REIT - Mortgage
IVR-PB,REIT - Mortgage
IVR-PC,REIT - Mortgage
IVT,REIT - Retail
IVZ,Asset Management
IWMY,
IX,Credit Services
J,Engineering & Construction
JBGS,REIT - Office
JBI,Building Products & Equipment
JBK,Investment Banking & Investment Services
JBL,Electronic Components
JBND,
JBT,Specialty Industrial Machinery
JCI,Building Products & Equipment
JEF,Capital Markets
JELD,Building Products & Equipment
JETD,
JETU,
JHG,Asset Management
JHI,Asset Management
JHS,Asset Management
JHX,Building Materials
JILL,Apparel Retail
JIRE,
JKS,Solar
JLL,Real Estate Services
JMIA,Internet Retail
JMSI,
JNJ,Drug Manufacturers - General
JNPR,Communication Equipment
JOB,Staffing & Employment Services
JOBY,Airports & Air Services
JOBY-WT,
JOE,Real Estate - Diversified
JPAN,
JPM,Banks - Diversified
JPM-PC,Banks - Diversified
JPM-PD,Banks - Diversified
JPM-PJ,Banks - Diversified
JPM-PK,Banks - Diversified
JPM-PL,Banks - Diversified
JSI,Other
JT,Credit Services
JWN,Department Stores
JWSM,Shell Companies
JXN,Insurance - Life
JXN-P-A,
JXN-PA,Insurance - Life
K,Packaged Foods
K-W,
KAI,Specialty Industrial Machinery
KAMN,Aerospace & Defense
KAR,Auto & Truck Dealerships
KB,Banks - Regional
KBH,Residential Construction
KBR,Engineering & Construction
KCGI,Shell Companies
KD,Information Technology Services
KDRN,
KEN,Utilities - Independent Power Producers
KEP,Utilities - Regulated Electric
KEX,Marine Shipping
KEY,Banks - Regional
KEY-PI,Banks - Regional
KEY-PJ,Banks - Regional
KEY-PK,Banks - Regional
KEY-PL,Banks - Regional
KEYS,Scientific & Technical Instruments
KFS,Auto & Truck Dealerships
KFY,Staffing & Employment Services
KGC,Gold
KGS,Oil & Gas Equipment & Services
KIM,REIT - Retail
KIM-PL,REIT - Retail
KIM-PM,REIT - Retail
KIND,Internet Content & Information
KIQ,Railroads
KKR,Asset Management
KKRS,
KLG,Packaged Foods
KLG-WI,
KMB,Household & Personal Products
KMI,Oil & Gas Midstream
KMPB,
KMPR,Insurance - Property & Casualty
KMT,Tools & Accessories
KMX,Auto & Truck Dealerships
KN,Communication Equipment
KNF,Building Materials
KNOP,Marine Shipping
KNSL,Insurance - Property & Casualty
KNSW,Shell Companies
KNSW-UN,Shell Companies
KNTK,Oil & Gas Midstream
KNW,Scientific & Technical Instruments
KNX,Trucking
KO,Beverages - Non-Alcoholic
KODK,Specialty Business Services
KOF,Beverages - Non-Alcoholic
KOP,Specialty Chemicals
KORE,Telecom Services
KOS,Oil & Gas E&P
KR,Grocery Stores
KRC,REIT - Office
KREF,REIT - Mortgage
KREF-P-A,
KREF-PA,REIT - Mortgage
KRG,REIT - Retail
KRO,Specialty Chemicals
KRP,Oil & Gas E&P
KSS,Department Stores
KT,Telecom Services
KTB,Apparel Manufacturing
KTF,Asset Management
KTH,Investment Banking & Investment Services
KTN,Investment Banking & Investment Services
KUKE,Entertainment
KULR,Electronic Components
KVUE,Household & Personal Products
KVYO,Software - Infrastructure
KW,Real Estate Services
KWR,Specialty Chemicals
KYN,Asset Management
L,Insurance - Property & Casualty
LAAC,Other Industrial Metals & Mining
LAC,Other Industrial Metals & Mining
LAD,Auto & Truck Dealerships
LADR,REIT - Mortgage
LANV,Luxury Goods
LAW,Software - Application
LAZ,Capital Markets
LBRT,Oil & Gas Equipment & Services
LC,Credit Services
LCII,Recreational Vehicles
LCTX,Biotechnology
LCW,Shell Companies
LCW-UN,Shell Companies
LDI,Mortgage Finance
LDOS,Information Technology Services
LEA,Auto Parts
LEG,"Furnishings, Fixtures & Appliances"
LEJU,Real Estate Services
LEN,Residential Construction
LEN-B,Residential Construction
LEO,Asset Management
LEU,Uranium
LEV,Farm & Heavy Construction Machinery
LEVI,Apparel Manufacturing
LFT,REIT - Mortgage
LFT-PA,REIT - Mortgage
LGF-A,Entertainment
LGF-B,Entertainment
LGFA,Media & Publishing
LGL,Electronic Components
LH,Diagnostics & Research
LHC,Shell Companies
LHC-UN,Shell Companies
LHX,Aerospace & Defense
LICY,Waste Management
LII,Building Products & Equipment
LITB,Internet Retail
LL,Home Improvement Retail
LLAP,Aerospace & Defense
LLY,Drug Manufacturers - General
LMND,Insurance - Property & Casualty
LMT,Aerospace & Defense
LNC,Insurance - Life
LNC-PD,
LND,Farm Products
LNG,Oil & Gas Midstream
LNN,Farm & Heavy Construction Machinery
LOB,Banks - Regional
LOCL,Farm Products
LODE,Real Estate Services
LOMA,Building Materials
LOW,Home Improvement Retail
LPG,Oil & Gas Midstream
LPL,Consumer Electronics
LPTV,Broadcasting
LPX,Building Products & Equipment
LRN,Education & Training Services
LSF,Packaged Foods
LSPD,Software - Application
LTC,REIT - Healthcare Facilities
LTH,Leisure
LTHM,Specialty Chemicals
LU,Credit Services
LUMN,Telecom Services
LUV,Airlines
LUXX,
LVS,Resorts & Casinos
LVWR,Auto Manufacturers
LW,Packaged Foods
LXFR,Specialty Industrial Machinery
LXP,REIT - Industrial
LXP-PC,REIT - Industrial
LXU,Chemicals
LYB,Specialty Chemicals
LYG,Banks - Regional
LYV,Entertainment
LZB,"Furnishings, Fixtures & Appliances"
LZM,Other Industrial Metals & Mining
M,Department Stores
MA,Credit Services
MAA,REIT - Residential
MAA-PI,REIT - Residential
MAC,REIT - Retail
MAG,Silver
MAIA,Biotechnology
MAIN,Asset Management
MAN,Staffing & Employment Services
MANU,Entertainment
MAS,Building Products & Equipment
MATV,Specialty Chemicals
MATX,Marine Shipping
MAV,Asset Management
MAX,Internet Content & Information
MBAC,Shell Companies
MBC,"Furnishings, Fixtures & Appliances"
MBI,Insurance - Specialty
MC,Capital Markets
MCB,Banks - Regional
MCD,Restaurants
MCI,Asset Management
MCK,Medical Distribution
MCO,Financial Data & Stock Exchanges
MCR,Asset Management
MCS,Entertainment
MCW,Personal Services
MCY,Insurance - Property & Casualty
MD,Medical Care Facilities
MDC,Residential Construction
MDT,Medical Devices
MDU,Conglomerates
MDV,REIT - Diversified
MDV-PA,REIT - Diversified
MEC,Metal Fabrication
MED,Personal Services
MEG,Waste Management
MEGI,
MEI,Electronic Components
MER-PK,Other
MET,Insurance - Life
MET-PA,Insurance - Life
MET-PE,Insurance - Life
MET-PF,Insurance - Life
MFA,REIT - Mortgage
MFA-PB,REIT - Mortgage
MFA-PC,REIT - Mortgage
MFC,Insurance - Life
MFG,Banks - Regional
MFM,Asset Management
MFV,Asset Management
MG,Security & Protection Services
MGA,Auto Parts
MGLD,Asset Management
MGM,Resorts & Casinos
MGOV,
MGR,Investment Banking & Investment Services
MGRB,
MGRD,
MGY,Oil & Gas E&P
MHH,Staffing & Employment Services
MHI,Asset Management
MHK,"Furnishings, Fixtures & Appliances"
MHLA,Insurance
MHNC,
MHO,Residential Construction
MIMO,Telecom Services
MIN,Asset Management
MIO,
MIR,Specialty Industrial Machinery
MITQ,Communication Equipment
MITT,REIT - Mortgage
MITT-PA,REIT - Mortgage
MITT-PB,REIT - Mortgage
MITT-PC,REIT - Mortgage
MIXT,Software - Application
MKC,Packaged Foods
MKC-V,Packaged Foods
MKFG,Computer Hardware
MKL,Insurance - Property & Casualty
MKOR,
ML,Software - Application
MLI,Metal Fabrication
MLM,Building Materials
MLNK,Software - Application
MLP,Real Estate Services
MLR,Auto Parts
MLSS,Medical Instruments & Supplies
MMC,Insurance Brokers
MMI,Real Estate Services
MMM,Conglomerates
MMS,Specialty Business Services
MMT,Asset Management
MNR,Oil & Gas E&P
MNSO,Specialty Retail
MNTN,Shell Companies
MNTN-UN,Shell Companies
MO,Tobacco
MOD,Auto Parts
MODG,Leisure
MODN,Software - Application
MOG-A,Aerospace & Defense
MOGU,Internet Retail
MOH,Healthcare Plans
MOS,Agricultural Inputs
MOV,Luxury Goods
MP,Other Industrial Metals & Mining
MPC,Oil & Gas Refining & Marketing
MPLN,Health Information Services
MPLN-WT,
MPLX,Oil & Gas Midstream
MPTI,Electronic Components
MPU,Rental & Leasing Services
MPV,Asset Management
MPW,REIT - Healthcare Facilities
MPX,Recreational Vehicles
MRC,Oil & Gas Equipment & Services
MRDB,Software - Infrastructure
MRK,Drug Manufacturers - General
MRNY,
MRO,Oil & Gas E&P
MRT,Software - Application
MRT-WT,
MS,Capital Markets
MS-PA,Capital Markets
MS-PE,Capital Markets
MS-PF,Capital Markets
MS-PI,Capital Markets
MS-PK,Capital Markets
MS-PL,Capital Markets
MS-PP,Capital Markets
MSA,Security & Protection Services
MSB,Steel
MSC,Resorts & Casinos
MSCI,Financial Data & Stock Exchanges
MSGE,Leisure
MSGS,Entertainment
MSI,Communication Equipment
MSM,Industrial Distribution
MSN,Consumer Electronics
MT,Steel
MTA,Other Precious Metals & Mining
MTAL,Copper
MTB,Banks - Regional
MTB-PH,
MTBL,Software - Application
MTD,Diagnostics & Research
MTDR,Oil & Gas E&P
MTG,Insurance - Specialty
MTH,Residential Construction
MTN,Resorts & Casinos
MTNB,Biotechnology
MTR,Oil & Gas E&P
MTRN,Other Industrial Metals & Mining
MTW,Farm & Heavy Construction Machinery
MTX,Specialty Chemicals
MTZ,Engineering & Construction
MUFG,Banks - Diversified
MUR,Oil & Gas E&P
MUSA,Specialty Retail
MUSQ,
MUX,Other Precious Metals & Mining
MVO,Oil & Gas E&P
MWA,Specialty Industrial Machinery
MWG,Rental & Leasing Services
MX,Semiconductors
MXC,Oil & Gas E&P
MYE,Packaging & Containers
MYO,Medical Devices
MYTE,Luxury Goods
NABL,Information Technology Services
NAK,Other Industrial Metals & Mining
NAPA,Beverages - Wineries & Distilleries
NAT,Marine Shipping
NATL,Software - Application
NAVB,Biotechnology
NBH,Asset Management
NBHC,Banks - Regional
NBR,Oil & Gas Drilling
NBXG,
NBY,Biotechnology
NC,Thermal Coal
NCL,"Furnishings, Fixtures & Appliances"
NCLH,Travel Services
NCR,Information Technology Services
NCV-PA,Asset Management
NCZ-PA,Asset Management
NDMO,
NE,Oil & Gas Drilling
NEE,Utilities - Regulated Electric
NEE-PN,Other
NEE-PR,Utilities - Regulated Electric
NEM,Gold
NEN,Real Estate Services
NEP,Utilities - Renewable
NET,Software - Infrastructure
NETC,Shell Companies
NETI,Marine Shipping
NEU,Specialty Chemicals
NEWP,Other Precious Metals & Mining
NEXA,Other Industrial Metals & Mining
NFG,Oil & Gas Integrated
NFGC,Gold
NFYS,Shell Companies
NG,Gold
NGD,Gold
NGG,Utilities - Regulated Electric
NGL,Oil & Gas Midstream
NGL-PB,Oil & Gas Midstream
NGL-PC,Oil & Gas Midstream
NGS,Oil & Gas Equipment & Services
NGVC,Grocery Stores
NGVT,Specialty Chemicals
NHC,Medical Care Facilities
NHI,REIT - Healthcare Facilities
NHWK,Biotechnology
NI,Utilities - Regulated Gas
NI-PB,Utilities - Regulated Gas
NIC,Banks - Regional
NINE,Oil & Gas Equipment & Services
NIO,Auto Manufacturers
NJR,Utilities - Regulated Gas
NKE,Footwear & Accessories
NL,Security & Protection Services
NLOP,REIT - Office
NLS,Leisure
NLY,REIT - Mortgage
NLY-PF,REIT - Mortgage
NLY-PG,REIT - Mortgage
NLY-PI,REIT - Mortgage
NM,Marine Shipping
NM-PG,Marine Shipping
NM-PH,Marine Shipping
NMAI,
NMG,Other Industrial Metals & Mining
NMK-PB,Other
NMK-PC,Other
NMPRG,
NMPRH,
NMR,Capital Markets
NNI,Credit Services
NNN,REIT - Retail
NNVC,Biotechnology
NOA,Oil & Gas Equipment & Services
NOAH,Asset Management
NOC,Aerospace & Defense
NOG,Oil & Gas E&P
NOK,Communication Equipment
NOMD,Packaged Foods
NOTE,Information Technology Services
NOV,Oil & Gas Equipment & Services
NOVA,Solar
NOW,Software - Application
NPCT,Asset Management
NPFD,Asset Management
NPK,Aerospace & Defense
NPO,Specialty Industrial Machinery
NPWR,Specialty Industrial Machinery
NR,Oil & Gas Equipment & Services
NRDY,Software - Application
NREF,REIT - Mortgage
NREF-PA,REIT - Mortgage
NRG,Utilities - Independent Power Producers
NRGV,Utilities - Renewable
NRGX,
NRP,Thermal Coal
NRT,Oil & Gas E&P
NRXS,Biotechnology
NS,Oil & Gas Midstream
NS-PA,Other
NS-PB,Oil & Gas Midstream
NS-PC,Other
NSA,REIT - Industrial
NSA-PA,REIT - Industrial
NSC,Railroads
NSP,Staffing & Employment Services
NSS,Other
NSTB,Shell Companies
NSTBW,
NTB,Banks - Diversified
NTCO,Household & Personal Products
NTEST,Other
NTEST-H,Other
NTEST-I,Other
NTIP,Specialty Business Services
NTR,Agricultural Inputs
NTRL,
NTST,REIT - Retail
NTZ,"Furnishings, Fixtures & Appliances"
NU,Banks - Regional
NUE,Steel
NUS,Household & Personal Products
NUVB,Biotechnology
NVGS,Oil & Gas Midstream
NVO,Biotechnology
NVR,Residential Construction
NVRI,Waste Management
NVRO,Medical Devices
NVS,Drug Manufacturers - General
NVST,Medical Instruments & Supplies
NVT,Electrical Equipment & Parts
NVTA,Diagnostics & Research
NWG,Banks - Regional
NWN,Utilities - Regulated Gas
NX,Building Products & Equipment
NXC,Asset Management
NXDT,REIT - Diversified
NXDT-PA,REIT - Diversified
NXE,Uranium
NXG,Asset Management
NXN,Asset Management
NXP,Asset Management
NXRT,REIT - Residential
NXU,Electrical Equipment & Parts
NYC,Real Estate Services
NYCB,Banks - Regional
NYCB-PA,Banks - Regional
NYCB-PU,Other
NYT,Publishing
O,REIT - Retail
OAIE,
OAK-PA,Other
OAK-PB,Other
OBDC,Credit Services
OBE,Oil & Gas E&P
OBK,Banks - Regional
OC,Building Products & Equipment
OCFT,Software - Application
OCN,Mortgage Finance
ODC,Specialty Chemicals
ODV,Gold
OEC,Specialty Chemicals
OFG,Banks - Regional
OGCP,REIT - Office
OGE,Utilities - Regulated Electric
OGEN,Biotechnology
OGN,Drug Manufacturers - General
OGS,Utilities - Regulated Gas
OHI,REIT - Healthcare Facilities
OI,Packaging & Containers
OIA,Asset Management
OII,Oil & Gas Equipment & Services
OIS,Oil & Gas Equipment & Services
OKE,Oil & Gas Midstream
OLN,Specialty Chemicals
OLO,Software - Application
OLP,REIT - Diversified
OMC,Advertising Agencies
OMF,Credit Services
OMI,Medical Distribution
ONL,REIT - Office
ONON,Footwear & Accessories
ONTF,Software - Application
ONTO,Semiconductor Equipment & Materials
OOMA,Telecom Services
OPA,Shell Companies
OPAD,Real Estate Services
OPFI,Credit Services
OPP-PA,
OPP-PB,Asset Management
OPTT,Specialty Industrial Machinery
OPY,Capital Markets
OR,Gold
ORA,Utilities - Renewable
ORAN,Telecom Services
ORC,REIT - Mortgage
ORCL,Software - Infrastructure
ORI,Insurance - Diversified
ORLA,Gold
ORN,Engineering & Construction
OSCR,Healthcare Plans
OSG,Oil & Gas Midstream
OSI,Shell Companies
OSI-UN,Shell Companies
OSK,Farm & Heavy Construction Machinery
OTIS,Specialty Industrial Machinery
OUST,Electronic Components
OUST-WTA,
OUT,REIT - Specialty
OVV,Oil & Gas E&P
OWL,Asset Management
OWLT,Health Information Services
OXM,Apparel Manufacturing
OXY,Oil & Gas E&P
OXY-WT,
PAAS,Gold
PAC,Airports & Air Services
PACI,Shell Companies
PACK,Packaging & Containers
PAG,Auto & Truck Dealerships
PAGS,Software - Infrastructure
PAM,Utilities - Independent Power Producers
PAPL,Mortgage Finance
PAR,Software - Application
PARR,Oil & Gas Refining & Marketing
PATH,Software - Infrastructure
PAXS,Asset Management
PAY,Software - Infrastructure
PAYC,Software - Application
PB,Banks - Regional
PBA,Oil & Gas Midstream
PBF,Oil & Gas Refining & Marketing
PBH,Drug Manufacturers - Specialty & Generic
PBI,Integrated Freight & Logistics
PBI-PB,Other
PBR,Oil & Gas Integrated
PBR-A,Oil & Gas Integrated
PBRA,Oil & Gas
PBT,Oil & Gas Midstream
PCG,Utilities - Regulated Electric
PCG-PA,
PCG-PB,
PCG-PC,Other
PCG-PD,
PCG-PE,
PCG-PG,
PCG-PH,
PCG-PI,Other
PCGG,
PCOR,Software - Application
PD,Software - Application
PDM,REIT - Office
PDO,Independent Oil & Gas
PDS,Oil & Gas Drilling
PEAK,REIT - Healthcare Facilities
PEB,REIT - Hotel & Motel
PEB-PE,
PEB-PF,REIT - Hotel & Motel
PEB-PG,REIT - Hotel & Motel
PED,Oil & Gas E&P
PEG,Utilities - Regulated Electric
PEN,Medical Devices
PERF,Software - Application
PERF-WT,
PFE,Drug Manufacturers - General
PFGC,Food Distribution
PFLT,Asset Management
PFS,Banks - Regional
PFSI,Mortgage Finance
PG,Household & Personal Products
PGR,Insurance - Property & Casualty
PGRE,REIT - Office
PGRU,Internet Content & Information
PGSS,Shell Companies
PGTI,Building Products & Equipment
PGZ,Asset Management
PH,Specialty Industrial Machinery
PHD,Asset Management
PHG,Medical Devices
PHGE,Biotechnology
PHI,Telecom Services
PHIN,Auto Parts
PHM,Residential Construction
